date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,27.53,27.91,27.425,27.78,3946423,0.33,1.20%,27.78,109305672.19,26324
2018-03-09,27.79,27.79,26.815,27.69,5331371,0.02,0.07%,27.45,145435317.20,32577
2018-03-08,28.83,28.90,27.6075,27.67,5478868,-1.051,-3.69%,27.4302,152856669.65,35253
2018-03-07,28.89,29.47,28.02,28.73,9447921,2.934,11.49%,28.481,270663001.54,54848
2018-03-06,25.96,26.1699,25.60,25.77,5145843,-0.03,-0.12%,25.5467,133288664.85,37935
2018-03-05,24.87,25.94,24.87,25.80,8492080,1.10,4.50%,25.5764,217097069.96,46743
2018-03-02,24.88,24.93,24.50,24.69,4221598,-0.436,-1.75%,24.476,104240187.52,30992
2018-03-01,25.33,25.43,24.70,25.13,4092897,-0.198,-0.79%,24.9122,102481139.36,30305
2018-02-28,25.93,26.16,25.32,25.33,3772880,-0.595,-2.31%,25.1105,96443667.75,22733
2018-02-27,26.92,27.02,25.93,25.93,2748660,-0.932,-3.50%,25.7053,72285044.05,19662
2018-02-26,26.88,27.18,26.76,26.87,4551878,0.05,0.19%,26.6371,122637575.59,19132
2018-02-23,26.14,26.91,26.13,26.82,2282237,0.664,2.56%,26.5876,60885386.32,17079
2018-02-22,26.54,26.65,26.12,26.15,3031529,-0.258,-0.98%,25.9234,79765339.43,22399
2018-02-21,27.23,27.29,26.41,26.41,3108952,-0.753,-2.80%,26.1811,83069080.24,21351
2018-02-20,27.83,28.12,27.07,27.17,4884359,-0.862,-3.10%,26.9345,134841868.83,25973
2018-02-16,27.485,28.495,27.31,28.04,3520099,0.476,1.74%,27.797,98901500.57,24124
2018-02-15,27.10,27.77,27.05,27.56,4706459,0.615,2.30%,27.3211,129471632.60,33176
2018-02-14,25.80,26.97,25.76,26.94,3550265,1.021,3.98%,26.7065,94518854.21,22998
2018-02-13,25.13,26.08,25.12,25.91,2740556,0.773,3.10%,25.6854,70584672.34,21664
2018-02-12,25.00,25.35,24.87,25.13,4988961,0.208,0.84%,24.9122,125139021.74,17954
2018-02-09,25.36,25.69,24.25,24.92,4760731,-0.268,-1.07%,24.704,118208650.80,31137
2018-02-08,25.68,25.77,25.18,25.19,2515540,-0.545,-2.14%,24.9717,63992980.54,21001
2018-02-07,25.04,25.91,25.00,25.74,3764506,0.565,2.26%,25.5169,96641061.63,26487
2018-02-06,24.01,25.33,23.80,25.17,4381853,0.694,2.86%,24.9519,109133891.85,33583
2018-02-05,25.31,25.42,24.41,24.47,3947935,-0.981,-3.89%,24.2579,97828471.21,24983
2018-02-02,26.03,26.10,25.45,25.46,2913591,-0.684,-2.64%,25.2393,74579512.24,20275
2018-02-01,26.52,26.61,25.83,26.15,2517496,-0.387,-1.47%,25.9234,65692963.01,17866
2018-01-31,26.54,26.715,26.37,26.54,3112497,0.099,0.38%,26.31,82563106.98,17851
2018-01-30,26.70,26.72,26.11,26.44,2917787,-0.387,-1.45%,26.2108,77119815.20,18757
2018-01-29,26.71,26.93,26.545,26.83,2145306,0.109,0.41%,26.5975,57410484.52,15556
2018-01-26,26.88,26.89,26.43,26.72,2768450,-0.099,-0.37%,26.4884,73883881.44,16250
2018-01-25,27.05,27.18,26.54,26.82,2896292,-0.337,-1.25%,26.5876,77526774.15,16175
2018-01-24,27.67,27.70,26.92,27.16,4176429,-0.367,-1.34%,26.9246,113444537.22,17900
2018-01-23,27.70,28.355,27.01,27.53,5950649,1.041,3.97%,27.2914,163726626.69,31441
2018-01-22,26.34,26.73,26.12,26.48,3450893,0.198,0.76%,26.2505,91448629.99,14799
2018-01-19,26.66,27.005,26.13,26.28,2668334,-0.248,-0.94%,26.0522,70481235.52,15525
2018-01-18,26.35,26.59,26.07,26.53,2213320,0.05,0.19%,26.3001,58350872.89,13233
2018-01-17,26.71,26.82,26.28,26.48,1929716,-0.149,-0.56%,26.2505,51218524.00,14169
2018-01-16,26.47,27.49,26.45,26.63,4154765,0.268,1.02%,26.3992,111068975.44,25464
2018-01-12,26.15,26.46,26.00,26.36,1980317,0.278,1.07%,26.1315,52145325.04,14633
2018-01-11,25.97,26.18,25.60,26.08,2286224,0.109,0.42%,25.854,59145419.63,14661
2018-01-10,26.35,26.35,25.90,25.97,1806592,-0.466,-1.78%,25.7449,46967907.08,11471
2018-01-09,26.33,26.69,26.31,26.44,1776218,0.129,0.49%,26.2108,46975124.12,12733
2018-01-08,26.73,26.82,26.11,26.31,3029683,-0.476,-1.79%,26.082,79699568.12,14399
2018-01-05,26.68,26.815,26.38,26.79,1847914,0.169,0.64%,26.5578,49258259.84,12334
2018-01-04,26.74,26.79,26.23,26.62,2030625,-0.03,-0.11%,26.3893,53818462.56,12239
2018-01-03,26.80,26.86,26.01,26.65,2753984,-0.109,-0.41%,26.419,72903819.71,18881
2018-01-02,26.45,27.00,26.08,26.76,2194136,0.535,2.06%,26.5281,58401469.31,15525
2017-12-29,26.68,26.68,26.08,26.22,1805151,-0.347,-1.32%,25.9928,47393493.98,12217
2017-12-28,26.52,26.80,26.41,26.57,2052136,0.119,0.45%,26.3397,54487174.08,10023
2017-12-27,26.15,26.45,26.08,26.45,1182623,0.387,1.50%,26.2208,31179052.39,9837
2017-12-26,26.24,26.63,25.95,26.06,1234933,-0.169,-0.65%,25.8341,32248121.57,9538
2017-12-22,26.68,26.82,26.09,26.23,2424217,-0.466,-1.76%,26.0027,63945331.79,13585
2017-12-21,27.715,27.87,26.63,26.70,4314837,-1.14,-4.13%,26.4686,115888202.81,15744
2017-12-20,27.63,28.40,27.61,27.85,2019666,0.218,0.80%,27.6086,56583695.79,15437
2017-12-19,27.69,27.78,27.40,27.63,1530273,-0.069,-0.25%,27.3905,42251871.99,12032
2017-12-18,27.32,27.73,27.08,27.70,4181911,0.496,1.84%,27.4599,115040896.44,19566
2017-12-15,27.19,27.43,26.88,27.20,3130257,0.307,1.15%,26.9643,85188670.24,13071
2017-12-14,27.20,27.445,26.61,26.89,2359989,-0.416,-1.54%,26.6569,63500419.90,14156
2017-12-13,27.57,27.69,27.28,27.31,2633522,-0.228,-0.84%,27.0733,72139238.59,15310
2017-12-12,27.50,27.735,27.29,27.54,2337665,0.04,0.15%,27.3013,64153765.53,15292
2017-12-11,27.29,27.54,27.07,27.50,3416179,0.278,1.03%,27.2617,93527789.96,16390
2017-12-08,27.39,28.00,27.16,27.22,4838010,-0.169,-0.62%,26.9841,132794675.76,25735
2017-12-07,28.38,28.72,26.46,27.39,7178327,-1.586,-5.52%,27.1526,194831129.36,46401
2017-12-06,26.50,29.159,25.67,28.99,6813623,2.677,10.27%,28.7387,194415878.20,41426
2017-12-05,26.29,26.35,25.66,26.29,5937679,0.04,0.15%,26.0621,154613503.55,34299
2017-12-04,25.67,26.59,25.60,26.25,4556463,0.387,1.51%,26.0225,119313325.68,23530
2017-12-01,26.02,26.0568,24.98,25.86,3227612,-0.079,-0.31%,25.6359,82635333.23,23724
2017-11-30,25.93,26.22,25.71,26.18,3628177,0.304,1.20%,25.7152,94687611.86,18487
2017-11-29,25.58,26.10,25.44,25.87,2644579,0.314,1.25%,25.4107,68331568.38,20248
2017-11-28,25.40,25.60,25.06,25.55,1966106,0.059,0.24%,25.0964,49948663.40,16117
2017-11-27,25.65,25.70,25.075,25.49,1847071,-0.167,-0.66%,25.0374,46861231.17,15069
2017-11-24,25.88,25.955,25.57,25.66,873457,-0.187,-0.74%,25.2044,22423462.35,5747
2017-11-22,25.67,26.18,25.65,25.85,1561969,0.265,1.06%,25.391,40483070.37,11214
2017-11-21,25.92,25.93,25.33,25.58,1536367,-0.295,-1.16%,25.1258,39266971.71,11781
2017-11-20,26.09,26.37,25.85,25.88,2013939,-0.206,-0.80%,25.4205,52351901.24,15280
2017-11-17,25.76,26.1992,25.64,26.09,3111703,0.206,0.81%,25.6268,80835363.11,15218
2017-11-16,25.36,25.89,25.30,25.88,3361180,0.629,2.54%,25.4205,86135349.85,21784
2017-11-15,25.77,25.92,25.13,25.24,5099774,-0.609,-2.40%,24.7919,130098462.90,31567
2017-11-14,25.82,25.925,25.51,25.86,2411673,-0.088,-0.35%,25.4009,62188772.22,16338
2017-11-13,25.01,25.975,24.89,25.95,2789849,0.855,3.47%,25.4893,71950328.46,18804
2017-11-10,25.31,26.04,24.99,25.08,4449495,-0.314,-1.26%,24.6347,113753773.55,25606
2017-11-09,25.00,25.56,24.86,25.40,3003719,0.147,0.59%,24.949,75800549.07,24000
2017-11-08,24.12,25.35,23.99,25.25,3135210,1.208,5.12%,24.8017,78520691.73,22173
2017-11-07,24.45,24.51,23.77,24.02,2076806,-0.314,-1.31%,23.5935,49954995.17,13936
2017-11-06,24.08,24.48,23.92,24.34,2067575,0.275,1.16%,23.9079,50279503.88,12859
2017-11-03,23.76,24.40,23.5946,24.06,2352877,0.196,0.84%,23.6328,56741412.34,16661
2017-11-02,24.55,24.599,23.63,23.86,3883418,-0.619,-2.57%,23.4364,92842947.87,24524
2017-11-01,24.81,24.83,24.19,24.49,2503572,-0.246,-1.01%,24.0552,61391571.13,18450
2017-10-31,25.26,25.26,24.585,24.74,2831794,-0.55,-2.21%,24.3008,70242531.23,18132
2017-10-30,26.25,26.31,25.21,25.30,2464224,-0.953,-3.69%,24.8508,62702842.56,15748
2017-10-27,26.51,26.51,26.08,26.27,1869975,-0.236,-0.91%,25.8036,49165809.05,13171
2017-10-26,26.05,26.56,25.98,26.51,1976348,0.55,2.16%,26.0393,52157825.76,12337
2017-10-25,26.34,26.37,25.86,25.95,2694339,-0.452,-1.74%,25.4893,70015750.67,18411
2017-10-24,26.21,26.56,26.20,26.41,2331936,0.157,0.61%,25.9411,61571372.45,14068
