date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,33.80,34.015,33.67,33.70,2152303,-0.06,-0.18%,33.70,72775328.46,13900
2018-03-09,33.74,33.87,33.46,33.76,2288651,0.26,0.78%,33.76,77120418.71,13253
2018-03-08,33.18,33.52,33.03,33.50,1390903,0.33,0.99%,33.50,46447330.75,9960
2018-03-07,33.13,33.215,32.84,33.17,2533701,-0.26,-0.78%,33.17,83761851.93,14875
2018-03-06,32.86,33.55,32.46,33.43,3746510,0.56,1.70%,33.43,123885827.44,18784
2018-03-05,32.53,33.145,32.53,32.87,2277321,0.22,0.67%,32.87,74999882.43,13912
2018-03-02,32.28,32.775,32.28,32.65,1785757,0.29,0.90%,32.65,58085059.00,13269
2018-03-01,32.41,32.67,31.99,32.36,2811992,-0.10,-0.31%,32.36,90807531.12,23010
2018-02-28,32.99,33.00,32.46,32.46,2995317,-0.29,-0.89%,32.46,97862712.47,18998
2018-02-27,33.05,33.355,32.74,32.75,2294008,-0.32,-0.97%,32.75,75583711.96,16586
2018-02-26,32.70,33.10,32.27,33.07,2455936,0.43,1.32%,33.07,80687215.74,18440
2018-02-23,33.07,33.12,32.01,32.64,3947736,-0.36,-1.09%,32.64,128592980.04,27529
2018-02-22,31.91,33.23,31.8317,33.00,5559431,0.32,0.98%,33.00,182256800.07,34833
2018-02-21,33.84,34.04,32.67,32.68,4910850,-1.12,-3.31%,32.68,163042916.06,34178
2018-02-20,34.15,34.31,33.64,33.80,2588132,-0.55,-1.60%,33.80,87583504.95,17494
2018-02-16,33.77,34.39,33.34,34.35,2989426,0.27,0.79%,34.35,101802842.72,20483
2018-02-15,34.20,34.20,33.08,34.08,2779922,0.04,0.12%,34.08,93823282.09,17037
2018-02-14,33.41,34.095,33.08,34.04,2807571,0.96,2.90%,34.04,95024042.96,21492
2018-02-13,33.03,33.19,32.69,33.08,1312983,0.01,0.03%,33.08,43312744.91,10573
2018-02-12,32.99,33.32,32.75,33.07,2382224,0.26,0.79%,33.07,78817303.23,16046
2018-02-09,32.55,33.07,31.83,32.81,4129828,0.60,1.86%,32.81,134379688.62,27693
2018-02-08,33.00,33.00,32.21,32.21,3622764,-0.53,-1.62%,32.21,117741174.05,22541
2018-02-07,32.71,33.505,32.60,32.74,3304752,0.00,0.00%,32.74,109165344.06,21064
