date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,158.14,159.58,157.55,158.02,876039,0.30,0.19%,158.02,138858604.62,10152
2018-03-09,156.50,157.78,155.565,157.72,483428,1.98,1.27%,157.72,76025527.07,5077
2018-03-08,156.21,156.29,153.74,155.74,569896,-0.02,-0.01%,155.74,88387808.69,5670
2018-03-07,152.97,156.26,152.51,155.76,765420,1.66,1.08%,155.76,118476709.62,7272
2018-03-06,154.64,154.96,153.78,154.67,527628,0.408,0.27%,154.10,81530569.11,6225
2018-03-05,153.00,154.34,151.20,154.26,748718,0.399,0.26%,153.6916,115115713.70,6942
2018-03-02,151.59,154.36,150.05,153.86,629391,0.986,0.65%,153.293,96329869.80,7359
2018-03-01,156.40,156.40,150.74,152.87,1140623,-3.268,-2.10%,152.3067,174964414.21,14488
2018-02-28,159.88,159.91,156.11,156.15,794073,-2.859,-1.80%,155.5746,125156493.76,9210
2018-02-27,159.27,161.00,159.00,159.02,571237,-0.518,-0.33%,158.434,91173087.97,6588
2018-02-26,159.46,160.83,158.62,159.54,494473,0.737,0.47%,158.9521,79008534.13,5421
2018-02-23,158.36,158.81,157.17,158.80,422714,0.807,0.51%,158.2148,66887123.02,5100
2018-02-22,158.39,159.9199,157.64,157.99,534427,-0.179,-0.11%,157.4078,84738031.13,6178
2018-02-21,157.21,161.04,156.61,158.17,901363,1.156,0.74%,157.5871,143235268.94,9049
2018-02-20,156.31,158.50,155.75,157.01,582332,0.349,0.22%,156.4314,91540237.78,6611
2018-02-16,155.79,157.23,154.51,156.66,633916,0.428,0.28%,156.0827,99234110.17,5395
2018-02-15,155.98,156.93,153.90,156.23,706455,1.255,0.81%,155.6543,109968489.98,7649
2018-02-14,152.26,155.28,151.73,154.97,651274,1.943,1.27%,154.3989,100309251.44,8436
2018-02-13,151.88,153.28,151.07,153.02,928564,0.229,0.15%,152.4561,141577613.58,8732
2018-02-12,153.78,154.50,150.61,152.79,828664,-0.229,-0.15%,152.227,126541547.14,10612
2018-02-09,151.01,154.72,148.82,153.02,1290104,3.168,2.12%,152.4561,196208649.53,16238
2018-02-08,154.44,155.30,149.80,149.84,1432363,-2.939,-1.93%,149.2878,217534375.39,16924
2018-02-07,148.44,153.88,147.37,152.79,1165550,4.135,2.79%,152.227,177720186.26,11503
2018-02-06,144.68,149.30,143.03,148.64,1217706,0.438,0.30%,148.0923,178722438.07,13945
2018-02-05,154.27,156.15,146.24,148.20,1237929,-7.672,-4.94%,147.6539,186609385.02,13786
2018-02-02,157.18,158.74,155.77,155.90,788591,-1.773,-1.13%,155.3255,123584041.72,9780
2018-02-01,158.87,160.67,157.07,157.68,1022253,-1.694,-1.07%,157.0989,162280131.63,12228
2018-01-31,157.36,160.23,157.02,159.38,1198140,3.059,1.96%,158.7927,190589404.62,12742
2018-01-30,148.95,157.70,148.33,156.31,1633276,9.086,6.20%,155.734,252746996.39,15907
2018-01-29,146.37,147.86,146.32,147.19,812275,1.036,0.71%,146.6476,119534947.03,9037
2018-01-26,145.00,146.17,143.27,146.15,1033035,1.674,1.16%,145.6114,149901450.64,6994
2018-01-25,143.60,144.70,143.10,144.47,449998,1.365,0.96%,143.9376,64799918.10,5787
2018-01-24,142.62,144.11,142.56,143.10,604527,0.687,0.48%,142.5727,86556880.13,5419
2018-01-23,143.44,143.44,142.20,142.41,657006,-0.777,-0.54%,141.8852,93748834.60,6533
2018-01-22,145.76,145.76,142.64,143.19,880560,-2.69,-1.85%,142.6623,126167927.70,8229
2018-01-19,146.42,146.435,145.53,145.89,522193,0.149,0.10%,145.3524,76208418.22,4534
2018-01-18,147.70,148.49,145.71,145.74,598259,-1.863,-1.27%,145.2029,87651973.04,6644
2018-01-17,146.13,147.77,145.645,147.61,620747,1.833,1.26%,147.0661,91115662.47,7479
2018-01-16,148.56,148.73,145.66,145.77,570299,-1.435,-0.98%,145.2328,83658997.81,6569
2018-01-12,145.25,147.33,145.11,147.21,565587,1.903,1.31%,146.6675,83111186.76,5993
2018-01-11,145.16,145.91,144.87,145.30,449313,0.149,0.10%,144.7646,65239942.07,5108
2018-01-10,145.33,145.39,143.93,145.15,423111,-0.468,-0.32%,144.6151,61347873.01,5199
2018-01-09,146.75,146.96,145.245,145.62,763291,-0.777,-0.53%,145.0834,111267894.46,6812
2018-01-08,143.81,146.63,143.62,146.40,590311,2.65,1.85%,145.8605,86149863.37,6465
2018-01-05,142.69,143.85,142.01,143.74,686808,1.305,0.92%,143.2103,98406399.00,7060
2018-01-04,142.93,143.56,142.01,142.43,651280,-0.389,-0.27%,141.9051,92907236.67,6590
2018-01-03,142.47,143.26,140.84,142.82,766381,0.747,0.53%,142.2937,109104594.13,7561
2018-01-02,142.04,142.78,141.31,142.07,932404,0.418,0.30%,141.5465,132401175.92,7952
2017-12-29,143.29,143.29,141.62,141.65,616493,-1.564,-1.10%,141.128,87567866.65,4709
2017-12-28,143.86,143.86,141.90,143.22,540529,0.00,0.00%,142.6922,77122530.70,5552
2017-12-27,142.30,143.35,142.0515,143.22,285745,1.016,0.72%,142.6922,40887480.07,3839
2017-12-26,142.68,143.19,141.84,142.20,323503,-0.578,-0.41%,141.676,46026376.06,3356
2017-12-22,142.63,143.10,141.97,142.78,350569,-0.01,-0.01%,142.2539,50014568.63,4180
2017-12-21,142.87,143.1095,141.73,142.79,387584,0.448,0.32%,142.2638,55288496.37,5140
2017-12-20,142.82,143.19,141.91,142.34,524443,-0.229,-0.16%,141.8155,74787571.50,5752
2017-12-19,142.32,143.84,142.06,142.57,469761,-0.10,-0.07%,142.0446,67103581.27,5069
2017-12-18,144.44,144.70,142.55,142.67,686974,-1.415,-0.99%,142.1443,98193152.85,5937
2017-12-15,142.66,144.60,141.71,144.09,2392392,2.81,2.00%,143.559,344290764.33,7216
2017-12-14,141.91,142.57,141.24,141.27,562234,-0.668,-0.47%,140.7494,79608465.67,6161
