date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,68.38,68.76,66.83,67.85,1589998,-0.58,-0.85%,67.85,107529958.84,9183
2018-03-09,67.36,68.74,67.03,68.43,1209012,1.30,1.94%,68.43,82632322.61,11610
2018-03-08,67.22,67.72,66.41,67.13,1322737,0.00,0.00%,67.13,88854590.78,12555
2018-03-07,65.71,67.16,65.62,67.13,1685520,1.10,1.67%,67.13,112432498.67,13246
2018-03-06,66.18,66.29,65.20,66.03,1219758,-0.01,-0.02%,66.03,80250317.12,9205
2018-03-05,64.99,66.47,64.5499,66.04,1481074,0.85,1.30%,66.04,97536597.77,13259
2018-03-02,63.00,65.38,62.56,65.19,2403698,1.75,2.76%,65.19,155042847.66,19771
2018-03-01,64.99,65.749,62.84,63.44,4370073,-2.75,-4.15%,63.44,279635137.22,36648
2018-02-28,67.54,67.73,66.17,66.19,1361303,-1.02,-1.52%,66.19,90896153.42,10432
2018-02-27,67.63,68.3428,67.19,67.21,1602106,-0.48,-0.71%,67.21,108360791.20,11916
2018-02-26,67.95,68.60,66.86,67.69,1327626,-0.36,-0.53%,67.69,89610290.19,10735
2018-02-23,68.16,68.47,66.20,68.05,1952222,0.08,0.12%,68.05,131086121.99,16307
2018-02-22,69.25,69.78,67.83,67.97,1891796,-0.71,-1.03%,67.97,129829894.01,14531
2018-02-21,68.13,70.44,67.46,68.68,3136838,0.71,1.04%,68.68,216919035.44,22978
2018-02-20,73.54,73.71,67.56,67.97,4500482,-1.55,-2.23%,67.97,309337173.90,32093
2018-02-16,68.22,71.17,68.00,69.52,2869596,1.14,1.67%,69.52,199966241.94,17816
2018-02-15,68.69,68.69,67.21,68.38,2146941,-0.05,-0.07%,68.38,145744338.36,15667
2018-02-14,66.93,68.70,66.91,68.43,2571595,1.04,1.54%,68.43,174516876.67,20397
2018-02-13,65.40,67.96,63.01,67.39,12345154,-4.79,-6.64%,67.39,809725996.23,66652
2018-02-12,72.28,73.19,71.385,72.18,2295407,0.43,0.60%,72.18,165833762.94,12775
2018-02-09,71.31,72.33,70.26,71.75,1865371,0.90,1.27%,71.75,132831875.07,18405
2018-02-08,72.89,73.06,70.82,70.85,1854236,-2.12,-2.91%,70.85,133354784.05,17413
2018-02-07,73.08,74.50,72.91,72.97,1764506,-0.56,-0.76%,72.97,129713654.93,15047
2018-02-06,71.06,73.97,70.351,73.53,2650495,1.73,2.41%,73.53,192066885.04,21856
2018-02-05,74.26,75.00,71.79,71.80,1923022,-2.55,-3.43%,71.80,140642277.37,16740
2018-02-02,74.99,75.71,74.17,74.35,1344649,-0.93,-1.24%,74.35,100500912.46,10284
2018-02-01,75.22,75.51,73.80,75.28,1229827,-0.40,-0.53%,75.28,92405406.76,11508
2018-01-31,78.11,78.11,75.05,75.68,1927624,-2.39,-3.06%,75.68,146331165.56,15888
2018-01-30,78.85,79.44,78.04,78.07,2262732,-1.34,-1.69%,78.07,178103075.07,11657
2018-01-29,78.91,79.54,78.66,79.41,1232088,0.48,0.61%,79.41,97609899.83,9225
2018-01-26,78.10,79.00,77.55,78.93,1518462,0.79,1.01%,78.93,119088394.98,11411
2018-01-25,77.74,78.50,76.96,78.14,1431948,0.73,0.94%,78.14,111691268.12,12452
2018-01-24,76.62,77.69,76.338,77.41,1555704,1.11,1.45%,77.41,120355033.10,11973
2018-01-23,76.27,76.93,75.465,76.30,1201984,-0.11,-0.14%,76.30,91673644.11,8366
2018-01-22,76.13,76.45,75.66,76.41,1038005,0.45,0.59%,76.41,79043526.46,7522
2018-01-19,74.65,75.98,74.38,75.96,1146820,1.34,1.80%,75.96,86505882.63,9215
2018-01-18,75.88,76.44,74.45,74.62,1778323,-1.73,-2.27%,74.62,133305720.44,14407
2018-01-17,76.60,77.25,75.60,76.35,4149671,0.31,0.41%,76.35,317727336.60,29916
2018-01-16,75.00,76.37,74.73,76.04,2075651,1.20,1.60%,76.04,157488151.54,15335
2018-01-12,73.70,75.00,73.06,74.84,1045507,1.54,2.10%,74.84,77757566.34,8075
2018-01-11,72.73,73.37,72.06,73.30,1251893,0.51,0.70%,73.30,91164042.57,10896
2018-01-10,73.38,73.40,71.15,72.79,1624629,-0.66,-0.90%,72.79,117889031.26,11886
2018-01-09,74.34,74.40,73.2001,73.45,1411070,-0.89,-1.20%,73.45,103869789.77,12911
2018-01-08,73.11,74.43,72.87,74.34,1181198,1.01,1.38%,74.34,87326497.32,10452
2018-01-05,72.88,73.56,72.36,73.33,1299400,1.15,1.59%,73.33,94981054.15,10161
2018-01-04,72.50,72.79,71.61,72.18,1185875,0.04,0.06%,72.18,85503744.61,10451
2018-01-03,71.25,72.335,70.11,72.14,1421941,0.67,0.94%,72.14,101926923.51,14002
2018-01-02,70.36,71.57,70.145,71.47,1243582,1.59,2.28%,71.47,88670314.04,11754
2017-12-29,70.49,70.955,69.57,69.88,972702,-0.68,-0.96%,69.88,68376416.84,7898
2017-12-28,70.60,70.65,70.01,70.56,745879,0.10,0.14%,70.56,52461896.97,6465
2017-12-27,70.61,70.83,70.17,70.46,940299,-0.16,-0.23%,70.46,66177583.53,7237
2017-12-26,71.02,71.46,70.49,70.62,1246354,-0.39,-0.55%,70.62,88337558.26,6541
2017-12-22,71.24,71.50,70.57,71.01,897605,-0.15,-0.21%,71.01,63660096.20,7602
