date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,159.64,161.02,158.87,160.26,5063497,0.95,0.60%,160.26,811515706.78,43754
2018-03-09,157.47,159.5825,157.30,159.31,5022238,3.10,1.98%,159.31,797511667.05,39855
2018-03-08,159.00,159.57,155.07,156.21,6455612,-2.11,-1.33%,156.21,1010130506.46,41405
2018-03-07,155.00,158.83,154.73,158.32,4607677,2.60,1.67%,158.32,725689351.35,38076
2018-03-06,157.28,157.89,155.1568,155.72,3685736,-1.23,-0.78%,155.72,575531682.80,35882
2018-03-05,154.12,157.49,153.75,156.95,3670630,2.46,1.59%,156.95,574140233.32,31154
2018-03-02,152.79,154.76,151.88,154.49,3261141,0.68,0.44%,154.49,501401742.99,31064
2018-03-01,155.53,156.9742,152.79,153.81,4039339,-2.02,-1.30%,153.81,624578490.98,39121
2018-02-28,157.50,158.1399,155.80,155.83,3803512,-0.72,-0.46%,155.83,596712211.49,29913
2018-02-27,158.46,159.78,156.53,156.55,4237283,-2.03,-1.28%,156.55,668109630.93,37295
2018-02-26,155.81,158.88,155.51,158.58,3610292,3.06,1.97%,158.58,569506529.64,30943
2018-02-23,154.30,155.855,154.07,155.52,3256074,2.34,1.53%,155.52,504146836.27,29531
2018-02-22,154.50,155.04,152.79,153.18,4024627,-0.78,-0.51%,153.18,619341916.49,34904
2018-02-21,155.43,156.79,153.90,153.96,3728571,-1.20,-0.77%,153.96,579845788.41,29436
2018-02-20,155.79,155.96,153.87,155.16,4489604,-1.02,-0.65%,155.16,695724363.35,36132
2018-02-16,155.71,157.7905,155.69,156.18,4282908,0.17,0.11%,156.18,670266202.12,29886
2018-02-15,155.50,156.86,153.70,156.01,5623581,1.25,0.81%,156.01,874390218.59,41341
2018-02-14,150.19,155.00,150.00,154.76,5479033,4.01,2.66%,154.76,841211496.94,38721
2018-02-13,150.90,151.179,149.64,150.75,4891010,-0.65,-0.43%,150.75,736058449.17,36638
2018-02-12,150.90,152.40,150.30,151.40,5881377,1.89,1.26%,151.40,890116796.22,44575
2018-02-09,148.60,150.54,144.3955,149.51,7828290,1.92,1.30%,149.51,1154308266.33,77020
2018-02-08,152.48,153.16,147.50,147.59,6779095,-4.76,-3.12%,147.59,1017633609.49,62876
2018-02-07,154.17,155.34,153.28,153.85,6149207,-1.475,-0.96%,152.35,948608770.68,62264
2018-02-06,150.29,155.49,149.11,155.34,9867678,2.783,1.84%,153.8254,1506362512.47,94260
2018-02-05,157.89,158.50,150.00,152.53,8746599,-6.437,-4.09%,151.0428,1356642934.74,84952
2018-02-02,161.70,162.00,158.8663,159.03,5251938,-3.337,-2.08%,157.4795,840890718.51,45128
2018-02-01,163.19,164.13,161.90,162.40,4434242,-1.287,-0.79%,160.8166,722065497.72,31670
2018-01-31,163.75,164.99,162.761,163.70,4072830,0.079,0.05%,162.1039,666813005.51,33172
2018-01-30,166.21,166.77,163.155,163.62,4902341,-3.149,-1.91%,162.0247,804680698.63,39456
2018-01-29,167.45,168.39,166.01,166.80,3516995,-0.535,-0.32%,165.1737,587391422.86,29840
2018-01-26,166.12,167.4142,165.79,167.34,3787913,1.852,1.13%,165.7084,631928306.01,30918
2018-01-25,165.91,166.78,165.19,165.47,3302520,0.099,0.06%,163.8567,547412950.96,29588
2018-01-24,166.75,168.72,164.82,165.37,5645003,-0.871,-0.53%,163.7576,938965926.30,47254
2018-01-23,162.82,166.26,162.51,166.25,7466232,3.614,2.24%,164.6291,1229773077.47,55448
2018-01-22,161.51,163.98,161.11,162.60,8480795,0.228,0.14%,161.0146,1379099449.81,64397
2018-01-19,164.46,165.40,161.30,162.37,21172488,-6.684,-3.99%,160.7869,3447230286.59,145747
2018-01-18,170.00,171.13,168.15,169.12,14259345,0.465,0.28%,167.4711,2414477252.58,108911
2018-01-17,168.01,169.1253,167.26,168.65,11710033,4.753,2.93%,167.0057,1970402977.28,81448
2018-01-16,165.10,165.29,163.35,163.85,7794195,0.703,0.44%,162.2525,1279324872.75,57345
2018-01-12,164.02,164.74,163.03,163.14,5031886,-1.05,-0.65%,161.5494,824085375.16,40601
2018-01-11,164.80,164.94,163.30,164.20,3794453,0.02,0.01%,162.5991,622550701.51,35221
2018-01-10,162.91,164.33,162.50,164.18,4174105,0.347,0.21%,162.5792,683891649.40,30753
2018-01-09,163.90,164.53,163.06,163.83,4341810,0.356,0.22%,162.2327,712036980.56,37824
2018-01-08,162.66,163.905,161.701,163.47,5237523,0.97,0.60%,161.8762,854397765.97,37811
2018-01-05,162.44,162.90,161.101,162.49,5195764,0.782,0.49%,160.9057,842001795.18,39660
2018-01-04,159.65,162.3237,159.37,161.70,7556249,3.179,2.03%,160.1234,1219791493.47,59381
2018-01-03,157.34,159.81,156.33,158.49,9441567,4.199,2.75%,156.9447,1498577240.67,71768
2018-01-02,154.50,154.81,153.54,154.25,4202503,0.822,0.54%,152.7461,648133563.49,33545
2017-12-29,154.17,154.72,153.415,153.42,3327087,-0.614,-0.40%,151.9242,511978968.09,24630
2017-12-28,153.20,154.12,153.20,154.04,2687624,0.901,0.59%,152.5381,413365964.45,23843
2017-12-27,152.95,153.18,152.61,153.13,2149257,0.297,0.20%,151.637,328810832.96,19766
2017-12-26,152.51,153.86,152.50,152.83,2479017,0.327,0.22%,151.3399,379523426.84,23632
2017-12-22,151.71,153.00,151.50,152.50,2990583,0.99,0.66%,151.0131,456046520.25,25148
2017-12-21,153.17,153.46,151.49,151.50,4153935,-1.436,-0.95%,150.0229,633055353.14,33039
2017-12-20,153.65,153.89,152.78,152.95,3785667,-0.277,-0.18%,151.4587,579643050.05,32403
2017-12-19,154.135,154.17,153.09,153.23,4116449,-0.099,-0.07%,151.736,631677887.67,31352
2017-12-18,153.41,154.18,153.21,153.33,5092838,0.822,0.54%,151.835,781967908.75,37414
2017-12-15,153.75,153.80,152.03,152.50,11279854,-1.485,-0.97%,151.0131,1722888791.51,49921
2017-12-14,154.50,155.11,153.70,154.00,4637440,0.089,0.06%,152.4985,715688792.68,34767
2017-12-13,156.60,156.73,153.89,153.91,5661618,-2.802,-1.81%,152.4094,875821341.21,42812
2017-12-12,155.20,157.85,155.16,156.74,6321801,1.317,0.86%,155.2118,991692666.60,47210
2017-12-11,154.97,155.89,154.57,155.41,4102719,0.594,0.39%,153.8948,637707838.60,32186
2017-12-08,153.94,155.03,153.55,154.81,3520281,1.228,0.81%,153.3006,544220111.78,26866
