date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,203.44,205.90,202.32,204.35,468303,1.18,0.58%,204.35,95789565.85,6577
2018-03-09,198.32,203.26,197.81,203.17,631144,5.72,2.90%,203.17,127335574.75,7499
2018-03-08,195.00,198.71,193.67,197.45,496935,3.03,1.56%,197.45,97957486.96,6296
2018-03-07,189.64,194.93,184.5358,194.42,474247,3.83,2.01%,194.42,91690749.47,5442
2018-03-06,191.14,191.94,187.65,190.59,648281,-0.55,-0.29%,190.59,123057337.33,8374
2018-03-05,184.37,191.63,183.39,191.14,644032,5.37,2.89%,191.14,122099198.29,7660
2018-03-02,181.34,186.12,180.331,185.77,540134,3.26,1.79%,185.77,99437755.49,6708
2018-03-01,187.39,188.45,181.06,182.51,683933,-4.72,-2.52%,182.51,126087227.38,9942
2018-02-28,188.80,191.899,187.19,187.23,730724,-0.75,-0.40%,187.23,138088512.36,7289
2018-02-27,186.38,188.809,186.21,187.98,422164,1.89,1.02%,187.98,79263239.29,5962
2018-02-26,187.60,188.78,185.51,186.09,480143,-1.52,-0.81%,186.09,89555291.91,6813
2018-02-23,185.12,187.63,183.48,187.61,461498,3.75,2.04%,187.61,85815675.86,4986
2018-02-22,184.15,187.13,183.25,183.86,548651,-0.08,-0.04%,183.86,101501841.19,5552
2018-02-21,183.36,187.6752,183.36,183.94,349715,0.78,0.43%,183.94,64858707.64,4949
2018-02-20,182.43,185.17,182.43,183.16,426922,0.68,0.37%,183.16,78482784.92,5737
2018-02-16,181.13,183.782,180.84,182.48,427628,1.03,0.57%,182.48,77995438.25,5337
2018-02-15,179.22,181.52,178.0416,181.45,591230,3.19,1.79%,181.45,106550030.36,5277
2018-02-14,174.35,179.87,173.626,178.26,1003997,2.87,1.64%,178.26,178607351.51,9109
2018-02-13,173.93,176.46,172.37,175.39,1204974,0.33,0.19%,175.39,210604617.07,6290
2018-02-12,174.42,177.01,172.51,175.06,421891,2.11,1.22%,175.06,73833758.00,5927
2018-02-09,170.41,174.43,166.70,172.95,726185,3.67,2.17%,172.95,123976674.92,9946
2018-02-08,175.70,176.52,169.20,169.28,828731,-7.55,-4.27%,169.28,143704144.91,9973
2018-02-07,179.58,180.43,175.71,176.83,681545,-3.22,-1.79%,176.83,121331420.92,8179
2018-02-06,177.30,180.44,173.40,180.05,1381592,-0.31,-0.17%,180.05,245137634.23,13743
2018-02-05,182.50,184.3989,179.56,180.36,1240092,-6.00,-3.22%,180.36,225590879.83,14380
2018-02-02,193.53,195.66,186.23,186.36,770643,-7.59,-3.91%,186.36,146019159.93,9460
2018-02-01,189.53,198.73,185.70,193.95,859182,6.91,3.69%,193.95,165818448.70,10194
2018-01-31,186.66,188.55,185.0993,187.04,658989,0.45,0.24%,187.04,123172808.31,7320
2018-01-30,186.26,187.66,185.37,186.59,481356,-0.19,-0.10%,186.59,89908164.18,5642
2018-01-29,186.70,187.43,185.50,186.78,412273,-0.25,-0.13%,186.78,76987961.44,4925
2018-01-26,186.40,187.24,184.335,187.03,373578,1.30,0.70%,187.03,69502681.01,4293
2018-01-25,184.70,187.11,183.90,185.73,396281,1.65,0.90%,185.73,73577983.47,4832
2018-01-24,183.23,185.76,181.77,184.08,522624,1.85,1.02%,184.08,95959097.69,6075
2018-01-23,180.65,183.13,179.49,182.23,426966,1.28,0.71%,182.23,77651940.08,4700
2018-01-22,181.00,181.37,179.21,180.95,445007,0.32,0.18%,180.95,80239812.48,5923
2018-01-19,179.50,180.88,179.12,180.63,602985,1.63,0.91%,180.63,108673109.11,5229
2018-01-18,178.70,180.30,177.44,179.00,564878,-0.36,-0.20%,179.00,100927382.10,5581
2018-01-17,177.14,180.20,175.99,179.36,548140,3.26,1.85%,179.36,98116033.33,7178
2018-01-16,174.50,177.25,173.41,176.10,727850,2.86,1.65%,176.10,128238547.89,7108
2018-01-12,171.35,173.82,170.035,173.24,632940,1.73,1.01%,173.24,109305337.85,7389
2018-01-11,166.69,171.55,166.26,171.51,526284,5.37,3.23%,171.51,89211464.99,5931
2018-01-10,165.53,166.42,163.46,166.14,503197,0.41,0.25%,166.14,83166684.26,7229
2018-01-09,165.38,166.08,164.07,165.73,397461,0.65,0.39%,165.73,65765883.57,5251
2018-01-08,166.50,167.71,164.78,165.08,449196,-1.52,-0.91%,165.08,74426257.93,5959
2018-01-05,165.05,166.74,163.26,166.60,515327,2.64,1.61%,166.60,85231139.94,5549
2018-01-04,162.91,165.70,162.51,163.96,520202,1.91,1.18%,163.96,85611225.59,6547
2018-01-03,157.90,162.37,157.855,162.05,404298,4.24,2.69%,162.05,65111258.16,5226
2018-01-02,157.59,160.53,157.53,157.81,398513,1.43,0.91%,157.81,63306904.83,4979
2017-12-29,158.87,159.65,156.25,156.38,366890,-2.41,-1.52%,156.38,57585179.96,3333
2017-12-28,156.79,158.99,155.33,158.79,286684,2.10,1.34%,158.79,45197085.18,4463
2017-12-27,157.47,158.55,156.39,156.69,317155,-0.38,-0.24%,156.69,49857345.13,3859
2017-12-26,157.28,157.65,156.12,157.07,256782,-0.58,-0.37%,157.07,40286325.89,3282
2017-12-22,156.81,158.07,154.88,157.65,261595,0.37,0.24%,157.65,41067551.58,3360
2017-12-21,159.58,159.95,157.01,157.28,239890,-1.40,-0.88%,157.28,37830028.33,3351
2017-12-20,157.57,159.09,156.06,158.68,322169,1.29,0.82%,158.68,50998589.16,3605
2017-12-19,157.29,158.94,156.13,157.39,442463,0.09,0.06%,157.39,69603862.05,4923
2017-12-18,157.53,158.12,156.32,157.30,414578,0.70,0.45%,157.30,65188215.28,4773
2017-12-15,156.51,157.99,155.16,156.60,1046527,1.35,0.87%,156.60,164091554.12,6214
2017-12-14,158.35,158.405,155.14,155.25,397073,-2.95,-1.86%,155.25,62026593.46,5175
2017-12-13,159.54,160.24,158.08,158.20,462186,-1.07,-0.67%,158.20,73432545.67,5734
2017-12-12,159.76,159.97,157.11,159.27,351051,-0.43,-0.27%,159.27,55855150.99,5099
2017-12-11,160.50,160.57,157.8464,159.70,379549,-0.87,-0.54%,159.70,60473845.81,5055
