date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,141.03,142.81,141.03,142.05,819242,1.04,0.74%,142.05,116435801.49,4322
2018-03-09,139.97,141.24,139.40,141.01,607757,2.01,1.45%,141.01,85441420.60,6274
2018-03-08,139.85,140.03,137.93,139.00,704473,-0.32,-0.23%,139.00,97901303.90,7438
2018-03-07,138.57,140.13,137.985,139.32,527413,-0.31,-0.22%,139.32,73488544.96,6115
2018-03-06,139.48,140.27,138.85,139.63,929576,1.06,0.76%,139.63,129745729.16,9020
2018-03-05,137.34,139.27,137.05,138.57,943938,0.73,0.53%,138.57,130698474.82,9754
2018-03-02,137.86,138.53,136.86,137.84,636396,-0.54,-0.39%,137.84,87626084.37,7700
2018-03-01,141.41,141.77,138.03,138.38,380216,-2.87,-2.03%,138.38,52930962.86,5652
2018-02-28,142.68,143.62,141.19,141.25,388120,-1.33,-0.93%,141.25,55111245.72,4386
2018-02-27,145.75,145.90,142.58,142.58,315431,-2.85,-1.96%,142.58,45246096.40,4643
2018-02-26,145.76,145.98,143.881,145.43,232999,-0.39,-0.27%,145.43,33809893.77,3659
2018-02-23,143.67,145.89,142.47,145.82,323744,3.16,2.22%,145.82,46977348.05,4083
2018-02-22,142.23,143.97,141.85,142.66,545767,1.22,0.86%,142.66,77939221.35,5628
2018-02-21,142.57,143.41,141.43,141.44,492165,-0.94,-0.66%,141.44,70167400.52,6238
2018-02-20,141.36,144.03,141.10,142.38,436796,0.55,0.39%,142.38,62326979.90,6068
2018-02-16,143.58,144.59,141.43,141.83,447236,-2.19,-1.52%,141.83,63860704.11,5050
2018-02-15,138.93,145.09,135.08,144.02,761257,-0.83,-0.57%,144.02,108177169.91,8875
2018-02-14,141.94,145.12,141.08,144.85,680763,1.79,1.25%,144.85,98070103.73,7390
2018-02-13,141.63,143.39,140.22,143.06,425208,0.64,0.45%,143.06,60567781.53,4554
2018-02-12,141.04,143.25,140.55,142.42,271004,2.02,1.44%,142.42,38528061.71,4082
2018-02-09,139.36,141.27,136.855,140.40,407502,2.40,1.74%,140.40,56838550.11,5298
2018-02-08,142.13,142.66,137.93,138.00,370299,-4.70,-3.29%,138.00,52036071.09,4706
2018-02-07,141.97,144.86,141.42,142.70,352295,0.29,0.20%,142.70,50520847.21,4526
2018-02-06,139.29,142.53,137.85,142.41,578458,1.45,1.03%,142.41,81612606.52,6993
2018-02-05,145.35,146.86,140.94,140.96,420686,-5.17,-3.54%,140.96,60197961.78,4786
2018-02-02,146.94,147.81,146.07,146.13,382191,-1.86,-1.26%,146.13,56053804.91,4841
2018-02-01,149.48,150.48,146.92,147.99,542853,-2.31,-1.54%,147.99,80364967.28,6556
2018-01-31,150.24,151.24,148.995,150.30,445548,0.39,0.26%,150.30,66944204.08,4378
2018-01-30,150.23,150.89,148.58,149.91,428081,-0.99,-0.66%,149.91,64186289.63,5277
2018-01-29,153.40,153.89,150.88,150.90,338342,-2.59,-1.69%,150.90,51369826.39,4563
2018-01-26,155.27,155.27,153.23,153.49,433764,-1.36,-0.88%,153.49,66597963.98,4616
2018-01-25,153.61,155.13,153.0827,154.85,461211,1.99,1.30%,154.85,71183837.52,4826
2018-01-24,153.02,153.75,151.89,152.86,291539,-0.15,-0.10%,152.86,44570763.07,3716
2018-01-23,153.00,153.37,151.31,153.01,321992,-0.05,-0.03%,153.01,49215459.71,4590
2018-01-22,154.82,154.82,152.70,153.06,443697,-2.13,-1.37%,153.06,68011414.46,5146
2018-01-19,155.83,155.83,154.485,155.19,398308,0.06,0.04%,155.19,61843576.41,4114
2018-01-18,156.24,156.88,153.17,155.13,357367,-1.42,-0.91%,155.13,55393924.14,4219
2018-01-17,155.53,157.40,154.93,156.55,789037,4.01,2.63%,156.55,123542889.12,7393
2018-01-16,154.70,155.44,152.11,152.54,252049,-1.16,-0.75%,152.54,38560040.40,2542
2018-01-12,154.17,154.20,152.22,153.70,366703,0.17,0.11%,153.70,56353552.90,3939
2018-01-11,154.50,154.50,152.83,153.53,388762,-0.25,-0.16%,153.53,59657430.72,4054
2018-01-10,154.30,154.75,152.29,153.78,264598,-0.48,-0.31%,153.78,40677710.52,3440
2018-01-09,155.93,156.49,154.14,154.26,214172,-1.57,-1.01%,154.26,33141905.43,3092
2018-01-08,156.84,156.84,155.45,155.83,208004,-1.04,-0.66%,155.83,32441568.71,2491
2018-01-05,154.46,156.93,154.32,156.87,259939,3.11,2.02%,156.87,40574074.76,3528
2018-01-04,156.28,157.22,153.59,153.76,371496,-1.98,-1.27%,153.76,57379010.86,3893
2018-01-03,154.93,156.59,154.525,155.74,244203,1.18,0.76%,155.74,38047284.30,3579
2018-01-02,153.04,154.56,152.54,154.56,264535,1.95,1.28%,154.56,40701323.09,3383
2017-12-29,154.17,154.80,152.59,152.61,189581,-1.16,-0.75%,152.61,29000497.71,1980
2017-12-28,152.68,153.91,152.09,153.77,227734,1.54,1.01%,153.77,34925213.82,2383
2017-12-27,152.57,153.42,151.76,152.92,175773,0.677,0.45%,152.23,26862299.38,2620
2017-12-26,152.89,152.89,151.97,152.24,94135,-0.269,-0.18%,151.5531,14329931.29,1479
2017-12-22,151.55,152.57,151.55,152.51,163036,0.647,0.43%,151.8219,24821707.00,1975
2017-12-21,153.14,153.48,151.45,151.86,180895,-1.205,-0.79%,151.1748,27523886.61,3393
