date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,251.33,254.89,250.07,253.17,640920,3.05,1.22%,253.17,162307619.09,9540
2018-03-09,244.59,250.67,244.15,250.12,801074,6.60,2.71%,250.12,199139691.41,10617
2018-03-08,241.50,243.72,240.30,243.52,757260,2.32,0.96%,243.52,183514082.47,8132
2018-03-07,233.54,242.19,231.6184,241.20,818299,5.44,2.31%,241.20,195976501.90,10401
2018-03-06,231.34,236.74,230.79,235.76,600273,4.88,2.11%,235.76,140980168.40,8527
2018-03-05,227.17,232.47,226.05,230.88,543884,1.69,0.74%,230.88,124883297.02,7667
2018-03-02,222.29,229.85,221.49,229.19,866186,4.65,2.07%,229.19,196004511.82,9386
2018-03-01,227.41,229.49,222.9294,224.54,747899,-3.48,-1.53%,224.54,169097939.34,9802
2018-02-28,231.25,233.25,227.95,228.02,732331,-1.71,-0.74%,228.02,168837355.11,8577
2018-02-27,232.87,234.08,229.73,229.73,673482,-3.70,-1.59%,229.73,155779668.48,8562
2018-02-26,234.54,235.43,231.0301,233.43,639763,-0.41,-0.18%,233.43,148768231.58,7241
2018-02-23,228.50,233.92,226.615,233.84,536170,7.10,3.13%,233.84,124004140.82,7114
2018-02-22,229.49,230.88,225.92,226.74,450092,-1.17,-0.51%,226.74,102622459.50,6433
2018-02-21,226.57,233.25,226.46,227.91,549458,1.34,0.59%,227.91,125817487.38,8078
2018-02-20,228.35,229.95,225.455,226.57,567764,-2.63,-1.15%,226.57,129174321.15,6528
2018-02-16,228.85,230.95,227.03,229.20,701696,0.07,0.03%,229.20,160722675.18,8095
2018-02-15,224.60,229.545,223.7262,229.13,804863,6.02,2.70%,229.13,183074075.20,9079
2018-02-14,217.47,223.85,216.34,223.11,817930,2.67,1.21%,223.11,181497539.89,9498
2018-02-13,219.36,221.10,217.80,220.44,663027,-0.59,-0.27%,220.44,145757513.87,7860
2018-02-12,218.43,222.855,216.35,221.03,1000188,3.84,1.77%,221.03,220137473.07,11546
2018-02-09,211.35,219.58,210.08,217.19,1798295,7.65,3.65%,217.19,387187681.10,21031
2018-02-08,220.96,221.00,209.48,209.54,1299901,-11.66,-5.27%,209.54,278156718.28,16701
2018-02-07,218.85,223.64,216.77,221.20,1116021,0.40,0.18%,221.20,246549261.20,13466
2018-02-06,210.00,221.55,207.51,220.80,1759256,7.80,3.66%,220.80,382513079.31,22398
2018-02-05,221.45,223.54,212.95,213.00,1483993,-7.18,-3.26%,213.00,323634145.52,20322
2018-02-02,227.98,228.99,219.54,220.18,1538819,-10.11,-4.39%,220.18,342472968.96,22076
2018-02-01,232.00,233.56,229.08,230.29,943949,-2.35,-1.01%,230.29,217668249.81,14042
2018-01-31,247.45,248.10,229.16,232.64,1760472,-8.54,-3.54%,232.64,414171984.10,21471
2018-01-30,240.69,243.55,238.95,241.18,1063398,-0.60,-0.25%,241.18,256314715.17,13014
2018-01-29,244.18,244.90,238.51,241.78,779540,-3.05,-1.25%,241.78,188689237.13,9425
2018-01-26,244.21,244.92,242.09,244.83,678381,1.44,0.59%,244.83,165495657.26,9677
2018-01-25,243.48,243.97,240.16,243.39,613310,0.90,0.37%,243.39,148983974.18,8553
2018-01-24,243.12,243.85,241.19,242.49,845966,-0.45,-0.19%,242.49,205333952.05,8342
2018-01-23,244.07,245.07,241.95,242.94,829954,-2.25,-0.92%,242.94,201955586.76,10601
2018-01-22,245.00,247.63,242.87,245.19,709832,1.64,0.67%,245.19,173792424.00,9469
