date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,51.86,51.95,50.50,51.52,32044382,-0.67,-1.28%,51.52,1643721413.39,154082
2018-03-09,51.27,52.30,51.00,52.19,32727914,1.45,2.86%,52.19,1699790127.61,140764
2018-03-08,51.79,52.08,50.47,50.74,29481157,-0.58,-1.13%,50.74,1504544963.04,143530
2018-03-07,50.18,51.485,50.10,51.32,31801943,0.61,1.20%,51.32,1619490127.62,146183
2018-03-06,50.16,51.33,50.15,50.71,39132300,0.96,1.93%,50.71,1983214476.54,198089
2018-03-05,48.57,49.795,48.041,49.75,30826521,0.77,1.57%,49.75,1516975194.61,152086
2018-03-02,47.20,49.05,46.96,48.98,33310592,1.14,2.38%,48.98,1605595517.34,175550
2018-03-01,49.50,49.715,47.47,47.84,36326639,-1.45,-2.94%,47.84,1756969899.00,204388
2018-02-28,50.18,50.34,49.28,49.29,35541183,-0.62,-1.24%,49.29,1766422633.54,150982
2018-02-27,49.37,50.90,49.31,49.91,43624077,0.80,1.63%,49.91,2185395600.31,210032
2018-02-26,48.20,49.13,48.10,49.11,26992306,1.38,2.89%,49.11,1315036698.43,140266
2018-02-23,46.34,47.79,46.305,47.73,26040911,1.93,4.21%,47.73,1232734384.22,133308
2018-02-22,46.14,46.56,45.62,45.80,16946353,-0.14,-0.30%,45.80,780185028.46,103283
2018-02-21,46.67,47.06,45.92,45.94,27527487,-0.38,-0.82%,45.94,1278400775.52,139997
2018-02-20,45.46,46.71,45.39,46.32,25511962,0.76,1.67%,46.32,1181243154.53,130823
2018-02-16,45.815,46.59,45.51,45.56,21475207,-0.36,-0.78%,45.56,988023678.48,109155
2018-02-15,45.88,45.99,44.95,45.92,23536793,0.54,1.19%,45.92,1073900238.36,106440
2018-02-14,44.07,45.51,44.04,45.38,19922010,0.92,2.07%,45.38,894025659.08,113565
2018-02-13,44.59,44.775,44.255,44.46,19517609,-0.37,-0.83%,44.46,867696763.50,105895
2018-02-12,44.15,45.16,44.09,44.83,28379521,0.88,2.00%,44.83,1270662175.86,148489
