date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,177.43,178.61,176.54,177.33,1990554,0.16,0.09%,177.33,353153596.48,16409
2018-03-09,172.38,177.26,172.02,177.17,1761553,5.70,3.32%,177.17,309026986.24,17062
2018-03-08,171.04,171.62,169.82,171.47,817720,0.81,0.47%,171.47,139693719.40,8933
2018-03-07,168.58,171.16,168.26,170.66,1352306,1.20,0.71%,170.66,229974570.17,12103
2018-03-06,170.90,171.09,168.79,169.46,1262618,-0.72,-0.42%,169.46,214099383.02,12460
2018-03-05,167.59,171.41,167.00,170.18,1301835,1.34,0.79%,170.18,221398505.10,13770
2018-03-02,162.84,169.21,162.594,168.84,1896110,4.50,2.74%,168.84,316443654.19,18150
2018-03-01,167.40,168.14,163.24,164.34,1794290,-2.52,-1.51%,164.34,295809938.33,20298
2018-02-28,171.38,172.11,166.80,166.86,1672343,-3.49,-2.05%,166.86,282154359.58,17364
2018-02-27,172.36,173.155,170.26,170.35,1740440,-2.32,-1.34%,170.35,298262114.56,18786
2018-02-26,171.75,172.86,169.93,172.67,2290748,0.89,0.52%,172.67,394187210.64,15713
2018-02-23,167.90,172.30,164.85,171.78,3189893,-0.32,-0.19%,171.78,542239180.27,29948
2018-02-22,173.89,177.51,171.58,172.10,2068827,-1.22,-0.70%,172.10,358801666.96,22149
2018-02-21,174.50,176.255,173.21,173.32,1460440,-0.25,-0.14%,173.32,255103687.46,14889
2018-02-20,171.00,174.55,170.55,173.57,1819755,1.88,1.09%,173.57,315284602.35,17655
2018-02-16,169.02,173.00,168.81,171.69,1700488,2.38,1.41%,171.69,291796352.18,17563
2018-02-15,164.73,169.32,163.38,169.31,1237647,5.41,3.30%,169.31,207335356.96,13821
2018-02-14,158.85,164.06,158.1328,163.90,1235399,4.54,2.85%,163.90,200474907.65,13831
2018-02-13,156.93,160.20,155.0212,159.36,1264540,-0.02,-0.01%,159.36,201070084.57,13241
2018-02-12,159.21,160.78,157.50,159.38,1484921,2.32,1.48%,159.38,236355670.00,14540
2018-02-09,152.72,158.38,150.43,157.06,2175685,4.31,2.82%,157.06,336030281.73,24498
2018-02-08,161.28,161.28,152.66,152.75,1615059,-8.54,-5.29%,152.75,252066158.50,19937
2018-02-07,159.75,165.305,159.14,161.29,1673535,0.42,0.26%,161.29,272215010.77,19142
2018-02-06,155.21,160.91,152.611,160.87,2205537,3.22,2.04%,160.87,348928487.47,23934
2018-02-05,162.66,163.99,157.64,157.65,1678303,-5.77,-3.53%,157.65,269502333.78,19929
2018-02-02,164.49,166.405,163.41,163.42,1412876,-2.23,-1.35%,163.42,232058515.17,15716
2018-02-01,167.56,168.45,164.92,165.65,1499882,-2.25,-1.34%,165.65,249634767.02,15867
2018-01-31,168.60,168.975,166.971,167.90,1314515,-0.60,-0.36%,167.90,220725028.72,12993
2018-01-30,169.71,170.00,167.33,168.50,1189229,-0.71,-0.42%,168.50,200458414.36,12448
2018-01-29,169.96,170.43,168.265,169.21,939779,-1.23,-0.72%,169.21,159107937.83,11136
2018-01-26,168.54,170.59,168.19,170.44,751661,2.62,1.56%,170.44,127639327.41,8324
2018-01-25,168.03,168.78,166.28,167.82,739982,0.27,0.16%,167.82,124211450.13,8493
2018-01-24,168.64,169.58,166.89,167.55,860634,-0.91,-0.54%,167.55,144586524.05,10886
2018-01-23,169.00,169.79,167.75,168.46,1058775,-0.21,-0.12%,168.46,178559912.45,10819
2018-01-22,167.75,168.80,167.14,168.67,1042600,0.93,0.55%,168.67,175613280.52,8611
2018-01-19,164.94,167.82,164.62,167.74,1555402,3.34,2.03%,167.74,259581909.25,13686
2018-01-18,163.89,164.96,163.61,164.40,980771,0.11,0.07%,164.40,161195407.23,10945
2018-01-17,163.88,164.68,162.93,164.29,903241,2.00,1.23%,164.29,148091088.61,10987
2018-01-16,165.00,166.49,161.83,162.29,1385036,-2.22,-1.35%,162.29,226437963.62,14901
2018-01-12,163.08,164.94,162.93,164.51,652394,1.51,0.93%,164.51,107135310.88,7667
2018-01-11,163.52,164.28,162.25,163.00,813932,-0.51,-0.31%,163.00,132614488.54,8753
2018-01-10,164.38,164.58,162.55,163.51,1095379,-1.34,-0.81%,163.51,178834931.78,12735
2018-01-09,164.14,165.13,162.77,164.85,1098328,1.03,0.63%,164.85,180469282.00,11177
2018-01-08,164.03,164.53,163.34,164.21,1185952,0.10,0.06%,163.82,194605616.27,8513
2018-01-05,162.80,164.55,162.50,164.11,1072061,2.095,1.30%,163.7202,175732123.34,10725
