date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,55.51,55.8199,54.90,54.98,3340191,-0.26,-0.47%,54.98,184282055.10,25419
2018-03-09,55.05,55.32,54.37,55.24,3877379,0.34,0.62%,55.24,213423119.01,27629
2018-03-08,55.00,55.38,54.56,54.90,3597928,-0.10,-0.18%,54.90,197479193.50,26000
2018-03-07,56.04,56.18,54.28,55.00,7476810,-2.70,-4.68%,55.00,411936267.54,47786
2018-03-06,58.34,58.605,57.19,57.70,4457365,-1.24,-2.10%,57.70,258122347.65,31142
2018-03-05,58.11,59.17,58.05,58.94,1993546,0.47,0.80%,58.94,117125747.57,11791
2018-03-02,57.99,58.67,57.68,58.47,1931886,0.11,0.19%,58.47,112543954.68,14475
2018-03-01,59.64,59.8656,57.953,58.36,2243668,-1.23,-2.06%,58.36,131595949.84,19592
2018-02-28,60.47,60.74,59.56,59.59,2358563,-0.57,-0.95%,59.59,141461481.22,11975
2018-02-27,60.60,61.30,60.16,60.16,1832164,-0.41,-0.68%,60.16,111129169.06,15313
2018-02-26,59.85,60.75,59.52,60.57,1526213,1.07,1.80%,60.57,92078164.07,10783
2018-02-23,58.71,59.52,58.42,59.50,2289367,1.19,2.04%,59.50,135399700.52,15663
2018-02-22,58.74,59.08,58.16,58.31,1490358,-0.09,-0.15%,58.31,87293865.78,11049
2018-02-21,58.00,59.50,57.80,58.40,2282486,0.40,0.69%,58.40,133977986.35,17407
2018-02-20,58.23,59.05,57.86,58.00,2809559,-0.465,-0.80%,58.00,163825691.53,18900
2018-02-16,58.44,59.58,58.29,58.94,2344488,0.337,0.58%,58.465,138456521.75,17204
2018-02-15,58.84,58.9705,57.83,58.60,2865437,0.218,0.38%,58.1277,166926181.44,21019
2018-02-14,57.57,58.50,57.43,58.38,2030583,0.347,0.60%,57.9095,117912878.48,14947
2018-02-13,57.70,58.14,57.02,58.03,2241182,0.149,0.26%,57.5623,129265709.81,16653
2018-02-12,57.61,58.3099,57.16,57.88,2578879,0.675,1.19%,57.4135,149034317.44,20409
2018-02-09,56.95,57.74,55.13,57.20,3375334,1.141,2.05%,56.739,191154969.77,26261
2018-02-08,59.15,59.22,56.00,56.05,3729103,-3.174,-5.40%,55.5983,213750367.89,28008
2018-02-07,59.33,60.5995,59.1322,59.25,3871397,-0.317,-0.54%,58.7725,231763167.43,27901
2018-02-06,58.53,59.76,57.2824,59.57,4315790,0.129,0.22%,59.0899,253888262.65,33582
2018-02-05,61.83,62.83,59.235,59.44,3483433,-2.708,-4.39%,58.961,212054318.28,28344
2018-02-02,61.49,62.95,61.26,62.17,4226295,0.496,0.81%,61.669,263072223.86,32223
2018-02-01,62.89,63.32,61.36,61.67,4301047,-1.18,-1.89%,61.173,266468812.06,34267
2018-01-31,63.34,63.49,62.41,62.86,4886907,-1.329,-2.09%,62.3534,307411740.04,30675
2018-01-30,64.42,65.07,63.66,64.20,2431718,-0.873,-1.35%,63.6826,156527012.77,16915
2018-01-29,66.94,66.94,64.95,65.08,3762933,0.327,0.51%,64.5555,245928427.89,22783
