date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,23.95,24.01,23.59,23.73,5630469,-0.20,-0.84%,23.73,133778152.95,27711
2018-03-09,23.69,23.94,23.395,23.93,4210597,0.28,1.18%,23.93,99986853.24,26117
2018-03-08,23.54,23.72,23.00,23.65,5305059,0.19,0.81%,23.65,124611390.27,29939
2018-03-07,23.47,23.61,23.17,23.46,3452210,-0.21,-0.89%,23.46,80737453.22,21347
2018-03-06,23.69,23.85,23.235,23.67,5309943,0.08,0.34%,23.67,125115696.55,32198
2018-03-05,23.45,23.80,23.40,23.59,6154240,0.01,0.04%,23.59,145213028.42,36517
2018-03-02,22.92,23.66,22.83,23.58,6791228,0.57,2.48%,23.58,159392715.41,42343
2018-03-01,23.00,23.24,22.71,23.01,10306563,-0.39,-1.67%,23.01,236564912.10,59774
2018-02-28,23.71,23.88,23.40,23.40,10323930,-0.17,-0.72%,23.40,244099837.16,55193
2018-02-27,24.50,24.56,23.78,23.78,5890750,-0.714,-2.94%,23.57,142026447.87,34026
2018-02-26,24.47,24.55,24.15,24.50,4251489,0.258,1.07%,24.2836,103774862.84,24175
2018-02-23,24.16,24.30,23.83,24.24,5617289,0.297,1.25%,24.0259,135341832.09,34326
2018-02-22,24.50,24.62,23.885,23.94,7601638,-0.456,-1.89%,23.7286,183540386.46,38427
2018-02-21,24.72,24.97,24.40,24.40,6826854,-0.297,-1.21%,24.1845,167754699.51,33645
2018-02-20,24.95,25.32,24.48,24.70,8080309,-0.624,-2.49%,24.4819,199974630.37,42090
2018-02-16,25.22,26.01,25.08,25.33,11777701,0.268,1.08%,25.1063,301049037.93,57650
2018-02-15,24.44,25.17,23.90,25.06,11710257,0.565,2.33%,24.8387,291003516.63,58071
2018-02-14,23.82,25.1146,23.48,24.49,16878140,2.25,10.22%,24.2737,413852684.80,87471
2018-02-13,21.83,22.36,21.795,22.22,6835703,0.307,1.41%,22.0238,151833356.76,40312
2018-02-12,21.99,22.30,21.785,21.91,7735120,0.168,0.78%,21.7165,169946960.14,41829
2018-02-09,21.50,21.89,20.77,21.74,9966328,0.396,1.87%,21.548,212274374.82,54218
2018-02-08,21.65,22.23,21.34,21.34,8387366,0.04,0.19%,21.1515,182090294.59,43616
2018-02-07,20.96,21.67,20.94,21.30,4599153,0.317,1.53%,21.1119,98384611.86,27425
2018-02-06,20.28,21.265,20.251,20.98,7623613,0.208,1.01%,20.7947,158676950.90,42995
2018-02-05,21.16,21.5799,20.77,20.77,7761250,-0.515,-2.44%,20.5866,164128550.77,44738
2018-02-02,21.73,21.74,21.23,21.29,4854953,-0.476,-2.20%,21.102,103917268.60,27474
2018-02-01,21.75,21.97,21.72,21.77,3094218,-0.119,-0.55%,21.5777,67492825.06,20519
2018-01-31,21.75,21.93,21.66,21.89,4845048,0.188,0.88%,21.6967,105656572.21,22280
2018-01-30,21.80,21.985,21.67,21.70,4608419,-0.059,-0.28%,21.5084,100272962.25,20986
2018-01-29,21.78,22.14,21.70,21.76,4507518,-0.149,-0.68%,21.5678,98413289.58,22015
2018-01-26,21.46,21.94,21.39,21.91,3693993,0.545,2.57%,21.7165,80400581.41,21272
2018-01-25,21.86,21.92,21.31,21.36,3804318,-0.456,-2.11%,21.1714,81702218.15,21637
2018-01-24,21.91,22.05,21.735,21.82,3493432,0.089,0.41%,21.6273,76412016.30,18675
2018-01-23,21.91,21.91,21.37,21.73,3939502,-0.228,-1.05%,21.5381,85227844.16,20930
2018-01-22,21.37,21.97,21.3401,21.96,3737490,0.605,2.86%,21.7661,81554020.14,16572
2018-01-19,21.55,21.63,21.24,21.35,3516249,-0.248,-1.16%,21.1615,75221866.59,20079
2018-01-18,21.05,21.61,21.00,21.60,5727902,0.02,0.09%,21.4093,122990055.89,22561
2018-01-17,21.30,21.73,21.12,21.58,2915384,0.357,1.70%,21.3894,62529625.41,18117
2018-01-16,21.85,22.04,21.185,21.22,7542049,-0.515,-2.39%,21.0326,161923990.84,30612
2018-01-12,21.54,21.87,21.48,21.74,8045458,0.278,1.30%,21.548,174757557.45,33459
2018-01-11,20.94,21.46,20.90,21.46,7296722,0.555,2.68%,21.2705,155497961.66,38441
2018-01-10,20.23,20.98,20.13,20.90,7072194,0.585,2.90%,20.7154,146573384.74,33194
2018-01-09,20.41,20.53,20.13,20.31,3861775,-0.04,-0.20%,20.1306,78559385.98,21560
2018-01-08,20.16,20.37,19.955,20.35,4270822,0.159,0.79%,20.1703,86295678.40,22078
2018-01-05,20.18,20.28,20.05,20.19,3689117,0.02,0.10%,20.0117,74345535.36,18544
2018-01-04,19.78,20.225,19.60,20.17,4165578,0.406,2.07%,19.9919,83516410.63,22030
2018-01-03,20.19,20.23,19.61,19.76,5489456,-0.486,-2.42%,19.5855,108642702.01,27384
2018-01-02,19.32,20.26,19.15,20.25,5973825,0.089,0.45%,20.0712,119780824.57,29445
2017-12-29,20.42,20.47,20.15,20.16,2473669,-0.208,-1.03%,19.982,50063787.90,11795
2017-12-28,20.28,20.39,20.11,20.37,2119916,0.109,0.54%,20.1901,42955300.37,12217
