date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,105.96,106.81,105.45,105.93,1014860,0.33,0.31%,105.93,107674502.62,8160
2018-03-09,103.78,105.66,102.98,105.60,955152,2.35,2.28%,105.60,100235271.77,7409
2018-03-08,102.27,103.75,101.77,103.25,1063875,1.32,1.30%,103.25,109766425.51,9508
2018-03-07,100.74,102.33,100.33,101.93,773903,1.27,1.26%,101.93,78763274.35,6856
2018-03-06,99.92,100.76,99.63,100.66,620596,0.97,0.97%,100.66,62279972.40,7678
2018-03-05,98.03,100.15,96.94,99.69,833141,1.52,1.55%,99.69,82531091.59,8645
2018-03-02,96.94,99.52,96.24,98.17,989902,0.97,1.00%,98.17,97051354.19,11207
2018-03-01,98.43,98.87,96.725,97.20,1237524,-1.13,-1.15%,97.20,120965929.09,15530
2018-02-28,99.86,100.22,98.29,98.33,1821077,-1.24,-1.25%,98.33,180416281.86,15151
2018-02-27,99.97,100.90,98.71,99.57,1146404,-0.40,-0.40%,99.57,114625518.53,11887
2018-02-26,100.00,100.75,98.51,99.97,1658862,0.19,0.19%,99.97,165266895.39,12980
2018-02-23,98.87,99.925,98.21,99.78,1403805,1.40,1.42%,99.78,139646068.53,14093
2018-02-22,100.02,100.75,97.82,98.38,1351787,-1.38,-1.38%,98.38,133566811.61,14283
2018-02-21,100.64,101.49,99.73,99.76,1367112,-0.50,-0.50%,99.76,137474738.89,13360
2018-02-20,101.58,102.07,99.78,100.26,1301499,-1.46,-1.44%,100.26,131227312.11,12895
2018-02-16,101.39,102.50,101.16,101.72,1288765,0.15,0.15%,101.72,131338648.16,12493
2018-02-15,105.51,106.27,99.78,101.57,1869437,-3.11,-2.97%,101.57,189453746.32,15406
2018-02-14,100.98,108.38,100.00,104.68,2273019,4.62,4.62%,104.68,239205166.34,21417
2018-02-13,98.10,101.23,97.77,100.06,1440563,1.43,1.45%,100.06,143830509.04,15532
2018-02-12,96.90,99.439,95.95,98.63,1258340,2.58,2.69%,98.63,123379427.89,14517
2018-02-09,96.26,96.88,94.12,96.05,1194776,0.82,0.86%,96.05,114384223.32,12926
2018-02-08,98.29,98.91,95.22,95.23,945306,-2.98,-3.03%,95.23,91396200.69,11134
2018-02-07,98.19,100.25,98.16,98.21,904991,0.15,0.15%,98.21,89647823.84,9756
2018-02-06,95.21,98.47,93.0989,98.06,1760634,1.31,1.35%,98.06,170845053.37,14501
2018-02-05,100.32,100.99,95.96,96.75,1319879,-3.79,-3.77%,96.75,129294614.31,14623
2018-02-02,103.33,103.33,100.50,100.54,827650,-3.58,-3.44%,100.54,83780958.58,9120
2018-02-01,102.12,104.18,101.38,104.12,1111877,1.93,1.89%,104.12,115247091.77,9464
2018-01-31,104.59,104.97,101.86,102.19,1517798,-2.18,-2.09%,102.19,156449159.84,9367
2018-01-30,105.30,106.215,103.64,104.37,779898,-1.21,-1.15%,104.37,81895972.17,7634
2018-01-29,105.04,106.33,104.341,105.58,871383,-0.43,-0.41%,105.58,92163337.46,8396
2018-01-26,105.00,106.13,104.68,106.01,1779249,1.43,1.37%,106.01,188165378.29,9576
2018-01-25,103.50,105.10,103.50,104.58,815795,1.08,1.04%,104.58,85262588.45,8772
2018-01-24,103.21,103.84,103.11,103.50,865808,0.29,0.28%,103.50,89603506.29,7912
2018-01-23,102.96,104.07,102.60,103.21,952920,0.37,0.36%,103.21,98646620.50,8194
2018-01-22,102.76,104.03,102.48,102.84,1683039,-0.16,-0.16%,102.84,173547445.03,16222
2018-01-19,100.34,103.0451,100.34,103.00,1351872,3.08,3.08%,103.00,138522269.58,12200
2018-01-18,100.37,100.74,99.74,99.92,795222,-0.30,-0.30%,99.92,79601702.32,7787
2018-01-17,100.50,100.58,99.5651,100.22,975193,0.29,0.29%,100.22,97683495.20,9498
2018-01-16,100.43,101.01,99.85,99.93,957540,-0.11,-0.11%,99.93,95875110.62,8616
2018-01-12,99.93,100.68,99.46,100.04,742070,0.18,0.18%,100.04,74277405.38,8116
2018-01-11,99.27,100.06,98.45,99.86,1588629,0.99,1.00%,99.86,158303518.31,10789
2018-01-10,98.37,99.00,97.20,98.87,775806,0.33,0.33%,98.87,76429531.21,8150
2018-01-09,98.96,99.00,98.05,98.54,1160196,-0.06,-0.06%,98.54,114432048.12,11205
2018-01-08,98.48,98.79,98.13,98.60,830415,0.04,0.04%,98.60,81859210.76,7724
2018-01-05,97.44,98.83,97.34,98.56,1381639,1.28,1.32%,98.56,135769440.86,11535
2018-01-04,99.45,100.12,97.15,97.28,1795944,-2.24,-2.25%,97.28,176083638.38,14094
2018-01-03,99.76,100.16,99.08,99.52,738277,-0.24,-0.24%,99.52,73461954.62,7711
2018-01-02,98.52,100.47,97.57,99.76,1348958,1.86,1.90%,99.76,134060866.49,11239
2017-12-29,98.68,98.86,97.8701,97.90,839812,-0.41,-0.42%,97.90,82507214.89,7783
2017-12-28,98.88,98.88,97.45,98.31,1245007,-0.23,-0.23%,98.31,121998689.11,10405
2017-12-27,98.29,99.35,98.011,98.54,1305136,0.19,0.19%,98.54,128626670.92,11411
2017-12-26,99.56,99.7299,98.30,98.35,722387,-1.03,-1.04%,98.35,71191017.80,6168
2017-12-22,99.88,100.015,98.505,99.38,960946,-0.76,-0.76%,99.38,95340689.82,8942
2017-12-21,100.22,100.795,99.88,100.14,1288718,-0.18,-0.18%,100.14,129098718.75,10562
2017-12-20,101.53,101.60,100.28,100.32,1481452,-0.94,-0.93%,100.32,149503497.41,11649
2017-12-19,102.56,102.8587,101.11,101.26,1269400,-1.22,-1.19%,101.26,128891588.25,11611
2017-12-18,102.77,103.10,101.76,102.48,1073679,0.42,0.41%,102.48,109916774.22,7867
2017-12-15,101.39,102.22,101.27,102.06,2710219,0.59,0.58%,102.06,276412615.03,7985
