date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,89.65,89.96,87.90,88.08,1375322,-1.55,-1.73%,88.08,121799289.25,13758
2018-03-09,88.26,89.64,87.87,89.63,2017961,2.15,2.46%,89.63,179858850.00,14768
2018-03-08,87.20,87.65,86.58,87.48,1951995,0.70,0.81%,87.48,170235588.20,16123
2018-03-07,85.78,87.50,85.77,87.23,1992312,0.239,0.28%,86.78,172423400.83,15970
2018-03-06,86.77,87.90,85.95,86.99,1970710,0.766,0.89%,86.5412,171426771.54,17043
2018-03-05,85.82,86.63,85.04,86.22,3552229,-0.07,-0.08%,85.7752,305813067.71,18638
2018-03-02,85.10,86.57,84.05,86.29,2858215,0.418,0.49%,85.8448,244262745.21,25676
2018-03-01,88.98,89.05,85.81,85.87,2665542,-2.915,-3.30%,85.427,232072444.82,26092
2018-02-28,90.54,91.39,88.79,88.80,1816678,-1.273,-1.42%,88.3419,163593167.36,15914
2018-02-27,90.73,91.77,90.08,90.08,1546131,-0.567,-0.63%,89.6153,140359755.87,13546
2018-02-26,90.29,90.98,89.21,90.65,2160753,0.497,0.55%,90.1823,194734947.11,16218
2018-02-23,90.98,91.14,89.57,90.15,1553521,-0.159,-0.18%,89.6849,140079741.09,11782
2018-02-22,90.59,91.60,90.10,90.31,1295156,0.298,0.33%,89.8441,117682210.34,12466
2018-02-21,90.20,91.25,89.30,90.01,2985211,-0.03,-0.03%,89.5456,268999494.65,22427
2018-02-20,90.49,91.20,89.70,90.04,1649158,-0.985,-1.09%,89.5755,149071493.08,14144
2018-02-16,91.73,93.24,90.79,91.03,1961522,-0.975,-1.07%,90.5604,180113727.10,15376
2018-02-15,91.26,92.36,89.871,92.01,1580099,1.612,1.79%,91.5353,144364795.50,16080
2018-02-14,89.69,90.73,89.33,90.39,1852203,0.129,0.14%,89.9237,166907176.27,16241
2018-02-13,90.05,90.91,89.63,90.26,1172164,-0.647,-0.71%,89.7943,105807291.74,11375
2018-02-12,89.88,91.73,89.672,90.91,1484922,1.741,1.96%,90.441,134974607.56,14669
2018-02-09,88.71,89.88,85.75,89.16,2351736,1.552,1.78%,88.70,207122676.22,22757
2018-02-08,91.13,91.28,87.54,87.60,2111475,-3.571,-3.94%,87.1481,188606273.39,20951
2018-02-07,91.73,93.61,91.15,91.19,2110075,-0.557,-0.61%,90.7196,194890586.78,22712
2018-02-06,88.71,92.29,87.83,91.75,3032561,1.214,1.35%,91.2767,273954382.67,31180
2018-02-05,94.54,95.275,90.345,90.53,3789342,-4.686,-4.95%,90.063,348764057.71,24838
2018-02-02,95.97,96.47,95.075,95.24,2601308,-1.353,-1.41%,94.7487,248730094.25,26355
2018-02-01,94.35,97.67,94.25,96.60,3633986,1.96,2.08%,96.1016,350170883.69,33381
2018-01-31,93.37,94.78,91.31,94.63,4407496,2.089,2.27%,94.1418,412740267.04,33706
2018-01-30,93.41,93.94,91.78,92.53,2512497,-1.333,-1.43%,92.0526,232302007.89,24726
2018-01-29,93.63,95.1599,93.59,93.87,2071983,0.05,0.05%,93.3857,195226450.60,17938
2018-01-26,91.99,93.86,91.50,93.82,1619431,2.238,2.46%,93.336,151113641.02,13804
2018-01-25,92.65,92.65,90.867,91.57,1071252,-0.408,-0.45%,91.0976,98210154.08,8259
2018-01-24,92.19,93.34,91.6908,91.98,1744698,0.209,0.23%,91.5055,160752862.20,16072
2018-01-23,91.28,91.85,90.33,91.77,1643808,1.92,2.15%,91.2966,150385517.32,13507
2018-01-22,90.72,90.83,89.27,89.84,1197186,-1.084,-1.20%,89.3765,107425803.17,12079
2018-01-19,90.80,91.05,90.12,90.93,1143233,0.597,0.66%,90.4609,103790847.56,9151
2018-01-18,89.91,91.115,89.55,90.33,1237619,0.149,0.17%,89.864,111969233.74,10150
2018-01-17,90.47,90.72,89.741,90.18,1166194,-0.08,-0.09%,89.7148,105194846.95,11784
2018-01-16,91.88,91.93,89.98,90.26,1451498,-0.836,-0.92%,89.7943,131999167.16,13866
2018-01-12,92.37,92.37,90.68,91.10,1744093,-0.885,-0.97%,90.63,159075333.76,15176
2018-01-11,91.00,92.79,90.77,91.99,1897820,1.005,1.11%,91.5154,174468585.31,15597
2018-01-10,90.87,91.10,90.10,90.98,1495262,0.09,0.10%,90.5106,135773050.77,10930
2018-01-09,90.73,91.31,90.43,90.89,1779228,0.468,0.52%,90.4211,161784259.05,13441
