date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,440.53,445.10,438.03,438.95,744645,-1.51,-0.34%,438.95,328092319.79,10521
2018-03-09,434.00,444.96,434.00,440.46,785089,8.10,1.87%,440.46,345632726.83,12536
2018-03-08,430.88,433.33,428.97,432.36,443755,1.90,0.44%,432.36,191416633.39,7243
2018-03-07,422.70,432.16,421.365,430.46,772822,3.96,0.93%,430.46,331032616.50,9095
2018-03-06,426.01,432.11,423.46,426.50,584594,2.25,0.53%,426.50,249581238.46,9604
2018-03-05,413.22,426.11,412.36,424.25,579339,6.86,1.64%,424.25,244446354.44,7546
2018-03-02,409.57,418.35,406.17,417.39,546005,5.26,1.28%,417.39,225609854.59,8797
2018-03-01,428.44,428.85,409.89,412.13,924998,-14.32,-3.36%,412.13,385454291.36,15403
2018-02-28,431.46,436.21,426.21,426.45,613170,-4.53,-1.05%,426.45,263611906.44,10368
2018-02-27,433.00,435.40,429.4068,430.98,649790,-1.02,-0.24%,430.98,280440559.35,8956
2018-02-26,430.00,432.935,426.0592,432.00,460180,4.49,1.05%,432.00,198075628.52,8289
2018-02-23,421.31,427.75,418.972,427.51,472273,7.72,1.84%,427.51,200645288.89,7336
2018-02-22,419.72,425.95,418.39,419.79,577833,3.23,0.78%,419.79,243541044.41,9358
2018-02-21,421.29,426.81,416.30,416.56,592382,-5.20,-1.23%,416.56,249691803.12,9350
2018-02-20,415.51,427.38,415.46,421.76,894245,5.78,1.39%,421.76,377716297.61,14247
2018-02-16,418.56,421.13,414.46,415.98,549737,-2.58,-0.62%,415.98,229387012.58,8243
2018-02-15,413.00,418.81,410.00,418.56,521359,8.67,2.12%,418.56,216666363.31,8748
2018-02-14,397.51,411.2072,397.51,409.89,507581,7.89,1.96%,409.89,206529127.54,8649
2018-02-13,396.66,402.895,394.00,402.00,478708,3.49,0.88%,402.00,191243734.46,7776
2018-02-12,395.50,401.88,391.61,398.51,845177,5.60,1.43%,398.51,336414300.41,11724
2018-02-09,386.93,396.83,380.00,392.91,1301214,11.04,2.89%,392.91,505060189.48,20119
2018-02-08,400.48,400.645,381.60,381.87,1293408,-17.66,-4.42%,381.87,503712912.13,19509
2018-02-07,407.12,410.88,396.34,399.53,770645,-8.80,-2.16%,399.53,310892075.40,13197
2018-02-06,390.68,412.57,385.511,408.33,1571945,9.32,2.34%,408.33,633764531.79,27791
2018-02-05,415.67,417.00,399.01,399.01,1255266,-17.95,-4.30%,399.01,512999816.76,24226
2018-02-02,423.01,426.20,416.2701,416.96,939639,-8.96,-2.10%,416.96,394398097.76,14550
2018-02-01,432.61,433.13,423.36,425.92,706539,-5.75,-1.33%,425.92,301577957.22,11697
2018-01-31,430.00,436.33,427.32,431.67,825928,3.83,0.90%,431.67,356566760.28,13709
