date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,34.61,35.03,34.47,34.52,4189953,0.00,0.00%,34.52,145149122.78,28829
2018-03-09,34.24,34.57,33.795,34.52,3617980,0.62,1.83%,34.52,124186591.86,23603
2018-03-08,33.37,33.96,33.20,33.90,5810706,0.56,1.68%,33.90,195653217.25,32918
2018-03-07,32.74,33.38,32.70,33.34,4082329,0.22,0.66%,33.34,135207267.18,24680
2018-03-06,32.93,33.225,32.57,33.12,3012752,0.45,1.38%,33.12,99388838.65,19650
2018-03-05,32.11,32.90,31.80,32.67,3225602,0.46,1.43%,32.67,105159515.21,20805
2018-03-02,31.64,32.28,31.44,32.21,3727600,0.40,1.26%,32.21,118754663.60,29543
2018-03-01,32.55,32.74,31.57,31.81,4218443,-0.73,-2.24%,31.81,135355100.85,33644
2018-02-28,33.25,33.515,32.52,32.54,4106823,-0.48,-1.45%,32.54,135473606.05,28928
2018-02-27,33.75,34.00,33.01,33.02,3297628,-0.82,-2.42%,33.02,110052712.04,26191
2018-02-26,33.43,33.88,33.14,33.84,2637874,0.65,1.96%,33.84,88735388.09,19908
2018-02-23,33.06,33.20,32.80,33.19,2246775,0.25,0.76%,33.19,74175784.77,15921
2018-02-22,33.36,33.60,32.85,32.94,3783075,-0.28,-0.84%,32.94,125279407.55,28010
2018-02-21,33.34,33.95,33.20,33.22,3832942,0.01,0.03%,33.22,128598849.23,26966
2018-02-20,33.71,34.03,33.05,33.21,4285154,-0.71,-2.09%,33.21,142708865.04,31809
2018-02-16,33.12,34.05,33.02,33.92,4997102,0.73,2.20%,33.92,168574997.27,29276
2018-02-15,33.40,33.81,32.86,33.19,3748941,0.02,0.06%,33.19,124179340.60,28620
2018-02-14,32.06,33.19,31.92,33.17,3936143,0.95,2.95%,33.17,129012105.41,25872
2018-02-13,32.49,33.01,32.31,32.51,3181816,-0.01,-0.03%,32.22,103608039.41,22748
2018-02-12,32.72,32.95,32.1537,32.52,2720708,0.079,0.25%,32.2299,88560639.73,20951
2018-02-09,32.40,32.73,31.24,32.44,5322925,0.515,1.63%,32.1506,170834838.56,37381
2018-02-08,33.45,33.53,31.92,31.92,4151838,-1.526,-4.60%,31.6353,135300740.28,31281
2018-02-07,33.54,34.36,33.43,33.46,4163004,-0.149,-0.45%,33.1615,140844916.09,32277
2018-02-06,32.39,33.86,32.08,33.61,6416553,0.436,1.33%,33.3102,213067930.59,49524
2018-02-05,34.53,35.1538,33.02,33.17,6240053,-1.972,-5.66%,32.8741,212694321.88,45184
2018-02-02,35.65,35.70,34.815,35.16,5003882,-0.862,-2.41%,34.8464,176223573.84,34988
2018-02-01,36.25,36.64,35.85,36.03,3966642,-0.099,-0.28%,35.7086,143620492.49,28526
2018-01-31,36.25,36.66,35.41,36.13,4910117,-0.545,-1.50%,35.8077,177646250.69,28459
2018-01-30,37.12,37.40,36.68,36.68,3941125,-0.793,-2.13%,36.3528,145659404.35,24975
2018-01-29,38.26,38.43,37.47,37.48,3093066,-0.912,-2.40%,37.1457,116689045.03,18317
