date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,39.25,39.51,38.43,38.70,6003179,0.16,0.42%,38.70,232562374.05,37242
2018-03-09,37.81,38.54,37.67,38.54,3016616,0.91,2.42%,38.54,115605286.28,20904
2018-03-08,37.18,37.65,37.03,37.63,3926715,0.56,1.51%,37.63,146985314.21,24237
2018-03-07,36.92,37.15,36.33,37.07,4190371,-0.32,-0.86%,37.07,154091842.32,24168
2018-03-06,37.05,37.54,36.87,37.39,3705579,0.47,1.27%,37.39,138024480.20,25306
2018-03-05,36.08,37.02,36.04,36.92,5658790,0.65,1.79%,36.92,207574410.62,24209
2018-03-02,35.51,36.35,34.99,36.27,6717177,0.37,1.03%,36.27,240340297.50,42424
2018-03-01,36.87,36.87,35.06,35.90,9791625,-0.97,-2.63%,35.90,351141214.32,65937
2018-02-28,38.03,38.1792,36.865,36.87,4555444,-1.15,-3.02%,36.87,169937002.74,26545
2018-02-27,38.73,38.99,38.02,38.02,3527462,-0.72,-1.86%,38.02,135507371.60,21355
2018-02-26,38.87,39.00,38.40,38.74,3046056,-0.08,-0.21%,38.74,118025425.22,19090
2018-02-23,38.13,38.85,38.05,38.82,3319350,0.84,2.21%,38.82,128158155.04,20240
2018-02-22,38.10,38.675,37.83,37.98,3766282,0.13,0.34%,37.98,143779634.46,20803
2018-02-21,37.86,38.55,37.82,37.85,2956048,-0.02,-0.05%,37.85,112747315.53,18083
2018-02-20,38.19,38.47,37.75,37.87,3563741,-0.55,-1.43%,37.87,135426555.66,22801
2018-02-16,38.17,38.84,38.09,38.42,5131168,0.23,0.60%,38.42,197501191.12,31489
2018-02-15,37.75,38.26,37.45,38.19,6726076,0.68,1.81%,38.19,256113093.81,36869
2018-02-14,37.10,37.68,37.10,37.51,7114222,0.12,0.32%,37.51,266131911.26,34099
2018-02-13,37.26,37.82,37.13,37.39,4508453,-0.02,-0.05%,37.39,168726089.84,26587
2018-02-12,36.58,37.63,36.5201,37.41,8824991,1.12,3.09%,37.41,328539615.42,52138
2018-02-09,36.97,37.13,35.43,36.29,8006874,-0.26,-0.71%,36.29,288969267.68,50947
2018-02-08,37.61,37.72,36.53,36.55,5363389,-1.05,-2.79%,36.55,198959945.81,37551
2018-02-07,37.51,38.235,37.45,37.60,5186837,-0.02,-0.05%,37.60,196390070.35,30963
2018-02-06,36.91,38.00,36.46,37.62,7436124,0.10,0.27%,37.62,278303157.30,51981
2018-02-05,39.33,39.54,37.47,37.52,7449859,-2.01,-5.08%,37.52,285323513.17,52641
2018-02-02,39.42,39.925,39.41,39.53,5307497,-0.28,-0.70%,39.53,210387572.91,35918
2018-02-01,38.79,40.2046,38.78,39.81,8174205,0.68,1.74%,39.81,325029515.63,45816
2018-01-31,40.18,40.41,38.36,39.13,8171757,-0.71,-1.78%,39.13,319569182.85,48434
