date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,60.79,60.79,59.84,60.43,991049,-0.37,-0.61%,60.43,59869046.11,8953
2018-03-09,60.29,60.89,59.87,60.80,1016147,1.19,2.00%,60.80,61616937.86,9932
2018-03-08,60.46,60.52,59.11,59.61,1073402,-0.58,-0.96%,59.61,63979614.20,9247
2018-03-07,59.48,60.36,59.27,60.19,910383,-0.01,-0.02%,60.19,54604126.88,9214
2018-03-06,60.26,60.60,59.915,60.20,1227322,0.09,0.15%,60.20,73902586.71,10817
2018-03-05,59.52,60.62,59.28,60.11,1179896,0.07,0.12%,60.11,70900319.95,10826
2018-03-02,58.56,60.16,58.29,60.04,1569448,0.70,1.18%,60.04,93447360.29,13728
2018-03-01,60.91,61.04,59.17,59.34,1656937,-1.72,-2.82%,59.34,99200276.37,18023
2018-02-28,62.18,62.62,61.05,61.06,2229011,-0.68,-1.10%,61.06,137367934.06,14555
2018-02-27,62.92,63.64,61.72,61.74,2091377,-1.27,-2.02%,61.74,129849032.45,12861
2018-02-26,62.68,63.25,61.89,63.01,966552,0.66,1.06%,63.01,60655980.43,9478
2018-02-23,62.91,63.26,61.235,62.35,1878546,-0.25,-0.40%,62.35,116519588.38,14744
2018-02-22,62.48,63.84,62.08,62.60,1006188,0.54,0.87%,62.60,63224230.49,10952
2018-02-21,62.40,63.51,62.05,62.06,1304922,-0.41,-0.66%,62.06,81814372.32,14157
2018-02-20,62.76,63.48,62.11,62.47,983232,-0.72,-1.14%,62.47,61547165.06,11561
2018-02-16,63.40,64.30,63.136,63.19,1486252,-0.52,-0.82%,63.19,94247270.04,11833
2018-02-15,64.00,64.11,62.77,63.71,1508525,0.20,0.31%,63.71,95636944.49,14040
2018-02-14,61.58,63.775,61.32,63.66,1669651,1.387,2.23%,63.51,104954587.44,17513
2018-02-13,62.45,63.01,61.48,62.27,1327360,-0.818,-1.30%,62.1233,82502850.58,13841
2018-02-12,62.99,63.90,61.47,63.09,2033748,0.858,1.38%,62.9414,127948413.07,21013
2018-02-09,63.66,63.66,60.35,62.23,2030225,-0.589,-0.94%,62.0834,125401139.02,21267
2018-02-08,66.14,66.26,62.81,62.82,3666171,-3.182,-4.83%,62.672,233713726.88,26556
2018-02-07,64.10,67.10,62.92,66.01,2075078,1.866,2.92%,65.8545,137117724.14,20650
2018-02-06,59.45,65.00,56.55,64.14,2537831,0.988,1.57%,63.9889,159549915.00,20830
2018-02-05,66.21,66.83,63.06,63.15,1819806,-3.961,-5.91%,63.0012,118378986.30,17851
2018-02-02,69.62,69.675,66.71,67.12,1043291,-2.893,-4.14%,66.9619,70547582.59,10120
2018-02-01,69.09,70.19,68.52,70.02,817375,0.559,0.81%,69.855,56946418.98,8023
2018-01-31,70.79,70.99,69.01,69.46,894622,-0.239,-0.34%,69.2964,62389530.14,8529
2018-01-30,70.67,71.02,68.53,69.70,1179877,-1.347,-1.90%,69.5358,82029880.64,10432
2018-01-29,71.00,72.18,70.52,71.05,1446959,1.097,1.57%,70.8826,103392058.88,11883
2018-01-26,70.04,70.1299,69.32,69.95,755373,0.09,0.13%,69.7852,52772317.22,4780
2018-01-25,70.62,70.79,69.40,69.86,576905,-0.379,-0.54%,69.6954,40300827.20,5400
2018-01-24,70.30,70.90,69.83,70.24,733908,0.359,0.52%,70.0745,51628603.30,7066
2018-01-23,70.15,70.40,69.52,69.88,643899,-0.349,-0.50%,69.7154,45032764.22,6611
2018-01-22,69.71,70.47,69.47,70.23,986198,0.279,0.40%,70.0645,69112460.97,8267
2018-01-19,69.43,69.99,68.77,69.95,923850,0.559,0.81%,69.7852,64373956.69,6335
2018-01-18,69.90,70.05,69.25,69.39,748313,-0.19,-0.27%,69.2265,52054644.29,7107
2018-01-17,69.79,69.90,69.09,69.58,649736,0.16,0.23%,69.4161,45163032.41,7040
2018-01-16,70.00,70.35,69.25,69.42,1411935,-0.14,-0.20%,69.2564,98608827.37,12251
2018-01-12,69.86,69.86,69.27,69.56,1177071,0.06,0.09%,69.3961,81860231.35,8829
2018-01-11,68.13,69.52,67.95,69.50,1235120,1.686,2.49%,69.3363,85373402.66,9060
2018-01-10,67.79,68.19,67.261,67.81,735389,0.10,0.15%,67.6502,49843021.35,7215
2018-01-09,68.07,68.52,67.47,67.71,913606,-0.249,-0.37%,67.5505,62076906.56,9031
2018-01-08,68.00,68.16,67.34,67.96,1041245,-0.18,-0.26%,67.7999,70595964.31,7290
2018-01-05,68.01,68.31,67.37,68.14,1059074,0.349,0.52%,67.9795,71804750.15,8818
2018-01-04,67.50,68.00,66.97,67.79,1509972,0.688,1.03%,67.6303,102210004.68,8403
2018-01-03,67.00,67.45,66.76,67.10,1108621,0.229,0.34%,66.9419,74393630.84,9488
2018-01-02,66.50,67.34,66.2461,66.87,1145384,0.908,1.38%,66.7125,76441592.64,10172
2017-12-29,66.57,66.81,65.94,65.96,519526,-0.609,-0.92%,65.8046,34424640.63,4769
2017-12-28,66.61,66.75,66.14,66.57,506723,0.289,0.44%,66.4132,33658241.72,4589
2017-12-27,66.27,66.31,65.60,66.28,729116,0.229,0.35%,66.1238,48201408.17,7264
2017-12-26,65.94,66.40,65.1601,66.05,733734,-0.229,-0.35%,65.8944,48369609.70,7067
2017-12-22,66.25,66.90,66.01,66.28,495918,-0.20,-0.30%,66.1238,32905971.38,5249
2017-12-21,66.52,66.81,66.06,66.48,735398,0.09,0.14%,66.3234,48951141.31,7329
2017-12-20,66.785,67.03,66.37,66.39,885223,0.00,0.00%,66.2336,58912760.03,7850
2017-12-19,66.79,67.01,66.34,66.39,919720,-0.349,-0.52%,66.2336,61269375.36,9481
2017-12-18,66.85,67.2036,66.30,66.74,1244388,0.549,0.83%,66.5828,83015518.93,10363
2017-12-15,66.445,67.18,65.93,66.19,1636078,0.06,0.09%,66.0341,108836908.41,10743
2017-12-14,67.03,67.12,65.90,66.13,1190620,-2.025,-2.98%,65.9742,79023937.80,10056
2017-12-13,68.63,69.35,67.92,68.16,906923,-0.229,-0.34%,67.9994,62066273.12,7982
2017-12-12,68.46,68.95,68.20,68.39,714464,0.01,0.01%,68.2289,48945182.95,5753
2017-12-11,68.44,68.57,67.835,68.38,731659,-0.13,-0.19%,68.2189,49963175.67,6811
2017-12-08,68.00,68.69,67.56,68.51,854111,0.818,1.21%,68.3486,58199046.67,8069
2017-12-07,68.97,68.97,67.49,67.69,1041747,0.00,0.00%,67.5305,70713476.96,8053
2017-12-06,66.36,68.12,66.31,67.69,1247304,1.227,1.85%,67.5305,84330507.83,12076
2017-12-05,66.85,66.89,66.04,66.46,795578,-0.229,-0.34%,66.3034,52892392.28,7614
2017-12-04,66.30,67.69,66.12,66.69,1110542,1.227,1.88%,66.5329,74330740.51,8475
