date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,26.50,26.62,26.21,26.34,2886651,-0.09,-0.34%,26.34,76069373.55,22432
2018-03-09,26.15,26.44,26.03,26.43,2088659,0.39,1.50%,26.43,54941817.83,15289
2018-03-08,25.91,26.06,25.76,26.04,4063627,0.17,0.66%,26.04,105510018.86,17881
2018-03-07,25.81,26.01,25.69,25.87,3382356,-0.07,-0.27%,25.87,87422267.30,21984
2018-03-06,26.01,26.05,25.68,25.94,3265595,0.10,0.39%,25.94,84540719.37,21684
2018-03-05,25.51,26.16,25.44,25.84,6480238,0.24,0.94%,25.84,167621076.23,36483
2018-03-02,25.12,25.63,25.04,25.60,3572851,0.43,1.71%,25.60,90843341.68,26262
2018-03-01,25.65,25.88,25.09,25.17,4299230,-0.49,-1.91%,25.17,109060351.59,31597
2018-02-28,25.98,26.09,25.52,25.66,6124935,-0.44,-1.69%,25.66,157762584.52,32512
2018-02-27,26.19,26.70,26.0207,26.10,3630536,-0.09,-0.34%,26.10,95483764.82,25377
2018-02-26,26.19,26.47,26.085,26.19,4033816,0.07,0.27%,26.19,105725950.28,24758
2018-02-23,26.21,26.29,25.69,26.12,4455723,0.09,0.35%,26.12,115949123.06,21789
2018-02-22,25.88,26.32,25.85,26.03,4485452,0.14,0.54%,26.03,116946126.43,21992
2018-02-21,26.29,26.40,25.81,25.89,4678496,-0.34,-1.30%,25.89,122098111.38,25214
2018-02-20,26.06,26.69,26.05,26.23,5335714,-0.12,-0.46%,26.23,140483709.77,26135
2018-02-16,26.90,27.30,26.35,26.35,5780286,-0.56,-2.08%,26.35,154527582.14,30381
2018-02-15,26.44,27.13,26.31,26.91,6866415,0.74,2.83%,26.91,183685815.98,35279
2018-02-14,25.97,26.355,25.96,26.17,6977437,-0.02,-0.08%,26.17,182578091.60,30704
2018-02-13,25.65,26.25,25.65,26.19,3846228,0.39,1.51%,26.19,100274864.03,26050
2018-02-12,25.61,25.89,25.21,25.80,3977759,0.36,1.42%,25.80,102161046.93,24187
2018-02-09,24.92,25.67,24.56,25.44,6415975,0.78,3.16%,25.44,161049306.85,43778
2018-02-08,25.42,25.535,24.65,24.66,4350541,-0.73,-2.88%,24.66,108820521.44,29374
2018-02-07,25.51,25.73,25.26,25.39,3196055,-0.15,-0.59%,25.39,81372861.09,21005
2018-02-06,25.01,25.64,24.56,25.54,4795826,0.34,1.35%,25.54,121338833.94,30580
2018-02-05,26.01,26.27,25.19,25.20,3866488,-1.06,-4.04%,25.20,99458343.59,25154
2018-02-02,26.41,26.745,26.24,26.26,5380633,-0.29,-1.09%,26.26,142378613.95,29015
2018-02-01,25.96,26.576,25.80,26.55,4949259,0.40,1.53%,26.55,130417171.62,28066
2018-01-31,25.83,26.31,25.05,26.15,16168393,-2.17,-7.66%,26.15,415224235.53,77093
2018-01-30,28.30,28.55,28.17,28.32,5281238,-0.16,-0.56%,28.32,149760594.09,27188
2018-01-29,28.05,28.67,28.05,28.48,4454458,0.29,1.03%,28.48,126845889.90,22629
