date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,49.91,50.31,49.38,49.85,1401232,-0.14,-0.28%,49.85,69794033.35,11869
2018-03-09,50.43,50.759,49.38,49.99,2148364,-0.14,-0.28%,49.99,107023109.42,15807
2018-03-08,51.42,51.52,49.95,50.13,2456820,-0.92,-1.80%,50.13,123851219.82,15642
2018-03-07,52.19,52.33,50.64,51.05,2268846,-1.44,-2.74%,51.05,116279324.03,16566
2018-03-06,50.99,52.51,50.81,52.49,3286235,0.59,1.14%,52.49,169750810.69,21495
2018-03-05,52.90,53.18,51.74,51.90,2988274,-1.14,-2.15%,51.90,155703894.25,21166
2018-03-02,47.85,53.23,47.46,53.04,4985294,2.93,5.85%,53.04,258047771.03,37612
2018-03-01,50.65,50.87,49.15,50.48,3405552,-0.824,-1.62%,50.11,170357834.81,25794
2018-02-28,51.51,51.95,50.89,51.31,2167688,0.278,0.55%,50.9339,111555812.08,18580
2018-02-27,53.14,53.53,51.01,51.03,2769921,-1.36,-2.61%,50.6559,143059339.73,21340
2018-02-26,53.63,53.80,52.21,52.40,2237668,-1.151,-2.17%,52.0159,117625153.16,17560
2018-02-23,50.69,54.00,50.23,53.56,7127872,3.266,6.54%,53.1674,378108690.56,44088
2018-02-22,50.16,50.7368,50.00,50.27,1014627,0.208,0.42%,49.9015,51083139.44,9452
2018-02-21,50.52,51.10,50.04,50.06,1125792,-0.427,-0.85%,49.6931,56834311.08,11102
2018-02-20,50.97,51.43,50.15,50.49,1343886,-1.003,-1.96%,50.1199,68132141.60,12054
2018-02-16,51.13,51.80,50.90,51.50,1346662,0.258,0.51%,51.1225,69321447.79,11325
2018-02-15,50.76,51.60,50.30,51.24,1333622,0.874,1.75%,50.8644,68113772.77,11026
2018-02-14,48.87,50.67,48.49,50.36,1487097,1.181,2.42%,49.9909,74269506.99,10762
2018-02-13,48.30,49.23,48.18,49.17,1001251,0.794,1.65%,48.8096,48952738.36,8740
2018-02-12,48.18,48.76,47.67,48.37,910082,0.476,1.00%,48.0154,43996425.40,8609
2018-02-09,47.67,48.61,46.20,47.89,2079440,0.655,1.40%,47.539,98096415.43,18942
2018-02-08,48.89,49.08,47.20,47.23,1791575,-2.055,-4.20%,46.8838,85936223.62,15919
2018-02-07,49.35,50.15,48.50,49.30,2221331,1.032,2.15%,48.9386,109809227.78,19585
2018-02-06,47.06,48.75,46.10,48.26,2463963,1.608,3.47%,47.9063,117755849.55,19883
2018-02-05,47.58,48.49,46.51,46.64,2622579,-1.201,-2.53%,46.2981,123498060.73,19130
2018-02-02,48.82,49.41,47.53,47.85,1842334,-1.37,-2.80%,47.4993,89065662.25,15669
2018-02-01,48.90,51.00,48.40,49.23,1447209,-0.079,-0.16%,48.8691,71503760.16,12817
2018-01-31,49.61,50.15,49.07,49.31,1357407,-0.099,-0.20%,48.9486,67189257.46,10882
2018-01-30,50.60,50.81,49.05,49.41,1608686,-1.469,-2.91%,49.0478,79812211.47,12761
2018-01-29,50.25,51.25,50.25,50.89,1301369,0.486,0.97%,50.517,66288790.56,9048
2018-01-26,49.54,50.40,49.05,50.40,2416973,0.893,1.82%,50.0306,120436432.84,17922
2018-01-25,50.91,51.00,49.38,49.50,1945760,-1.112,-2.21%,49.1372,96756120.67,15927
2018-01-24,51.92,52.24,50.13,50.62,2557942,-1.37,-2.65%,50.249,130092706.96,18791
2018-01-23,51.82,52.4924,51.41,52.00,1181859,-0.814,-1.55%,51.6188,61316651.98,10817
2018-01-22,52.00,52.83,51.51,52.82,1100002,0.814,1.58%,52.4328,57637099.59,9762
2018-01-19,51.42,52.10,51.06,52.00,1504232,0.774,1.52%,51.6188,77975424.73,10252
2018-01-18,50.84,51.40,50.69,51.22,884781,0.248,0.49%,50.8446,45200470.73,7783
