date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,70.39,71.08,69.83,69.83,2463709,-0.42,-0.60%,69.83,172768736.79,19856
2018-03-09,69.85,70.81,69.30,70.25,2907986,0.61,0.88%,70.25,203819069.56,22285
2018-03-08,69.50,69.73,69.03,69.64,1452970,0.34,0.49%,69.64,100990551.28,13618
2018-03-07,69.01,69.70,68.62,69.30,1906918,-0.60,-0.86%,69.30,132137785.20,16631
2018-03-06,69.15,70.01,68.83,69.90,3269530,0.70,1.01%,69.90,227577084.05,26977
2018-03-05,67.43,69.22,67.42,69.20,3908560,1.52,2.25%,69.20,269460511.80,20607
2018-03-02,66.37,67.98,66.37,67.68,2292979,1.31,1.97%,67.68,154650908.78,19907
2018-03-01,66.81,67.84,66.40,66.91,2790468,0.704,1.07%,66.37,186950755.01,24690
2018-02-28,67.24,67.47,66.18,66.20,2130000,-0.922,-1.39%,65.6657,141849629.10,15080
2018-02-27,69.00,69.30,67.11,67.13,3125130,-1.805,-2.64%,66.5882,211255884.75,19490
2018-02-26,68.46,69.16,67.80,68.95,1917715,0.407,0.60%,68.3935,132047639.59,15790
2018-02-23,68.13,68.54,66.92,68.54,2779069,0.278,0.41%,67.9868,189080670.87,21189
2018-02-22,68.34,69.60,68.16,68.26,1825942,-0.05,-0.07%,67.7091,125519545.87,15707
2018-02-21,69.51,69.86,68.25,68.31,2780895,-1.359,-1.97%,67.7587,191182373.81,22476
2018-02-20,69.33,70.29,69.33,69.68,3399810,0.02,0.03%,69.1176,237003406.95,17523
2018-02-16,69.14,69.89,68.79,69.66,2020042,-0.159,-0.23%,69.0978,140418999.76,14675
2018-02-15,68.10,69.93,67.35,69.82,3559679,2.063,3.07%,69.2565,245485067.85,23780
2018-02-14,67.32,68.02,66.72,67.74,2367296,0.248,0.37%,67.1933,160245452.62,17424
2018-02-13,66.89,67.80,66.67,67.49,3139781,0.417,0.63%,66.9453,211186451.95,25455
2018-02-12,67.65,68.47,66.96,67.07,3287655,-0.258,-0.39%,66.5287,221556240.86,20479
2018-02-09,66.60,67.78,66.00,67.33,4226515,1.339,2.05%,66.7866,282799119.48,34741
2018-02-08,64.59,67.32,64.55,65.98,5911815,1.756,2.76%,65.4475,391192980.50,46778
2018-02-07,65.17,66.70,64.16,64.21,4871263,-0.942,-1.46%,63.6918,318520371.90,37737
2018-02-06,63.14,65.31,62.96,65.16,5066171,1.022,1.61%,64.6341,326372397.01,36354
2018-02-05,65.64,66.34,64.075,64.13,4194789,-1.309,-2.02%,63.6124,273252074.89,34615
2018-02-02,68.17,68.17,65.42,65.45,3240426,-2.847,-4.20%,64.9218,215107789.57,25474
2018-02-01,68.00,68.96,67.17,68.32,3026768,0.208,0.31%,67.7686,206452797.32,22139
2018-01-31,68.03,68.55,67.42,68.11,3145647,0.169,0.25%,67.5603,214083376.52,19784
2018-01-30,67.67,68.24,67.11,67.94,2788978,0.179,0.27%,67.3917,189489451.68,19026
2018-01-29,68.12,68.41,67.73,67.76,2125407,-0.565,-0.83%,67.2131,144249949.07,12741
2018-01-26,67.79,68.44,67.62,68.33,2352899,0.417,0.62%,67.7785,160308712.30,13032
2018-01-25,67.37,68.35,67.33,67.91,2206212,0.605,0.91%,67.3619,149529144.50,18004
2018-01-24,67.04,67.8501,67.01,67.30,4236767,0.367,0.55%,66.7568,285782665.63,21863
2018-01-23,66.97,67.32,66.51,66.93,1788498,-0.238,-0.36%,66.3898,119730735.70,12714
2018-01-22,66.95,67.19,66.28,67.17,2143906,0.546,0.83%,66.6279,143461579.59,15410
2018-01-19,65.95,67.01,65.80,66.62,3454603,0.813,1.25%,66.0823,229899024.30,16165
2018-01-18,66.37,66.37,65.36,65.80,3429804,-0.704,-1.07%,65.2689,225574642.08,20171
2018-01-17,66.22,67.38,66.13,66.51,3809560,0.565,0.86%,65.9732,254687135.70,20109
2018-01-16,65.25,66.20,65.06,65.94,4747416,1.24,1.93%,65.4078,313007600.18,20100
2018-01-12,66.01,66.06,64.6601,64.69,4940164,-1.28,-1.96%,64.1679,320854319.83,30987
2018-01-11,67.29,67.29,65.57,65.98,3897367,-1.032,-1.55%,65.4475,258264367.55,23366
2018-01-10,68.34,68.46,66.82,67.02,3379864,-1.746,-2.56%,66.4791,227771786.17,20700
2018-01-09,69.20,69.21,68.595,68.78,3051352,-0.387,-0.56%,68.2249,209909061.44,15721
2018-01-08,68.87,69.21,68.62,69.17,1941119,0.228,0.33%,68.6117,133869997.81,13134
2018-01-05,68.85,69.19,68.60,68.94,2211935,0.208,0.31%,68.3836,152388711.46,15490
2018-01-04,67.73,68.77,67.49,68.73,2438803,1.071,1.60%,68.1753,167254080.38,16604
2018-01-03,68.11,68.13,67.41,67.65,2223443,-0.317,-0.47%,67.104,150552671.81,14398
2018-01-02,68.03,68.17,67.60,67.97,2978186,-0.01,-0.01%,67.4214,202424848.39,18846
2017-12-29,68.16,68.62,67.96,67.98,1154845,-0.05,-0.07%,67.4313,78739021.64,9550
2017-12-28,68.23,68.385,67.77,68.03,1538548,-0.258,-0.38%,67.4809,104603644.55,9186
2017-12-27,68.21,68.71,68.09,68.29,1603101,0.139,0.21%,67.7388,109515694.12,10272
2017-12-26,67.96,68.225,67.80,68.15,1372781,0.05,0.07%,67.60,93528947.80,9494
2017-12-22,67.83,68.25,67.67,68.10,2452259,0.446,0.67%,67.5504,166848808.69,15445
2017-12-21,66.92,67.84,66.83,67.65,3461334,0.774,1.17%,67.104,233382040.62,23148
2017-12-20,65.775,67.15,65.14,66.87,5328189,1.389,2.14%,66.3303,354518376.05,29520
2017-12-19,65.85,66.02,65.38,65.47,5184249,-0.169,-0.26%,64.9416,340094324.14,26272
2017-12-18,65.21,66.13,64.90,65.64,4558780,0.645,1.00%,65.1102,299721791.50,27738
2017-12-15,65.48,65.92,64.21,64.99,7038530,-0.06,-0.09%,64.4655,456427470.45,31128
2017-12-14,65.62,65.87,65.01,65.05,3022173,-0.774,-1.18%,64.525,197165212.59,20824
2017-12-13,66.22,66.32,65.79,65.83,3051268,-0.119,-0.18%,65.2987,201359885.06,18230
2017-12-12,66.62,66.62,65.93,65.95,2145728,-0.595,-0.90%,65.4177,142106877.02,16246
2017-12-11,66.46,66.625,66.03,66.55,1767436,0.02,0.03%,66.0129,117359682.21,14587
2017-12-08,67.07,67.23,66.36,66.53,2361225,-0.734,-1.10%,65.993,157205744.31,16476
2017-12-07,68.00,68.13,67.24,67.27,1758892,-0.853,-1.26%,66.7271,118690047.99,11784
2017-12-06,67.97,68.29,67.635,68.13,1890699,0.159,0.24%,67.5801,128771090.33,16565
2017-12-05,67.65,68.29,67.28,67.97,4446173,0.427,0.64%,67.4214,302324998.26,34271
2017-12-04,66.15,67.72,65.97,67.54,4200559,1.537,2.35%,66.9949,281791471.91,23908
2017-12-01,66.02,66.53,65.09,65.99,3329835,-0.169,-0.26%,65.4574,219546413.97,25573
2017-11-30,66.79,67.225,65.74,66.16,4505857,-0.099,-0.15%,65.626,298669807.54,23305
2017-11-29,65.59,67.74,65.59,66.80,3235385,0.846,1.30%,65.7252,216460825.70,28001
2017-11-28,65.23,65.96,64.78,65.94,2060681,0.856,1.34%,64.879,135379605.56,13328
2017-11-27,64.90,65.34,64.40,65.07,1877952,0.138,0.22%,64.023,122161958.83,14139
2017-11-24,64.96,65.03,64.50,64.93,797500,0.216,0.34%,63.8853,51707533.02,6437
2017-11-22,64.94,64.94,64.16,64.71,1771319,0.354,0.56%,63.6688,114450663.21,13864
2017-11-21,65.27,65.27,64.07,64.35,3875627,-1.191,-1.85%,63.3146,250509320.97,24966
2017-11-20,65.28,66.22,65.25,65.56,4112934,0.197,0.31%,64.5052,270726868.00,22520
2017-11-17,64.98,65.84,64.93,65.36,4617495,0.079,0.12%,64.3084,302232497.26,21971
2017-11-16,64.05,65.34,63.88,65.28,2948829,1.515,2.42%,64.2297,191709108.76,21099
2017-11-15,65.00,65.06,63.00,63.74,4553501,-1.417,-2.21%,62.7144,290307677.61,32440
2017-11-14,63.75,65.25,63.60,65.18,4270135,1.397,2.23%,64.1313,276606628.84,29559
2017-11-13,64.60,65.00,63.62,63.76,3419122,-0.925,-1.45%,62.7341,218759384.90,26314
2017-11-10,63.04,65.19,62.91,64.70,6215498,1.397,2.24%,63.659,401474287.30,41827
2017-11-09,62.69,63.42,62.485,63.28,4600678,0.453,0.73%,62.2618,290109208.27,35582
2017-11-08,61.00,62.97,60.86,62.82,4624456,1.948,3.25%,61.8092,287281149.30,31079
2017-11-07,60.25,61.39,60.13,60.84,6320077,0.63,1.06%,59.8611,384494252.69,33980
2017-11-06,61.85,61.85,60.19,60.20,3584785,-1.732,-2.84%,59.2314,217148738.53,25106
2017-11-03,62.44,62.4899,61.65,61.96,3072355,-0.413,-0.67%,60.9631,190400454.13,21922
2017-11-02,62.84,63.07,62.335,62.38,3334790,-0.62,-1.00%,61.3763,208884152.50,25800
2017-11-01,62.64,63.72,61.81,63.01,4620455,0.472,0.77%,61.9962,291667644.98,34284
2017-10-31,62.49,63.93,61.77,62.53,11598383,3.601,6.22%,61.5239,727099324.73,66204
