date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,67.26,67.89,67.10,67.70,2653218,0.47,0.70%,67.70,179485894.18,22749
2018-03-09,67.20,67.60,66.53,67.23,4910994,0.24,0.36%,67.23,330037085.34,25947
2018-03-08,67.17,67.36,66.465,66.99,3508396,0.155,0.23%,66.99,234756799.85,24114
2018-03-07,67.35,67.59,66.73,67.46,3316451,-0.307,-0.46%,66.835,223032473.93,23219
2018-03-06,67.70,67.87,67.23,67.77,3539445,0.337,0.50%,67.1421,239276654.36,26271
2018-03-05,66.72,67.73,66.72,67.43,3910845,0.258,0.39%,66.8053,263421183.22,26778
2018-03-02,67.02,67.61,66.52,67.17,4820795,0.277,0.42%,66.5477,322742675.26,35360
2018-03-01,67.14,67.989,66.36,66.89,5209561,-0.159,-0.24%,66.2703,348669832.96,39139
2018-02-28,68.27,68.59,67.03,67.05,6193039,-0.812,-1.21%,66.4288,417528143.34,32525
2018-02-27,69.61,70.015,67.86,67.87,5412091,-1.853,-2.68%,67.2412,370967096.14,41554
2018-02-26,69.60,70.00,68.56,69.74,7520460,0.713,1.04%,69.0939,521610457.07,47440
2018-02-23,67.96,69.11,67.35,69.02,5740860,1.367,2.04%,68.3805,393502420.64,41188
2018-02-22,67.38,68.249,67.05,67.64,5971978,0.168,0.25%,67.0133,403750293.62,40028
2018-02-21,68.92,68.93,67.44,67.47,6647873,-1.209,-1.78%,66.8449,452656704.00,46767
2018-02-20,70.78,70.80,68.02,68.69,8715244,-2.09,-2.98%,68.0536,600197737.24,52961
2018-02-16,69.94,71.25,67.65,70.80,15009034,-1.892,-2.63%,70.144,1044664307.79,98542
2018-02-15,72.19,72.78,70.65,72.71,7410879,0.783,1.10%,72.0363,532270976.96,54932
2018-02-14,71.34,72.04,70.70,71.92,5503089,0.208,0.29%,71.2537,394010672.51,33472
2018-02-13,71.52,71.99,70.6799,71.71,4043613,-0.099,-0.14%,71.0456,288983968.33,28915
2018-02-12,71.52,72.63,71.45,71.81,4372905,0.426,0.60%,71.1447,314720386.69,36386
2018-02-09,72.00,72.66,70.2452,71.38,6871009,-0.198,-0.28%,70.7187,491809928.41,51443
2018-02-08,73.60,74.04,71.25,71.58,8210822,-1.952,-2.68%,70.9168,591548358.98,60916
2018-02-07,73.84,74.71,73.52,73.55,6753689,-0.753,-1.02%,72.8686,500307776.86,45563
2018-02-06,73.84,74.32,72.05,74.31,7556430,0.05,0.07%,73.6215,554362623.45,58642
2018-02-05,77.29,77.9385,74.175,74.26,5372948,-2.903,-3.80%,73.572,405611366.65,47521
2018-02-02,78.12,78.34,76.65,77.19,5239738,-1.367,-1.76%,76.4748,404503267.43,37677
2018-02-01,78.12,78.95,77.60,78.57,3119823,0.178,0.23%,77.842,244694282.00,27020
2018-01-31,78.62,78.88,77.85,78.39,4855661,-0.109,-0.14%,77.6637,380409254.19,28860
2018-01-30,78.64,79.66,78.43,78.50,3334282,0.079,0.10%,77.7727,262681001.08,24653
2018-01-29,79.17,79.88,78.39,78.42,3280509,-0.961,-1.22%,77.6934,259029079.21,26788
2018-01-26,79.90,80.00,78.40,79.39,4772362,-0.277,-0.35%,78.6545,377725861.67,26352
2018-01-25,80.00,80.445,79.382,79.67,2927256,-0.188,-0.24%,78.9319,233585447.89,20763
2018-01-24,80.50,80.59,79.71,79.86,3119626,-0.406,-0.51%,79.1201,249454463.54,24176
2018-01-23,79.76,80.53,79.56,80.27,2833011,0.099,0.12%,79.5263,227314283.88,20953
2018-01-22,79.82,80.45,79.76,80.17,3988290,0.505,0.64%,79.4272,319294704.28,26501
2018-01-19,79.53,79.96,79.10,79.66,3749425,0.386,0.49%,78.9219,298112616.14,24256
2018-01-18,80.16,80.60,79.02,79.27,3447157,-0.793,-1.00%,78.5356,273926541.93,28374
2018-01-17,79.11,80.67,78.79,80.07,6547647,1.417,1.82%,79.3282,524664591.02,45982
2018-01-16,77.97,78.9204,77.56,78.64,5327794,1.278,1.67%,77.9114,417930371.76,35646
2018-01-12,77.35,77.57,76.60,77.35,4223517,0.218,0.29%,76.6334,325533468.80,29463
2018-01-11,78.02,78.20,77.02,77.13,3493696,-0.753,-0.98%,76.4154,270877018.45,28104
2018-01-10,78.65,78.65,77.40,77.89,3823737,-0.723,-0.93%,77.1683,297732761.66,28215
2018-01-09,78.54,78.72,78.05,78.62,3436739,0.139,0.18%,77.8916,269967313.41,23641
2018-01-08,77.82,78.58,77.82,78.48,3127060,0.634,0.82%,77.7529,245020198.41,23415
2018-01-05,78.04,78.33,77.23,77.84,4152467,-0.069,-0.09%,77.1188,323221931.31,25800
2018-01-04,77.23,78.22,77.06,77.91,3608530,0.892,1.17%,77.1882,281305384.69,25432
2018-01-03,77.33,77.59,76.90,77.01,3369254,-0.01,-0.01%,76.2965,260166923.97,26038
2018-01-02,78.22,78.31,76.88,77.02,4009001,-0.733,-0.95%,76.3064,309831496.98,27205
2017-12-29,77.70,78.68,77.69,77.76,2443652,-0.159,-0.21%,77.0396,190552329.70,16670
2017-12-28,78.22,78.29,77.72,77.92,1883796,-0.059,-0.08%,77.1981,146778001.72,15090
2017-12-27,78.24,78.60,77.95,77.98,1757268,-0.129,-0.17%,77.2575,137297417.14,12036
2017-12-26,78.12,78.47,78.00,78.11,2532324,-0.129,-0.17%,77.3863,197862244.36,15561
2017-12-22,78.14,78.60,77.88,78.24,3091373,0.357,0.46%,77.5151,241941825.35,18410
2017-12-21,77.84,78.17,77.07,77.88,4562353,0.495,0.65%,77.1584,354959024.71,27991
