date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,14.43,14.735,14.41,14.69,6289770,0.21,1.45%,14.69,91946015.25,28162
2018-03-09,15.10,15.12,14.30,14.48,7360385,-0.66,-4.36%,14.48,106492950.17,35956
2018-03-08,15.16,15.26,15.07,15.14,3157969,-0.07,-0.46%,15.14,47759664.17,17894
2018-03-07,14.95,15.24,14.92,15.21,4502234,0.25,1.67%,15.21,68241459.28,23976
2018-03-06,15.14,15.20,14.92,14.96,6051322,-0.18,-1.19%,14.96,90699616.51,28758
2018-03-05,15.04,15.37,15.00,15.14,6681382,-0.15,-0.98%,15.14,101301142.88,27839
2018-03-02,15.19,15.315,14.97,15.29,3438194,0.13,0.86%,15.29,52200614.20,18370
2018-03-01,14.88,15.42,14.82,15.16,3904719,0.20,1.34%,15.16,59354587.05,25145
2018-02-28,14.94,15.13,14.90,14.96,8155960,0.11,0.74%,14.96,122300593.94,28085
2018-02-27,15.53,15.62,14.84,14.85,4814428,-0.64,-4.13%,14.85,72436521.20,25830
2018-02-26,15.40,15.56,15.22,15.49,4749192,0.23,1.51%,15.49,73314070.02,24884
2018-02-23,15.06,15.27,14.86,15.26,3628977,0.27,1.80%,15.26,54814169.79,19361
2018-02-22,14.67,15.235,14.63,14.99,4883126,0.31,2.11%,14.99,73301351.50,26303
2018-02-21,15.25,15.285,14.67,14.68,4519453,-0.57,-3.74%,14.68,67388867.69,24092
2018-02-20,15.23,15.585,15.21,15.25,7793600,0.05,0.33%,15.25,119623561.13,38419
2018-02-16,14.62,15.23,14.62,15.20,7789531,0.53,3.61%,15.20,116995047.80,31292
2018-02-15,14.65,14.99,14.47,14.67,9583229,0.41,2.88%,14.67,141665558.51,38623
2018-02-14,14.20,14.395,13.99,14.26,5116685,-0.08,-0.56%,14.26,72821909.39,29402
2018-02-13,14.32,14.48,14.09,14.34,4179818,0.02,0.14%,14.34,59736441.58,25213
2018-02-12,14.22,14.40,13.90,14.32,7088667,0.14,0.99%,14.32,100151154.23,36962
2018-02-09,14.11,14.235,13.70,14.18,11249280,0.17,1.21%,14.18,157302698.23,52629
2018-02-08,14.41,14.52,14.00,14.01,7182102,-0.51,-3.51%,14.01,102781280.56,36361
2018-02-07,14.67,14.9406,14.51,14.52,5589427,-0.15,-1.02%,14.52,81979449.49,32459
2018-02-06,14.57,14.79,14.33,14.67,7778490,0.01,0.07%,14.67,113417540.41,47905
2018-02-05,14.77,15.31,14.62,14.66,8344529,-0.21,-1.41%,14.66,124659903.39,45341
2018-02-02,15.25,15.25,14.71,14.87,11164094,-0.49,-3.19%,14.87,165740040.67,51330
2018-02-01,15.90,15.95,15.28,15.36,6853032,-0.55,-3.46%,15.36,106261723.03,33474
2018-01-31,15.62,15.93,15.56,15.91,17769804,0.31,1.99%,15.91,281410168.31,38614
