date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,122.00,123.11,121.02,122.39,1042309,1.24,1.02%,122.39,127383811.96,11787
2018-03-09,117.67,121.34,117.01,121.15,1227857,4.15,3.55%,121.15,147493576.64,12229
2018-03-08,118.05,118.07,116.365,117.00,782663,-0.45,-0.38%,117.00,91607179.82,7142
2018-03-07,115.30,117.84,115.14,117.45,1298232,1.38,1.19%,117.45,151895575.59,10966
2018-03-06,114.77,116.72,114.19,116.07,1038540,2.24,1.97%,116.07,120278628.49,11176
2018-03-05,112.61,115.13,111.79,113.83,878221,0.82,0.73%,113.83,100064982.01,8191
2018-03-02,110.05,113.28,109.39,113.01,962660,1.80,1.62%,113.01,107626199.52,9270
2018-03-01,112.92,114.69,110.25,111.21,1193146,-2.10,-1.85%,111.21,133534292.10,13704
2018-02-28,114.19,115.00,112.98,113.31,1127253,-0.15,-0.13%,113.31,128113934.59,8439
2018-02-27,114.47,115.605,113.04,113.46,949701,-1.21,-1.06%,113.46,108074628.07,9698
2018-02-26,111.19,114.72,111.19,114.67,1173926,4.20,3.80%,114.67,133320645.14,11337
2018-02-23,109.93,110.66,108.72,110.47,1275752,1.56,1.43%,110.47,139912981.01,10587
2018-02-22,111.67,111.90,108.29,108.91,1548733,-0.76,-0.69%,108.91,168902118.44,12520
2018-02-21,110.81,111.48,109.24,109.67,1562650,-0.88,-0.80%,109.67,172250160.99,15096
2018-02-20,107.28,112.0736,107.00,110.55,2034372,3.03,2.82%,110.55,224867821.89,18761
2018-02-16,108.54,110.77,107.45,107.52,1812313,-1.35,-1.24%,107.52,196805841.28,13643
2018-02-15,108.75,109.29,103.71,108.87,2950315,1.40,1.30%,108.87,316131987.66,22233
2018-02-14,103.09,108.43,102.89,107.47,2065027,3.85,3.72%,107.47,220321453.87,19431
2018-02-13,103.31,104.62,102.755,104.21,2036392,0.298,0.29%,103.62,210791984.14,14505
2018-02-12,101.75,104.81,101.20,103.91,1755823,2.993,2.98%,103.3217,181792500.22,17512
2018-02-09,99.71,101.8099,96.12,100.90,1734594,2.347,2.39%,100.3287,172371989.96,19169
2018-02-08,103.01,103.837,97.58,98.54,2398985,-4.097,-4.01%,97.9821,238359647.08,26565
