date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,111.80,113.71,111.65,113.06,3152990,1.12,1.00%,113.06,356095654.27,20416
2018-03-09,112.42,113.16,111.32,111.94,1692260,-0.11,-0.10%,111.94,189578233.96,16253
2018-03-08,110.99,112.06,110.76,112.05,1704026,1.29,1.16%,112.05,190256021.19,14826
2018-03-07,112.36,112.71,111.335,111.76,1263704,-1.278,-1.14%,110.76,141391936.98,12076
2018-03-06,113.13,113.4899,111.03,113.05,2015209,-0.129,-0.11%,112.0384,226382301.68,19523
2018-03-05,112.16,113.64,112.02,113.18,1842062,0.624,0.56%,112.1673,208428836.36,15894
2018-03-02,111.21,112.73,111.21,112.55,1871648,1.041,0.94%,111.5429,209799902.63,16442
2018-03-01,111.00,112.65,110.59,111.50,1830892,0.575,0.52%,110.5023,204125056.04,20813
2018-02-28,113.24,113.48,110.87,110.92,2309586,-1.407,-1.26%,109.9275,257780847.67,16372
2018-02-27,114.24,114.53,112.34,112.34,1960314,-2.101,-1.85%,111.3348,221587064.83,16275
2018-02-26,113.90,114.63,113.21,114.46,1248967,0.803,0.71%,113.4358,142577469.03,11541
2018-02-23,113.23,113.65,112.54,113.65,1290459,0.832,0.74%,112.6331,146108272.76,12621
2018-02-22,112.39,113.95,112.12,112.81,1217088,0.862,0.78%,111.8006,137782687.70,12953
2018-02-21,114.43,114.89,111.88,111.94,2168386,-2.488,-2.19%,110.9384,245451303.28,19195
2018-02-20,115.51,115.51,113.45,114.45,1845639,-1.635,-1.42%,113.4259,211159098.43,14726
2018-02-16,115.85,117.24,115.61,116.10,2013673,0.277,0.24%,115.0611,234276926.99,16295
2018-02-15,113.12,115.93,112.52,115.82,2087582,3.062,2.74%,114.7836,239699735.01,19919
2018-02-14,112.23,113.55,111.98,112.73,1678621,0.069,0.06%,111.7213,189362505.57,16901
2018-02-13,113.18,113.90,112.46,112.66,1909696,-1.001,-0.89%,111.6519,215683403.71,15364
2018-02-12,112.26,114.89,112.00,113.67,2695238,2.21,2.00%,112.6529,306375848.47,23250
2018-02-09,112.35,112.35,109.51,111.44,3402801,-0.248,-0.22%,110.4428,377473943.34,29944
2018-02-08,112.36,113.38,111.14,111.69,2808954,-0.664,-0.60%,110.6906,315449376.85,27929
2018-02-07,114.12,115.02,112.25,112.36,2418910,-1.764,-1.56%,111.3546,274905899.51,24492
2018-02-06,110.51,114.74,110.28,114.14,4998609,2.24,2.02%,113.1187,568509181.73,45010
2018-02-05,116.03,117.02,111.62,111.88,3468427,-4.291,-3.73%,110.8789,393902542.98,30023
2018-02-02,117.30,117.5015,115.82,116.21,2614075,-1.675,-1.43%,115.1702,304315904.71,21247
2018-02-01,116.85,118.09,116.40,117.90,2205098,0.892,0.77%,116.845,259115877.38,20375
2018-01-31,119.23,119.28,116.31,117.00,3682974,-1.487,-1.27%,115.9531,432237382.71,23161
2018-01-30,119.50,119.99,118.2708,118.50,2400966,-1.199,-1.01%,117.4397,285159298.44,23123
2018-01-29,121.86,122.74,119.66,119.71,3037359,-2.497,-2.06%,118.6388,366468379.85,23652
2018-01-26,122.60,122.60,120.35,122.23,3264992,-1.199,-0.98%,121.1363,396893619.24,26470
2018-01-25,120.15,123.50,119.67,123.44,3703728,3.697,3.12%,122.3355,453452807.96,31097
2018-01-24,117.93,120.05,116.86,119.71,5303490,1.853,1.59%,118.6388,631399014.89,40207
2018-01-23,116.21,118.21,115.18,117.84,3630544,0.922,0.80%,116.7856,425951715.96,30836
2018-01-22,115.20,117.07,115.0745,116.91,2452092,1.407,1.23%,115.8639,285361711.18,22817
2018-01-19,115.74,116.269,114.96,115.49,2590417,0.149,0.13%,114.4566,298999581.64,18756
2018-01-18,116.36,116.77,114.88,115.34,2567726,-1.308,-1.13%,114.3079,296443106.51,21933
2018-01-17,114.62,117.13,114.49,116.66,2679909,2.379,2.10%,115.6161,312073371.68,26116
2018-01-16,113.66,114.64,113.21,114.26,3243764,1.269,1.13%,113.2376,370417883.43,25258
2018-01-12,112.88,113.69,112.00,112.98,3392962,0.277,0.25%,111.9691,382822192.10,25772
2018-01-11,115.00,115.24,112.32,112.70,3252074,-2.24,-1.97%,111.6916,368929648.73,28867
2018-01-10,116.46,116.59,112.915,114.96,2699988,-1.824,-1.58%,113.9313,309487110.00,25203
2018-01-09,119.45,119.45,116.75,116.80,2322725,-2.606,-2.20%,115.7549,272951864.82,23378
2018-01-08,118.01,119.55,117.97,119.43,2139873,1.249,1.07%,118.3613,254754942.81,15878
2018-01-05,118.51,118.89,117.71,118.17,1421434,-0.258,-0.22%,117.1126,167996637.75,13265
2018-01-04,117.67,119.54,117.191,118.43,2007217,1.338,1.15%,117.3703,237621096.72,19340
