date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,16.31,16.61,16.21,16.55,11294783,0.22,1.35%,16.55,185770830.44,39162
2018-03-09,16.12,16.33,16.10,16.33,8484653,0.32,2.00%,16.33,137908141.41,32213
2018-03-08,16.10,16.10,15.95,16.01,11030739,-0.04,-0.25%,16.01,176622262.49,35094
2018-03-07,16.02,16.16,15.9699,16.05,9583446,-0.06,-0.37%,16.05,153776587.86,34138
2018-03-06,16.28,16.29,16.00,16.11,13083157,-0.10,-0.62%,16.11,210810871.21,42886
2018-03-05,16.03,16.28,15.95,16.21,13559696,0.11,0.68%,16.21,219274833.87,56996
2018-03-02,16.12,16.18,15.86,16.10,13356358,-0.11,-0.68%,16.10,214075305.33,47282
2018-03-01,16.18,16.29,15.96,16.21,15126382,0.01,0.06%,16.21,244293474.39,62062
2018-02-28,16.75,16.76,16.19,16.20,16956913,-0.44,-2.64%,16.20,278093898.86,42598
2018-02-27,16.93,16.955,16.64,16.64,11665275,-0.28,-1.65%,16.64,195762620.53,46732
2018-02-26,17.06,17.06,16.76,16.92,12715334,-0.09,-0.53%,16.92,215176167.83,40992
2018-02-23,16.70,17.03,16.64,17.01,9748929,0.35,2.10%,17.01,164720536.59,42690
2018-02-22,16.84,17.04,16.605,16.66,10561733,-0.09,-0.54%,16.66,177064000.06,38350
2018-02-21,16.97,17.06,16.75,16.75,13464485,-0.25,-1.47%,16.75,227550254.29,42010
2018-02-20,17.05,17.19,16.90,17.00,13406578,-0.06,-0.35%,17.00,227922470.82,43969
2018-02-16,17.26,17.34,16.96,17.06,15042547,-0.25,-1.44%,17.06,256896873.39,52354
2018-02-15,17.58,17.65,17.15,17.31,14914040,-0.14,-0.80%,17.31,258326593.92,56878
2018-02-14,17.21,17.58,17.145,17.45,10854147,0.06,0.35%,17.45,189125132.07,37026
2018-02-13,17.20,17.45,17.135,17.39,9058340,0.09,0.52%,17.39,157015870.58,32410
2018-02-12,17.35,17.44,17.05,17.30,17074182,0.06,0.35%,17.30,293828795.55,61697
2018-02-09,16.96,17.39,16.62,17.24,30841837,0.44,2.62%,17.24,525016396.76,116462
2018-02-08,17.33,17.56,16.80,16.80,16484121,-0.49,-2.83%,16.80,281148189.57,66868
2018-02-07,17.30,17.54,17.23,17.29,19359688,-0.04,-0.23%,17.29,336961526.02,67302
2018-02-06,16.60,17.38,16.56,17.33,28021968,0.52,3.09%,17.33,479803849.28,101270
2018-02-05,17.28,17.475,16.57,16.81,23411862,-0.69,-3.94%,16.81,397613532.15,86189
2018-02-02,17.90,17.93,17.46,17.50,18493464,-0.56,-3.10%,17.50,325935874.04,61070
2018-02-01,18.02,18.08,17.81,18.06,13857878,0.08,0.44%,18.06,249237164.72,45235
2018-01-31,18.27,18.38,17.95,17.98,18709627,-0.25,-1.37%,17.98,338357261.73,64399
2018-01-30,18.50,18.541,18.22,18.23,18488218,-0.355,-1.91%,18.23,338769546.59,52009
2018-01-29,18.77,18.83,18.57,18.71,17204650,-0.06,-0.32%,18.585,322035761.26,49485
2018-01-26,18.98,18.99,18.69,18.77,17126856,-0.05,-0.27%,18.6446,321547387.26,48311
2018-01-25,19.20,19.32,18.79,18.82,16503191,-0.318,-1.67%,18.6943,312549990.09,57720
2018-01-24,19.52,19.56,19.13,19.14,17061936,-0.308,-1.59%,19.0121,328582329.43,57171
2018-01-23,19.66,19.7144,19.40,19.45,19891329,-0.179,-0.92%,19.3201,388534126.85,63036
2018-01-22,19.05,19.64,19.01,19.63,15649269,0.616,3.26%,19.4989,304619186.90,52854
2018-01-19,19.04,19.20,18.89,19.01,18004622,0.00,0.00%,18.883,342523367.81,55214
2018-01-18,19.50,19.52,18.77,19.01,37007820,-0.556,-2.86%,18.883,703467883.47,107197
2018-01-17,19.52,19.64,19.32,19.57,19501398,0.179,0.93%,19.4393,380084138.66,69515
2018-01-16,19.67,19.83,19.38,19.39,20322014,-0.129,-0.67%,19.2605,398821719.53,71074
2018-01-12,19.24,19.66,19.16,19.52,16116960,0.318,1.67%,19.3896,313071835.18,54584
2018-01-11,18.80,19.22,18.75,19.20,17387611,0.318,1.69%,19.0717,331211177.00,53025
2018-01-10,19.00,19.06,18.88,18.88,12593901,-0.06,-0.32%,18.7539,238760426.81,39575
2018-01-09,18.85,19.00,18.82,18.94,10734440,0.079,0.42%,18.8135,203283393.09,38980
2018-01-08,18.90,18.98,18.80,18.86,12309099,-0.089,-0.47%,18.734,232204764.21,41499
2018-01-05,19.07,19.08,18.75,18.95,11225271,-0.06,-0.32%,18.8234,212053428.93,43744
2018-01-04,18.99,19.10,18.86,19.01,12718909,0.05,0.26%,18.883,241558600.84,52748
2018-01-03,18.87,19.00,18.70,18.96,13893583,0.159,0.85%,18.8333,262751593.17,49628
2018-01-02,18.32,18.84,18.19,18.80,16189076,0.725,4.04%,18.6744,302103327.32,45167
2017-12-29,18.31,18.34,18.06,18.07,10474293,-0.238,-1.31%,17.9493,190132131.75,35320
2017-12-28,18.14,18.325,18.10,18.31,10501289,0.189,1.05%,18.1877,191280664.10,30201
2017-12-27,18.13,18.1942,18.05,18.12,11044364,0.01,0.06%,17.9989,200091570.92,27081
2017-12-26,18.05,18.18,18.05,18.11,7586404,0.06,0.33%,17.989,137397104.91,25927
2017-12-22,18.07,18.14,18.02,18.05,8094450,-0.02,-0.11%,17.9294,146203048.65,30743
2017-12-21,17.67,18.10,17.649,18.07,16184654,0.308,1.75%,17.9493,291053504.46,44123
2017-12-20,17.89,17.93,17.685,17.76,18573289,-0.159,-0.89%,17.6413,330119985.66,45150
2017-12-19,18.11,18.14,17.90,17.92,11268911,-0.079,-0.44%,17.8003,202758540.63,30694
2017-12-18,18.03,18.19,17.97,18.00,13292533,0.07,0.39%,17.8797,240458067.14,42589
2017-12-15,17.93,18.15,17.90,17.93,22930965,0.089,0.50%,17.8102,412289968.14,48161
2017-12-14,17.84,17.99,17.7775,17.84,13308043,-0.01,-0.06%,17.7208,238323734.44,41439
2017-12-13,17.76,17.93,17.73,17.85,13765167,0.099,0.56%,17.7307,245761777.45,43365
2017-12-12,17.99,18.025,17.72,17.75,13881156,-0.209,-1.17%,17.6314,247498013.15,46206
