date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,61.30,61.49,60.47,61.41,1532065,0.01,0.02%,61.41,93763226.76,12327
2018-03-09,60.99,61.73,60.79,61.40,1865976,0.69,1.14%,61.40,114171045.88,15193
2018-03-08,61.94,61.94,60.63,60.71,2124317,-0.96,-1.56%,60.71,129370635.51,14812
2018-03-07,61.42,61.8396,60.81,61.67,2029924,-0.40,-0.64%,61.67,124783167.40,16452
2018-03-06,61.82,62.53,61.56,62.07,1382006,0.16,0.26%,62.07,85841962.14,12862
2018-03-05,61.44,62.23,60.91,61.91,2800608,0.04,0.06%,61.91,173062302.68,19889
2018-03-02,62.46,62.46,60.63,61.87,2544623,-1.37,-2.17%,61.87,156113417.52,23351
2018-03-01,62.88,63.68,62.02,63.24,2476203,0.31,0.49%,63.24,155833150.06,22161
2018-02-28,64.00,64.10,62.91,62.93,1630110,-0.69,-1.08%,62.93,103086366.54,12940
2018-02-27,65.21,65.69,63.59,63.62,1739434,-1.28,-1.97%,63.62,111977116.11,15080
2018-02-26,64.88,65.41,64.22,64.90,1409623,0.18,0.28%,64.90,91342521.64,14452
2018-02-23,64.19,64.81,63.73,64.72,1442369,0.95,1.49%,64.72,92842836.18,13529
2018-02-22,63.95,64.75,63.56,63.77,1252321,0.16,0.25%,63.77,80079099.04,11481
2018-02-21,63.75,65.26,63.60,63.61,1722989,-0.36,-0.56%,63.61,111063219.65,17507
2018-02-20,63.49,64.225,62.65,63.97,3731451,0.07,0.11%,63.97,238035468.42,23647
2018-02-16,64.40,64.45,63.26,63.90,3043591,-0.83,-1.28%,63.90,194541667.85,24335
2018-02-15,63.90,64.77,63.40,64.73,3445119,1.35,2.13%,64.73,221161598.41,26528
2018-02-14,62.27,63.48,61.82,63.38,3041593,1.00,1.60%,63.38,191039116.66,26982
2018-02-13,60.88,62.96,60.56,62.38,3334126,1.49,2.45%,62.38,207120274.83,27436
2018-02-12,60.13,61.54,59.40,60.89,3656854,1.09,1.82%,60.89,222192811.37,29152
2018-02-09,60.40,60.80,56.21,59.80,7366288,-0.23,-0.38%,59.80,427493367.78,55400
2018-02-08,65.84,66.19,59.98,60.03,5993703,-6.08,-9.20%,60.03,369265161.06,46868
