date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,23.78,24.16,23.40,23.99,18464742,-0.09,-0.37%,23.99,439370234.65,82299
2018-03-09,23.10,24.10,22.88,24.08,22793171,1.10,4.79%,24.08,540134240.65,94582
2018-03-08,24.50,24.82,22.85,22.98,61491717,-3.25,-12.39%,22.98,1432624737.42,213941
2018-03-07,27.67,27.6899,26.02,26.23,22122553,-1.78,-6.35%,26.23,587548814.58,100274
2018-03-06,27.88,28.29,27.79,28.01,8669995,0.02,0.07%,28.01,242685757.55,44151
2018-03-05,27.29,28.01,27.27,27.99,9747286,0.64,2.34%,27.99,271432439.31,43717
2018-03-02,27.24,27.621,26.96,27.35,8605014,-0.11,-0.40%,27.35,234573103.29,46667
2018-03-01,27.29,27.85,27.10,27.46,8548048,0.34,1.25%,27.46,234940252.78,53357
2018-02-28,27.49,27.62,27.12,27.12,8335873,-0.15,-0.55%,27.12,227688185.78,34141
2018-02-27,27.90,28.10,27.27,27.27,6759743,-0.58,-2.08%,27.27,186099753.60,37892
2018-02-26,27.50,28.02,27.40,27.85,7044153,0.43,1.57%,27.85,195918809.02,32746
2018-02-23,27.36,27.53,27.18,27.42,5760276,0.20,0.73%,27.42,157751771.06,31725
2018-02-22,27.64,27.66,26.91,27.22,10635107,-0.19,-0.69%,27.22,289103259.77,54586
2018-02-21,27.67,28.025,27.28,27.41,9845906,-0.08,-0.29%,27.41,271692478.97,48629
2018-02-20,27.81,28.095,27.22,27.49,12438732,-1.20,-4.18%,27.49,342277720.37,62034
2018-02-16,28.64,29.075,28.57,28.69,5985803,-0.10,-0.35%,28.69,172401637.47,29430
2018-02-15,28.62,28.93,28.325,28.79,6133540,0.39,1.37%,28.79,176060732.55,31221
2018-02-14,27.85,28.67,27.77,28.40,8715571,0.405,1.45%,28.40,246770193.36,47775
2018-02-13,27.17,28.21,27.14,28.12,7825266,0.916,3.38%,27.995,218491239.60,46245
2018-02-12,27.87,27.88,27.02,27.20,10827057,-0.458,-1.66%,27.0791,295770067.64,55961
2018-02-09,27.82,28.04,26.63,27.66,10524952,0.09,0.33%,27.5371,288044507.70,65571
2018-02-08,28.80,28.90,27.52,27.57,12340264,-1.324,-4.60%,27.4475,344349205.29,64490
2018-02-07,29.05,29.46,28.835,28.90,7550458,-0.169,-0.58%,28.7715,219945755.15,41928
2018-02-06,27.92,29.22,27.18,29.07,12043266,0.597,2.11%,28.9408,346859886.47,71548
2018-02-05,28.98,29.54,28.25,28.47,14262011,-0.866,-2.97%,28.3435,411447778.89,69167
2018-02-02,30.01,30.125,29.31,29.34,7695934,-0.866,-2.88%,29.2096,227717476.91,45751
2018-02-01,30.21,30.70,30.075,30.21,5466974,-0.149,-0.49%,30.0757,165529044.24,34715
2018-01-31,30.84,31.09,30.21,30.36,11507775,-0.468,-1.52%,30.225,351952835.45,39830
2018-01-30,31.00,31.4536,30.73,30.83,11303958,-0.508,-1.63%,30.693,349714968.49,48143
2018-01-29,30.64,31.405,30.54,31.34,13224271,0.458,1.49%,31.2007,411434378.93,57286
2018-01-26,30.26,30.8851,30.05,30.88,11681035,0.617,2.05%,30.7427,356633387.56,43773
2018-01-25,30.35,30.46,29.71,30.26,16529239,0.777,2.65%,30.1255,498510476.12,67602
2018-01-24,29.45,29.87,29.145,29.48,12846503,0.169,0.58%,29.349,379610348.24,45321
2018-01-23,29.62,29.63,29.015,29.31,10590188,-0.319,-1.08%,29.1797,309639729.21,41391
2018-01-22,29.65,29.7228,29.16,29.63,9716078,-0.09,-0.30%,29.4983,286304923.80,40447
