date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,63.02,63.57,62.16,63.03,3084022,0.06,0.10%,63.03,193794267.88,25558
2018-03-09,63.90,64.00,61.41,62.97,4069213,0.78,1.25%,62.97,254262145.59,30902
2018-03-08,65.37,65.38,61.98,62.19,4802507,-2.99,-4.59%,62.19,300514363.81,34125
2018-03-07,65.94,66.73,65.03,65.18,2758581,-1.64,-2.45%,65.18,180764058.53,23528
2018-03-06,66.01,66.85,65.45,66.82,3255157,0.73,1.10%,66.82,215473434.70,27930
2018-03-05,66.26,66.95,65.2787,66.09,4261400,-0.41,-0.62%,66.09,282566036.21,31001
2018-03-02,61.85,66.70,61.61,66.50,7080328,3.75,5.98%,66.50,461691160.69,49788
2018-03-01,64.78,65.11,60.51,62.75,11553735,-3.34,-5.05%,62.75,715953462.47,77251
2018-02-28,65.53,66.76,65.14,66.09,4954903,1.09,1.68%,66.09,327153218.26,37641
2018-02-27,69.16,69.48,64.89,65.00,5616219,-2.10,-3.13%,65.00,371662003.08,43375
2018-02-26,66.89,67.40,65.95,67.10,3586327,0.63,0.95%,67.10,239954156.99,26423
2018-02-23,65.18,66.709,64.94,66.47,3309502,1.72,2.66%,66.47,218111041.46,23762
2018-02-22,64.00,65.48,63.70,64.75,3145462,1.31,2.06%,64.75,203961780.67,23401
2018-02-21,64.37,65.445,63.39,63.44,3331997,-0.93,-1.44%,63.44,214345904.26,25766
2018-02-20,64.61,65.58,63.80,64.37,3547501,-1.24,-1.89%,64.37,229357447.74,21708
2018-02-16,65.11,66.40,64.93,65.61,2348059,0.46,0.71%,65.61,154424624.84,18380
2018-02-15,65.34,65.88,64.34,65.15,2142116,0.58,0.90%,65.15,139350570.89,18182
2018-02-14,62.81,64.97,62.24,64.57,3246947,1.67,2.66%,64.57,208252358.74,26788
2018-02-13,61.12,63.00,60.88,62.90,2253341,1.78,2.91%,62.90,140750815.19,16075
2018-02-12,62.07,62.65,60.76,61.12,3620732,-0.35,-0.57%,61.12,222284083.95,24799
2018-02-09,61.08,62.15,58.06,61.47,5504938,1.13,1.87%,61.47,331621670.89,44158
2018-02-08,63.04,63.51,60.29,60.34,3845278,-2.58,-4.10%,60.34,237050471.96,31825
2018-02-07,62.90,63.99,62.43,62.92,3077339,0.17,0.27%,62.92,194933186.53,22602
2018-02-06,59.64,63.16,58.09,62.75,4747010,1.61,2.63%,62.75,293999204.92,37072
2018-02-05,62.50,64.2355,61.04,61.14,3910038,-2.33,-3.67%,61.14,244362247.06,31361
2018-02-02,64.51,65.22,63.08,63.47,4562577,-1.62,-2.49%,63.47,292174769.93,27737
2018-02-01,64.48,66.23,64.00,65.09,2865278,0.32,0.49%,65.09,187412481.64,22156
2018-01-31,66.23,66.70,64.37,64.77,3654480,-1.11,-1.68%,64.77,238257130.90,27277
2018-01-30,67.33,67.67,65.43,65.88,4438803,-2.07,-3.05%,65.88,293412672.84,30954
2018-01-29,68.04,69.14,67.79,67.95,3267929,-0.41,-0.60%,67.95,223367368.66,27072
2018-01-26,66.84,68.37,66.80,68.36,2058790,1.57,2.35%,68.36,139827911.00,16199
2018-01-25,68.04,68.04,66.09,66.79,2977199,-0.91,-1.34%,66.79,198699234.80,24948
2018-01-24,68.81,69.04,67.15,67.70,4070285,-1.13,-1.64%,67.70,276419550.52,27263
2018-01-23,68.30,69.14,67.91,68.83,2329320,0.66,0.97%,68.83,159873542.06,18137
2018-01-22,67.50,68.17,66.51,68.17,2978080,0.63,0.93%,68.17,201288019.20,22228
2018-01-19,66.62,67.55,65.45,67.54,5561802,2.69,4.15%,67.54,371837342.82,32274
2018-01-18,64.59,65.23,64.24,64.85,2848904,0.26,0.40%,64.85,184354218.81,15397
2018-01-17,63.51,64.94,63.16,64.59,3355414,1.19,1.88%,64.59,215994669.74,24005
2018-01-16,63.92,65.22,63.10,63.40,4566900,-0.47,-0.74%,63.40,292583394.45,35440
2018-01-12,63.53,65.06,63.03,63.87,7484750,2.75,4.50%,63.87,476812847.67,51777
2018-01-11,59.25,61.16,58.7801,61.12,4855026,2.28,3.87%,61.12,292534717.18,32737
2018-01-10,56.80,59.32,56.75,58.84,4471128,1.82,3.19%,58.84,261540997.59,33369
2018-01-09,57.10,57.75,56.26,57.02,4772525,0.12,0.21%,57.02,271925812.99,35568
2018-01-08,58.67,59.09,55.36,56.90,11871755,2.54,4.67%,56.90,676330083.39,77128
2018-01-05,54.86,55.45,53.83,54.36,4558705,-0.32,-0.59%,54.36,247811513.79,28364
2018-01-04,56.02,56.115,52.528,54.68,5124561,-0.98,-1.76%,54.68,275871481.35,36243
2018-01-03,56.35,56.37,55.165,55.66,3544934,-0.69,-1.22%,55.66,196955249.77,28065
2018-01-02,54.79,56.44,54.70,56.35,5091266,2.12,3.91%,56.35,285627160.55,33762
2017-12-29,54.99,55.10,54.19,54.23,2690358,-0.45,-0.82%,54.23,146840740.45,19336
2017-12-28,55.01,55.15,54.44,54.68,3031355,-0.61,-1.10%,54.68,165986359.74,23217
2017-12-27,56.68,56.78,54.84,55.29,4173549,-1.58,-2.78%,55.29,232000506.40,24660
2017-12-26,53.82,57.281,53.82,56.87,5796501,3.21,5.98%,56.87,328214592.14,35739
2017-12-22,53.55,53.98,53.25,53.66,2969315,0.19,0.36%,53.66,159302149.29,17854
2017-12-21,52.93,53.67,52.32,53.47,2391714,0.34,0.64%,53.47,127350511.91,15472
2017-12-20,53.16,53.62,52.7074,53.13,2166548,0.25,0.47%,53.13,115042814.85,14335
2017-12-19,53.735,53.83,52.41,52.88,3010605,-0.40,-0.75%,52.88,159698457.45,21533
2017-12-18,51.65,53.45,51.56,53.28,4797739,1.93,3.76%,53.28,253550646.80,28872
2017-12-15,50.50,52.10,49.97,51.35,7513897,1.57,3.15%,51.35,386397915.39,36520
2017-12-14,50.85,51.19,49.36,49.78,3201522,-0.94,-1.85%,49.78,160023345.32,23302
2017-12-13,50.47,51.29,50.39,50.72,4153623,0.43,0.86%,50.72,210823810.24,20347
2017-12-12,50.42,50.98,50.05,50.29,2984916,-0.17,-0.34%,50.29,150778121.55,21664
2017-12-11,49.80,50.72,49.49,50.46,3496559,0.68,1.37%,50.46,176202328.46,20831
2017-12-08,49.00,49.81,48.53,49.78,3005629,0.90,1.84%,49.78,148401053.36,18312
2017-12-07,49.00,49.55,48.6595,48.88,3991475,0.74,1.54%,48.88,195698818.09,27000
2017-12-06,48.38,49.11,47.26,48.14,3561097,-0.12,-0.25%,48.14,171426754.65,25082
2017-12-05,49.35,49.41,47.51,48.26,3894948,-1.34,-2.70%,48.26,187633686.45,28733
2017-12-04,48.86,51.47,48.80,50.15,7148357,2.077,4.37%,49.60,359741316.22,41027
2017-12-01,48.00,48.64,46.88,48.05,4193302,0.079,0.17%,47.523,200630022.81,31124
2017-11-30,47.83,49.5199,47.75,47.97,6454299,0.267,0.57%,47.4439,313123797.14,36012
2017-11-29,46.15,48.60,46.05,47.70,7165541,1.671,3.67%,47.1769,343141786.50,46960
2017-11-28,45.42,46.15,44.925,46.01,3532088,0.791,1.77%,45.5054,160783255.97,25748
2017-11-27,45.22,45.83,44.63,45.21,3108255,0.119,0.27%,44.7142,140022915.40,20779
2017-11-24,45.15,45.89,44.99,45.09,2063293,0.455,1.03%,44.5955,93661446.38,14333
2017-11-22,44.29,45.19,44.08,44.63,2709710,0.415,0.95%,44.1405,121476865.63,21809
2017-11-21,44.32,44.40,43.68,44.21,3021466,-0.109,-0.25%,43.7251,133345126.22,20437
2017-11-20,43.67,44.45,43.31,44.32,3200924,0.593,1.37%,43.8339,140892626.20,23883
2017-11-17,42.99,43.94,42.81,43.72,4185421,1.454,3.48%,43.2405,181701669.32,30912
2017-11-16,42.56,42.64,41.81,42.25,2499698,-0.02,-0.05%,41.7866,105892816.60,19335
2017-11-15,41.69,42.59,41.36,42.27,3493265,0.069,0.17%,41.8064,147480768.21,22700
2017-11-14,40.94,42.21,40.94,42.20,3312527,1.009,2.48%,41.7372,138768520.21,25333
2017-11-13,42.89,43.28,40.90,41.18,4955535,-1.84,-4.32%,40.7284,206509363.80,31340
2017-11-10,41.79,43.14,41.71,43.04,7091659,1.849,4.54%,42.568,303039495.89,49717
2017-11-09,38.25,41.68,37.97,41.17,24131941,0.376,0.93%,40.7185,961395269.20,115587
2017-11-08,40.87,41.62,40.42,40.79,5923212,0.099,0.25%,40.3427,242830439.52,41637
2017-11-07,42.54,42.59,40.32,40.69,6736179,-1.909,-4.53%,40.2438,275248303.47,42272
2017-11-06,42.15,42.83,41.65,42.62,3691326,0.584,1.40%,42.1526,156593228.55,26429
2017-11-03,42.30,42.98,41.87,42.03,4864169,-0.208,-0.50%,41.5691,206552194.02,32715
2017-11-02,42.50,42.50,41.56,42.24,3327414,0.336,0.81%,41.7768,139684753.21,23564
2017-11-01,41.95,42.81,41.52,41.90,2970703,0.138,0.34%,41.4405,124940002.76,22480
2017-10-31,41.37,42.24,41.30,41.76,3574428,0.257,0.63%,41.302,149604302.53,26135
2017-10-30,42.36,42.75,41.25,41.50,4064416,-1.068,-2.54%,41.0449,170217128.35,28479
2017-10-27,42.62,43.00,42.15,42.58,6194237,-2.037,-4.61%,42.113,263076164.35,42696
2017-10-26,43.99,44.90,43.60,44.64,4536255,0.846,1.95%,44.1504,201475846.99,27888
2017-10-25,43.94,44.195,43.54,43.785,2815392,-0.173,-0.40%,43.3048,123285627.16,23546
2017-10-24,44.33,44.79,43.92,43.96,3108451,-0.198,-0.45%,43.4779,137430913.32,21344
2017-10-23,44.49,45.48,44.0147,44.16,3332874,-0.326,-0.74%,43.6757,148450337.39,24560
