date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,111.80,112.08,110.95,111.24,892687,-0.41,-0.37%,111.24,99437039.63,8192
2018-03-09,108.66,111.91,108.16,111.65,1373207,3.34,3.08%,111.65,152212127.47,11926
2018-03-08,107.11,110.31,106.27,108.67,1606543,2.372,2.24%,108.31,173855740.97,14357
2018-03-07,104.46,106.48,104.28,106.29,902187,0.458,0.43%,105.9379,95265155.16,7821
2018-03-06,105.16,105.90,103.81,105.83,1254315,1.256,1.20%,105.4794,131700104.78,12663
2018-03-05,103.70,105.03,102.73,104.57,1372482,-0.05,-0.05%,104.2236,142778307.41,12646
2018-03-02,103.07,104.98,101.62,104.62,1859425,0.668,0.64%,104.2734,192291530.84,17505
2018-03-01,103.11,105.12,102.28,103.95,1676019,0.907,0.88%,103.6056,173823141.74,15727
2018-02-28,105.85,106.52,102.96,103.04,1390663,-2.801,-2.65%,102.6986,145293188.28,11394
2018-02-27,110.50,110.79,105.85,105.85,2068327,-4.216,-3.84%,105.4993,222597726.25,15935
2018-02-26,109.52,110.48,108.40,110.08,606839,1.256,1.16%,109.7153,66492882.11,6145
2018-02-23,107.94,109.30,107.815,108.82,515946,1.645,1.54%,108.4595,56066392.21,5630
2018-02-22,108.64,109.78,106.84,107.17,1191850,-0.817,-0.76%,106.8149,128424748.00,11529
2018-02-21,107.38,110.83,107.03,107.99,731395,0.638,0.60%,107.6322,79958006.68,8882
2018-02-20,108.65,108.79,106.52,107.35,1230299,-1.655,-1.52%,106.9943,132182227.13,9772
2018-02-16,107.28,109.30,106.62,109.01,899434,1.425,1.33%,108.6488,97765880.93,9010
2018-02-15,107.12,107.96,106.37,107.58,1095821,1.196,1.13%,107.2236,117559921.25,11499
2018-02-14,104.08,106.46,103.62,106.38,1141981,2.253,2.17%,106.0276,120701800.56,11090
2018-02-13,104.94,104.94,102.98,104.12,1286827,-1.296,-1.23%,103.775,133689608.74,13308
2018-02-12,103.89,106.63,102.54,105.42,1351430,1.645,1.59%,105.0707,142008071.15,14188
