date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,51.74,51.99,51.26,51.51,1185045,-0.21,-0.41%,51.51,61093717.50,9778
2018-03-09,51.50,51.74,51.15,51.72,1889058,0.46,0.90%,51.72,97248909.86,16243
2018-03-08,51.14,51.34,50.76,51.26,1730161,0.32,0.63%,51.26,88435286.72,14274
2018-03-07,50.44,51.20,50.44,50.94,1616303,0.06,0.12%,50.94,82268304.99,14231
2018-03-06,50.50,50.95,50.105,50.88,2546048,0.51,1.01%,50.88,128765343.90,16337
2018-03-05,48.48,50.47,48.48,50.37,1926936,1.55,3.17%,50.37,96271751.62,16589
2018-03-02,48.42,48.91,48.19,48.82,1450653,0.17,0.35%,48.82,70442885.71,13002
2018-03-01,49.34,49.57,48.35,48.65,1550229,-0.68,-1.38%,48.65,75631166.39,13583
2018-02-28,50.45,50.54,49.31,49.33,1205200,-0.85,-1.69%,49.33,59961252.61,8847
2018-02-27,50.61,51.25,50.18,50.18,1291767,-0.488,-0.96%,50.18,65375525.68,12700
2018-02-26,50.48,50.74,50.32,50.73,1466655,0.39,0.77%,50.6675,74101991.48,12324
2018-02-23,49.83,50.38,49.81,50.34,1248490,0.739,1.49%,50.278,62612595.01,10549
2018-02-22,49.88,50.32,49.58,49.60,1646157,-0.15,-0.30%,49.5389,82185491.15,14445
2018-02-21,49.89,50.44,49.72,49.75,1303956,-0.14,-0.28%,49.6887,65340280.66,11465
2018-02-20,49.87,50.3203,49.72,49.89,1572438,-0.19,-0.38%,49.8285,78612772.00,13516
2018-02-16,49.66,50.55,49.66,50.08,1750484,0.19,0.38%,50.0183,87772530.66,13090
2018-02-15,49.12,49.90,49.05,49.89,1680692,1.019,2.09%,49.8285,83390775.63,13428
2018-02-14,47.86,48.89,47.78,48.87,1158446,0.779,1.62%,48.8098,56257533.17,9413
2018-02-13,47.27,48.23,47.14,48.09,1602183,0.589,1.24%,48.0308,76837399.39,13492
2018-02-12,47.19,48.13,46.985,47.50,1895401,0.769,1.65%,47.4415,90089188.54,15077
2018-02-09,46.52,47.07,45.52,46.73,2000894,0.679,1.48%,46.6724,92773607.27,19929
2018-02-08,47.89,47.90,46.02,46.05,2111488,-1.808,-3.78%,45.9933,98983863.18,20156
2018-02-07,47.60,48.645,47.60,47.86,2184784,0.05,0.10%,47.801,105324860.15,18792
2018-02-06,47.37,48.22,46.61,47.81,3454183,-0.38,-0.79%,47.7511,163767627.71,24196
2018-02-05,50.42,50.84,48.18,48.19,2142536,-2.627,-5.18%,48.1306,105497259.96,16494
2018-02-02,51.46,51.65,50.81,50.82,1320550,-0.769,-1.49%,50.7574,67609949.40,11912
2018-02-01,51.57,51.81,51.26,51.59,1832140,-0.06,-0.12%,51.5264,94448942.28,13417
2018-01-31,51.97,52.24,51.605,51.65,1924934,-0.34,-0.65%,51.5864,99671190.31,12934
2018-01-30,52.83,53.18,51.99,51.99,1752356,-1.119,-2.11%,51.9259,91583518.31,12250
2018-01-29,53.46,53.59,53.11,53.11,950178,-0.35,-0.65%,53.0446,50599077.44,7797
2018-01-26,53.30,53.485,53.12,53.46,768920,0.31,0.58%,53.3941,41028799.20,6709
2018-01-25,53.05,53.30,52.87,53.15,827309,0.11,0.21%,53.0845,43935225.63,8692
2018-01-24,52.96,53.36,52.85,53.04,1104657,0.14,0.26%,52.9747,58637971.77,8883
2018-01-23,52.61,52.93,52.51,52.90,833576,0.10,0.19%,52.8348,44032739.43,8005
2018-01-22,52.62,52.80,52.455,52.80,850243,0.29,0.55%,52.7349,44778954.80,7520
2018-01-19,52.60,52.68,52.44,52.51,1224071,-0.01,-0.02%,52.4453,64307386.44,7233
2018-01-18,52.32,52.7949,52.24,52.52,938736,0.17,0.32%,52.4553,49306652.17,8005
2018-01-17,52.45,52.47,52.23,52.35,1131747,0.16,0.31%,52.2855,59232668.28,10113
2018-01-16,52.85,52.98,51.95,52.19,1463011,-0.589,-1.12%,52.1257,76559415.37,10500
2018-01-12,51.69,52.81,51.44,52.78,2419237,1.268,2.47%,52.715,126555805.75,15099
