date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,42.34,43.11,41.80,42.15,3907462,-0.11,-0.26%,42.15,164692888.43,29137
2018-03-09,41.79,42.36,40.82,42.26,5213371,0.64,1.54%,42.26,217655564.79,36398
2018-03-08,44.00,44.00,41.44,41.62,7227386,-2.35,-5.34%,41.62,303800778.25,52161
2018-03-07,44.76,44.88,43.51,43.97,4671857,-1.14,-2.53%,43.97,205688147.14,37696
2018-03-06,44.65,45.54,44.39,45.11,4939084,0.51,1.14%,45.11,222542787.21,33106
2018-03-05,43.22,44.76,43.16,44.60,5152943,1.25,2.88%,44.60,228382432.44,38113
2018-03-02,41.87,44.13,41.70,43.35,7903273,0.86,2.02%,43.35,341699944.46,55727
2018-03-01,44.77,45.44,42.48,42.49,19604408,-6.84,-13.87%,42.49,857434483.51,116699
2018-02-28,48.71,50.26,48.71,49.33,6421795,1.15,2.39%,49.33,317926694.87,45468
2018-02-27,49.20,50.42,47.775,48.18,4615040,-0.37,-0.76%,48.18,224319501.87,38334
2018-02-26,48.81,48.837,47.34,48.55,3662378,-0.16,-0.33%,48.55,176157689.95,28890
2018-02-23,48.36,48.75,47.88,48.71,2557412,0.59,1.23%,48.71,123871549.28,21611
2018-02-22,47.38,48.68,47.23,48.12,2609756,0.80,1.69%,48.12,125471906.38,18067
2018-02-21,47.59,49.10,47.55,47.92,3226500,0.504,1.08%,47.32,156015758.76,24739
2018-02-20,48.62,48.83,47.25,47.41,4084487,-1.491,-3.09%,46.8164,195251732.76,32129
2018-02-16,49.27,50.11,48.88,48.92,2854138,-0.592,-1.21%,48.3075,140663845.23,22066
2018-02-15,50.11,50.3542,48.43,49.52,2608806,-0.346,-0.70%,48.90,128549267.84,21136
2018-02-14,48.28,50.53,47.88,49.87,3027755,1.313,2.74%,49.2456,150163904.18,23809
2018-02-13,48.50,48.85,47.10,48.54,3027338,-0.158,-0.33%,47.9322,145621051.83,24346
2018-02-12,49.07,49.46,47.575,48.70,3737225,0.049,0.10%,48.0902,181361194.65,30371
2018-02-09,48.43,49.37,46.80,48.65,4767208,0.869,1.84%,48.0409,229820976.58,43814
2018-02-08,50.73,51.13,47.73,47.77,7060134,-1.323,-2.73%,47.1719,346283729.76,52286
