date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,59.86,60.73,59.80,60.43,3808239,0.64,1.07%,60.43,230109029.53,19851
2018-03-09,59.01,59.88,58.24,59.79,3804365,1.13,1.93%,59.79,226497998.56,22723
2018-03-08,59.29,59.57,58.00,58.66,3176536,-0.63,-1.06%,58.66,185894241.14,24856
2018-03-07,58.69,59.66,58.535,59.29,2458288,0.12,0.20%,59.29,145453774.02,19110
2018-03-06,58.64,59.33,57.88,59.17,5147243,0.86,1.47%,59.17,303009769.37,25143
2018-03-05,57.04,58.65,56.9601,58.31,6150982,0.83,1.44%,58.31,357729186.37,31309
2018-03-02,56.78,57.58,55.92,57.48,4306343,0.12,0.21%,57.48,244677994.67,30942
2018-03-01,56.84,57.55,56.17,57.36,5266487,0.78,1.38%,57.36,300036683.29,39307
2018-02-28,57.90,58.13,55.94,56.58,9672543,-1.08,-1.87%,56.58,548883087.09,50251
2018-02-27,59.57,60.81,57.655,57.66,5085856,-1.79,-3.01%,57.66,298863695.88,37146
2018-02-26,59.37,59.62,58.45,59.45,4800819,0.41,0.69%,59.45,284210510.75,25352
2018-02-23,59.56,59.56,58.20,59.04,3495845,0.61,1.04%,59.04,206129910.00,20203
2018-02-22,58.98,59.32,58.13,58.43,4884329,-0.23,-0.39%,58.43,286421648.71,34445
2018-02-21,59.38,60.39,58.64,58.66,3818906,-0.49,-0.83%,58.66,227016536.03,28337
2018-02-20,60.65,60.78,58.97,59.15,4373783,-1.71,-2.81%,59.15,260201310.54,33526
2018-02-16,60.29,61.13,60.11,60.86,6359774,0.46,0.76%,60.86,386218746.75,32755
2018-02-15,61.88,61.88,60.02,60.40,4639454,-0.83,-1.36%,60.40,280520512.67,35502
2018-02-14,59.50,61.755,59.47,61.23,7001752,1.27,2.12%,61.23,425714867.69,48935
2018-02-13,59.40,60.14,58.84,59.96,7289927,0.62,1.04%,59.96,434489315.64,46427
2018-02-12,59.32,60.56,57.77,59.34,18347019,0.65,1.11%,59.34,1089178507.03,49819
2018-02-09,60.00,60.00,57.39,58.69,7755818,-0.42,-0.71%,58.69,454173737.36,65277
2018-02-08,60.79,61.10,59.01,59.11,6774607,-1.80,-2.96%,59.11,406397814.23,49957
2018-02-07,60.67,63.40,60.385,60.91,8414343,0.47,0.78%,60.91,520484180.62,65168
2018-02-06,56.56,60.67,56.03,60.44,8420539,2.74,4.75%,60.44,501873142.80,64919
2018-02-05,59.52,60.32,57.0981,57.70,6119018,-2.32,-3.87%,57.70,359782630.43,46798
2018-02-02,62.27,62.40,59.97,60.02,4867369,-2.82,-4.49%,60.02,296783955.22,39190
2018-02-01,62.20,63.52,61.73,62.84,6012156,0.18,0.29%,62.84,377091298.26,45017
2018-01-31,64.71,65.4485,62.4465,62.66,5944378,-1.21,-1.89%,62.66,378362435.72,44488
2018-01-30,64.49,64.84,63.47,63.87,4916082,-1.15,-1.77%,63.87,314740366.20,30167
2018-01-29,67.40,67.70,64.93,65.02,5183809,-2.80,-4.13%,65.02,340849946.05,37589
2018-01-26,68.79,68.97,67.24,67.82,5853684,-0.65,-0.95%,67.82,397516878.46,28882
2018-01-25,70.81,70.94,68.01,68.47,4284268,-2.35,-3.32%,68.47,294537452.73,30513
2018-01-24,70.98,71.89,70.43,70.86,2829739,-0.07,-0.10%,70.82,200972033.90,20678
2018-01-23,71.69,71.945,70.60,70.93,2778876,-0.80,-1.12%,70.89,197075651.70,19093
2018-01-22,71.97,72.17,71.36,71.73,3950986,-0.09,-0.13%,71.6895,283410661.94,25477
2018-01-19,70.60,71.87,70.59,71.82,3647537,1.279,1.81%,71.7795,260292635.60,22347
2018-01-18,71.77,72.07,70.43,70.54,4315889,-0.17,-0.24%,70.5002,305999831.76,27313
2018-01-17,69.26,70.83,68.90,70.71,3398725,1.929,2.81%,70.6701,239020624.04,26631
2018-01-16,69.86,69.87,68.62,68.78,3338746,-0.48,-0.69%,68.7412,230718049.28,21909
2018-01-12,69.13,69.93,69.04,69.26,3791973,-0.31,-0.45%,69.2209,263214633.54,23209
2018-01-11,68.91,70.40,68.62,69.57,6364112,1.309,1.92%,69.5308,443945853.85,36130
2018-01-10,66.24,68.51,65.75,68.26,9804601,1.589,2.38%,68.2215,661838873.38,57404
2018-01-09,67.38,67.44,66.31,66.67,4944600,-0.56,-0.83%,66.6324,330383862.33,26884
2018-01-08,67.77,67.80,67.08,67.23,3296277,-0.35,-0.52%,67.1921,221868663.60,15388
2018-01-05,67.40,67.63,66.77,67.58,3780507,0.63,0.94%,67.5419,254015981.57,15475
2018-01-04,67.23,67.45,66.50,66.95,4595706,-0.28,-0.42%,66.9122,307415657.84,27331
2018-01-03,64.99,67.40,64.99,67.23,5642594,2.389,3.69%,67.1921,376317774.96,34998
2018-01-02,63.93,64.85,63.7901,64.84,3714556,1.599,2.53%,64.8034,238871859.83,23780
2017-12-29,64.04,64.37,63.10,63.24,2130320,-0.58,-0.91%,63.2043,135224073.02,16127
2017-12-28,64.01,64.17,63.69,63.82,3270665,-0.10,-0.16%,63.784,208875106.86,12459
2017-12-27,64.05,64.40,63.82,63.92,3694845,0.03,0.05%,63.8839,236375373.73,9468
2017-12-26,64.00,64.42,63.74,63.89,1788624,-0.11,-0.17%,63.854,114343890.20,11215
2017-12-22,63.55,64.24,63.51,64.00,3922211,0.25,0.39%,63.9639,250887070.22,16841
2017-12-21,62.93,64.005,62.75,63.75,2171740,1.189,1.90%,63.714,138120872.31,13682
2017-12-20,62.36,62.90,62.04,62.56,2201046,0.68,1.10%,62.5247,137704252.20,13992
2017-12-19,62.38,62.58,61.835,61.88,2164924,-0.48,-0.77%,61.8451,134334703.26,12068
2017-12-18,62.13,62.62,61.88,62.36,2721027,0.959,1.56%,62.3248,169534868.84,18222
2017-12-15,61.32,61.625,61.08,61.40,4080885,0.26,0.43%,61.3654,250424736.37,16441
2017-12-14,61.10,61.66,61.01,61.14,2718772,0.03,0.05%,61.1055,166497651.66,18392
2017-12-13,61.71,61.82,61.04,61.11,2756546,-0.32,-0.52%,61.0755,168891811.99,17185
2017-12-12,61.78,62.29,61.41,61.43,2616448,-0.25,-0.41%,61.3954,161595439.18,16076
2017-12-11,62.54,62.58,61.35,61.68,2817011,-0.50,-0.80%,61.6452,173771712.44,17039
2017-12-08,61.82,62.225,61.64,62.18,2041000,0.47,0.76%,62.1449,126501810.67,12138
2017-12-07,60.84,62.19,60.6738,61.71,2277586,0.80,1.31%,61.6752,140422407.96,14864
2017-12-06,61.75,62.18,60.84,60.91,3864639,-1.119,-1.81%,60.8756,237149035.15,25295
2017-12-05,61.87,62.55,61.03,62.03,3727689,-0.949,-1.51%,61.995,231064537.81,21905
2017-12-04,63.41,63.94,62.835,62.98,4516952,0.42,0.67%,62.9445,285714148.05,22221
2017-12-01,62.84,63.27,61.26,62.56,4958569,-0.22,-0.35%,62.5247,310254895.45,35695
2017-11-30,62.67,63.15,62.20,62.78,4778496,0.60,0.96%,62.7446,299550233.41,33072
2017-11-29,61.50,62.66,61.00,62.18,5049427,0.64,1.04%,62.1449,313246611.88,35138
2017-11-28,60.92,61.58,60.81,61.54,4147842,0.79,1.30%,61.5053,253706381.14,23538
2017-11-27,61.01,61.13,60.23,60.75,3958000,-0.27,-0.44%,60.7157,240911388.10,22454
2017-11-24,60.74,61.35,60.69,61.02,1290840,0.41,0.68%,60.9856,78788584.14,9732
2017-11-22,60.36,60.81,60.05,60.61,2669399,0.08,0.13%,60.5758,161460074.69,20277
2017-11-21,59.52,60.86,59.32,60.53,3510694,1.409,2.38%,60.4959,211757254.30,25727
2017-11-20,58.88,59.31,58.73,59.12,3729171,0.23,0.39%,59.0867,220380525.15,20669
2017-11-17,57.92,59.10,57.81,58.89,3718195,0.80,1.38%,58.8568,218289613.98,25339
2017-11-16,58.12,58.505,57.88,58.09,2942840,0.07,0.12%,58.0572,171215893.79,20490
2017-11-15,58.27,58.48,57.74,58.02,2462978,-0.54,-0.92%,57.9873,143092305.26,19867
2017-11-14,57.81,58.58,57.75,58.56,3250592,0.34,0.58%,58.527,189687369.74,22777
2017-11-13,58.36,58.69,58.02,58.22,3921703,-0.49,-0.83%,58.1872,228619641.23,28226
2017-11-10,58.67,59.32,58.32,58.71,5263781,-0.22,-0.37%,58.6769,310155983.44,33164
2017-11-09,57.48,59.0692,57.19,58.93,7242565,1.517,2.64%,58.8968,423908423.08,47987
2017-11-08,56.28,58.57,55.86,58.56,5484176,2.038,3.68%,57.3794,316632767.70,30610
2017-11-07,56.30,57.09,56.19,56.48,3111084,0.333,0.61%,55.3413,176242217.94,21056
2017-11-06,55.83,56.26,54.55,56.14,3136948,1.489,2.78%,55.0082,174835588.37,24668
2017-11-03,55.01,55.44,54.44,54.62,4466648,-0.47,-0.87%,53.5188,244579641.54,30079
2017-11-02,57.02,57.12,54.90,55.10,6657435,-1.822,-3.27%,53.9891,369033259.25,50220
2017-11-01,56.09,56.98,55.46,56.96,6869410,1.264,2.32%,55.8116,387088031.75,49983
2017-10-31,55.84,56.00,54.91,55.67,8679009,-0.01,-0.02%,54.5476,481087501.80,62264
2017-10-30,56.16,57.25,55.52,55.68,13277049,-2.283,-4.02%,54.5574,745900921.80,89580
2017-10-27,58.44,58.64,57.88,58.01,1781965,-0.441,-0.77%,56.8405,103575723.07,12704
2017-10-26,58.21,58.61,57.99,58.46,1687269,0.495,0.87%,57.2814,98446023.05,13386
2017-10-25,58.59,58.96,57.84,57.955,2052417,-0.054,-0.09%,56.7866,119409649.79,18246
2017-10-24,57.35,58.13,57.35,58.01,2417372,0.696,1.24%,56.8405,139784243.40,19746
2017-10-23,57.40,57.91,57.09,57.30,2180042,-0.196,-0.35%,56.1448,125146141.61,17354
