date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,39.67,39.70,39.26,39.33,1734904,-0.31,-0.78%,39.33,68326792.93,13595
2018-03-09,38.94,39.75,38.92,39.64,2633630,0.85,2.19%,39.64,103929692.35,18235
2018-03-08,39.10,39.19,38.725,38.79,2012960,-0.21,-0.54%,38.79,78313981.34,14382
2018-03-07,39.19,39.33,38.84,39.00,1693495,-0.55,-1.39%,39.00,66094908.31,13085
2018-03-06,39.00,39.63,38.90,39.55,2010619,0.63,1.62%,39.55,79127293.48,13728
2018-03-05,38.79,39.04,38.46,38.92,2184431,-0.07,-0.18%,38.92,84924877.62,16150
2018-03-02,39.01,39.29,38.56,38.99,2385495,-0.39,-0.99%,38.99,93036864.64,18408
2018-03-01,39.47,39.80,38.88,39.38,1940695,-0.10,-0.25%,39.38,76417438.99,18309
2018-02-28,39.52,40.20,39.47,39.48,3142547,0.15,0.38%,39.48,124996613.89,17424
2018-02-27,40.445,40.50,39.32,39.33,2007541,-1.11,-2.74%,39.33,79633729.10,17677
2018-02-26,40.40,40.86,39.97,40.44,2906627,0.34,0.85%,40.44,117492557.30,18762
2018-02-23,40.49,40.87,39.86,40.10,2315173,0.05,0.12%,40.10,92757938.73,16294
2018-02-22,41.05,41.60,39.61,40.05,3386550,-1.53,-3.68%,40.05,136357132.90,22502
2018-02-21,41.61,42.28,41.3668,41.58,2195356,0.12,0.29%,41.58,91877108.51,18003
2018-02-20,41.48,42.14,41.27,41.46,1534722,-0.31,-0.74%,41.46,63997222.91,14370
2018-02-16,41.67,42.49,41.08,41.77,1932353,0.00,0.00%,41.77,81055400.67,14653
2018-02-15,41.75,41.98,41.51,41.77,2005766,0.33,0.80%,41.77,83784973.69,15762
2018-02-14,40.33,41.455,39.001,41.44,2008221,0.91,2.25%,41.44,82385232.20,13973
2018-02-13,39.96,40.55,39.65,40.53,2126201,0.37,0.92%,40.53,85724393.04,12902
2018-02-12,39.74,40.355,39.36,40.16,2474859,1.24,3.19%,40.16,99014421.21,17187
2018-02-09,39.41,39.41,37.46,38.92,1933348,0.06,0.15%,38.92,74410502.56,16872
2018-02-08,40.28,40.29,38.83,38.86,1526848,-1.49,-3.69%,38.86,60487712.67,13322
2018-02-07,40.31,41.02,40.07,40.35,1289338,-0.18,-0.44%,40.35,52272200.66,10814
2018-02-06,38.92,40.57,38.16,40.53,2892061,1.07,2.71%,40.53,115752835.66,22494
2018-02-05,40.73,41.27,39.44,39.46,2284312,-1.47,-3.59%,39.46,92180361.20,16080
2018-02-02,41.54,41.9289,40.90,40.93,1411218,-0.86,-2.06%,40.93,58210946.02,11109
2018-02-01,41.73,42.11,41.37,41.79,1038943,-0.24,-0.57%,41.79,43456271.97,8395
2018-01-31,42.19,42.37,41.61,42.03,1732009,-0.16,-0.38%,42.03,72757835.71,13047
2018-01-30,42.53,42.53,40.41,42.19,1462294,-0.52,-1.22%,42.19,61726784.24,12876
2018-01-29,43.52,43.8599,42.62,42.71,1311250,-0.12,-0.28%,42.71,56286578.51,10705
2018-01-26,42.70,42.86,42.50,42.83,1226499,0.28,0.66%,42.83,52428338.36,8201
2018-01-25,42.88,42.88,42.28,42.55,1850715,-0.32,-0.75%,42.55,78771406.97,12087
2018-01-24,43.27,43.58,42.84,42.87,1310988,-0.26,-0.60%,42.87,56384353.69,9651
2018-01-23,42.69,43.25,42.63,43.13,960377,0.28,0.65%,43.13,41332108.93,8101
2018-01-22,43.05,43.05,42.40,42.85,1568001,-0.11,-0.26%,42.85,67043128.52,10341
2018-01-19,42.99,43.21,42.74,42.96,1575493,0.26,0.61%,42.96,67702764.23,9509
2018-01-18,43.15,43.25,42.62,42.70,1197844,-0.49,-1.13%,42.70,51291755.54,8630
2018-01-17,43.48,43.70,43.09,43.19,1475923,0.00,0.00%,43.19,63792988.88,11171
2018-01-16,43.75,43.75,43.02,43.19,1098346,-0.28,-0.64%,43.19,47610711.40,9660
2018-01-12,43.16,43.645,42.81,43.47,1153170,0.48,1.12%,43.47,50029511.29,8450
2018-01-11,43.43,43.43,42.20,42.99,1105598,0.75,1.78%,42.99,47204193.19,8195
2018-01-10,41.97,42.58,41.95,42.24,1597904,0.25,0.60%,42.24,67587230.99,10696
2018-01-09,41.99,42.28,41.80,41.99,915419,0.13,0.31%,41.99,38474187.26,7126
2018-01-08,42.06,42.23,41.84,41.86,983963,-0.16,-0.38%,41.86,41289158.72,7037
2018-01-05,41.36,42.32,41.36,42.02,1149707,-0.04,-0.10%,42.02,48234040.62,7865
2018-01-04,41.75,42.18,41.75,42.06,1265884,0.50,1.20%,42.06,53203988.01,8843
2018-01-03,41.24,41.67,41.18,41.56,1107507,0.21,0.51%,41.56,45936564.00,7244
2018-01-02,41.04,41.47,40.85,41.35,1656057,0.68,1.67%,41.35,68387097.38,11234
2017-12-29,41.21,41.38,40.63,40.67,1146873,-0.52,-1.26%,40.67,46805883.84,7735
2017-12-28,40.87,41.20,40.48,41.19,1264398,0.32,0.78%,41.19,51813602.53,8947
2017-12-27,40.82,40.95,40.52,40.87,985168,0.09,0.22%,40.87,40222089.37,6554
2017-12-26,40.84,41.09,40.72,40.78,565287,-0.04,-0.10%,40.78,23074048.70,3908
2017-12-22,40.94,40.98,40.58,40.82,519890,-0.08,-0.20%,40.82,21214868.93,3916
2017-12-21,40.92,41.24,40.845,40.90,1141894,0.16,0.39%,40.90,46809529.42,6997
2017-12-20,41.03,41.42,40.705,40.74,1690410,-0.06,-0.15%,40.74,69099778.73,11455
2017-12-19,40.54,40.90,40.43,40.80,1553686,0.41,1.02%,40.80,63289159.94,8423
2017-12-18,39.86,40.98,39.70,40.39,1993177,0.88,2.23%,40.39,80625121.84,12997
2017-12-15,39.46,40.02,39.24,39.51,3655515,0.20,0.51%,39.51,144693947.27,13129
2017-12-14,40.08,40.08,39.28,39.31,1541237,-0.76,-1.90%,39.31,60783576.06,9303
2017-12-13,40.53,40.70,39.82,40.07,2894738,-0.52,-1.28%,40.07,116086511.43,17267
2017-12-12,40.79,41.42,40.44,40.59,2816345,0.25,0.62%,40.59,115059823.25,19202
2017-12-11,40.31,41.25,40.21,40.34,2622127,0.12,0.30%,40.34,106329381.64,18223
2017-12-08,39.83,40.26,39.71,40.22,1972178,0.47,1.18%,40.22,79042752.45,12889
