date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,210.07,210.39,203.725,204.77,639582,-5.63,-2.68%,204.77,131253137.67,8402
2018-03-09,208.20,210.54,206.96,210.40,385938,3.12,1.51%,210.40,81009356.06,5062
2018-03-08,206.56,207.55,205.08,207.28,454771,1.91,0.93%,207.28,93965352.94,4424
2018-03-07,203.86,206.23,202.00,205.37,538019,0.15,0.07%,205.37,110348733.12,6206
2018-03-06,206.97,206.97,203.61,205.22,379067,-1.01,-0.49%,205.22,77651404.15,5365
2018-03-05,203.73,206.6525,202.1159,206.23,421201,0.98,0.48%,206.23,86346492.68,5659
2018-03-02,202.31,206.17,201.96,205.25,929485,1.47,0.72%,205.25,190082925.47,7737
2018-03-01,208.06,208.30,201.89,203.78,779148,-3.77,-1.82%,203.78,159353244.63,9384
2018-02-28,212.93,213.035,207.52,207.55,522884,-4.49,-2.12%,207.55,109785174.84,7023
2018-02-27,215.15,216.27,212.84,212.84,409543,-2.102,-0.98%,212.0399,87838789.60,5970
2018-02-26,214.72,215.385,212.215,214.95,412030,1.534,0.72%,214.142,88286838.68,4970
2018-02-23,212.68,213.645,210.74,213.41,327829,1.385,0.66%,212.6078,69674554.29,4425
2018-02-22,211.30,213.69,210.07,212.02,534638,1.355,0.65%,211.223,113576325.02,6939
2018-02-21,210.99,214.00,210.25,210.66,567568,-0.319,-0.15%,209.8681,120310733.64,5493
2018-02-20,210.76,214.305,210.00,210.98,641235,-1.903,-0.90%,210.1869,135684909.20,7533
2018-02-16,212.51,215.43,211.18,212.89,1140363,-0.458,-0.22%,212.0897,243226915.84,8269
2018-02-15,210.45,213.45,209.23,213.35,561368,4.334,2.08%,212.548,118934350.33,7893
2018-02-14,205.45,209.36,205.00,209.00,522856,2.381,1.16%,208.2144,108638189.91,7478
2018-02-13,204.05,207.25,203.74,206.61,867992,2.162,1.06%,205.8334,179125257.47,6333
2018-02-12,203.49,206.07,201.33,204.44,587614,1.923,0.95%,203.6715,120077188.61,7175
2018-02-09,200.83,205.33,198.81,202.51,888996,3.706,1.87%,201.7488,179402674.08,12572
