date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,341.00,341.3546,333.04,333.10,2283156,-7.39,-2.17%,333.10,764652867.31,31966
2018-03-09,341.78,342.559,338.08,340.49,1568565,-1.29,-0.38%,340.49,534341848.81,22039
2018-03-08,343.12,343.70,339.34,341.78,1056448,-0.42,-0.12%,341.78,360144808.23,15874
2018-03-07,336.23,343.19,334.10,342.20,1351029,2.70,0.80%,342.20,457883700.36,18835
2018-03-06,342.90,343.99,337.95,339.50,1307813,-2.86,-0.84%,339.50,444332868.37,19356
2018-03-05,339.83,342.7828,337.62,342.36,1812373,0.64,0.19%,342.36,616814022.95,24196
2018-03-02,337.50,342.85,335.05,341.72,1684069,2.03,0.60%,341.72,572280768.81,24981
2018-03-01,352.46,353.58,337.58,339.69,2307149,-12.75,-3.62%,339.69,792590630.73,36321
2018-02-28,357.36,359.195,352.42,352.44,988365,-3.73,-1.05%,352.44,351313862.86,14403
2018-02-27,359.35,362.32,358.09,358.17,1379671,-0.527,-0.15%,356.17,496361324.56,19192
2018-02-26,360.00,361.32,357.08,358.70,1156327,0.01,0.00%,356.697,414857698.41,16987
2018-02-23,356.25,358.69,353.84,358.69,902544,3.262,0.92%,356.6871,322022697.30,14052
2018-02-22,358.44,358.97,354.51,355.41,1432675,-1.641,-0.46%,353.4254,510507979.62,20422
2018-02-21,359.00,362.98,357.00,357.06,1391040,-1.621,-0.45%,355.0662,500906593.31,18812
2018-02-20,359.15,362.67,357.23,358.69,1102639,-1.83,-0.51%,356.6871,396771180.93,16794
2018-02-16,361.00,363.00,357.84,360.53,1084825,-0.467,-0.13%,358.5168,391517319.47,16149
2018-02-15,357.40,361.02,354.74,361.00,1167620,6.305,1.79%,358.9842,418634369.45,21593
2018-02-14,348.81,355.39,348.20,354.66,1652100,4.405,1.26%,352.6796,583584379.20,25358
2018-02-13,345.20,351.0625,344.51,350.23,1279303,4.395,1.28%,348.2743,446638032.57,19850
2018-02-12,344.54,348.4705,340.10,345.81,1829161,4.365,1.29%,343.879,631273457.51,22107
2018-02-09,338.10,344.88,332.25,341.42,2366593,7.08,2.13%,339.5135,801929016.90,38453
2018-02-08,350.21,350.99,334.01,334.30,2627596,-11.068,-3.22%,332.4333,897393250.13,33934
2018-02-07,338.29,350.34,337.82,345.43,2052913,7.796,2.32%,343.5011,710129627.14,32330
2018-02-06,328.71,340.01,327.23,337.59,2602963,1.124,0.34%,335.7049,872434476.19,37743
2018-02-05,348.63,353.99,326.11,336.46,2947077,-16.11,-4.59%,334.5812,1010870648.70,44431
2018-02-02,355.00,358.00,351.52,352.66,1958577,-4.694,-1.32%,350.6907,693838392.10,26564
2018-02-01,354.26,361.79,354.01,357.38,1579733,2.516,0.71%,355.3844,566666172.92,25661
2018-01-31,353.28,358.52,352.45,354.85,1887232,4.435,1.27%,352.8685,670917828.54,27955
2018-01-30,346.52,352.72,345.05,350.39,2032863,-1.024,-0.29%,348.4334,708593795.53,26056
