date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,87.25,88.06,87.01,87.68,5797517,0.40,0.46%,87.68,508128537.26,46345
2018-03-09,86.75,87.33,86.23,87.28,6370429,1.12,1.30%,87.28,553351032.27,47602
2018-03-08,86.44,86.81,85.46,86.16,4711791,0.05,0.06%,86.16,405548850.58,38669
2018-03-07,86.49,86.81,85.51,86.11,6417074,-1.01,-1.16%,86.11,553197057.67,47963
2018-03-06,86.50,87.20,86.29,87.12,6358966,0.79,0.92%,87.12,551642577.01,47905
2018-03-05,85.06,87.02,85.05,86.33,8324617,0.99,1.16%,86.33,718163992.67,59838
2018-03-02,86.88,87.34,85.08,85.34,12476807,-2.62,-2.98%,85.34,1069749130.05,89355
2018-03-01,89.57,89.70,87.11,87.96,15153351,-1.63,-1.82%,87.96,1332552091.96,102128
2018-02-28,87.40,92.2199,86.75,89.59,34109755,-6.20,-6.47%,89.59,3057286026.95,201504
2018-02-27,97.62,98.4066,95.481,95.79,8503268,-1.72,-1.76%,95.79,822433989.16,66136
2018-02-26,97.92,97.98,96.705,97.51,4733618,0.02,0.02%,97.51,460960643.90,35449
2018-02-23,97.33,97.62,96.62,97.49,4358233,0.60,0.62%,97.49,423704766.81,34500
2018-02-22,96.02,97.18,95.73,96.89,4461159,1.55,1.63%,96.89,431453671.92,35586
2018-02-21,96.00,97.1983,95.22,95.34,4248653,-0.31,-0.32%,95.34,408090007.72,30069
2018-02-20,96.55,97.68,95.43,95.65,6648706,-0.66,-0.69%,95.65,639528930.76,36954
2018-02-16,96.48,97.665,95.785,96.31,5331505,-0.20,-0.21%,96.31,515198096.42,40740
2018-02-15,98.18,98.19,95.62,96.51,5729347,-0.42,-0.43%,96.51,551409887.08,45817
2018-02-14,95.09,97.40,94.40,96.93,8395844,0.87,0.91%,96.93,810398439.65,43525
2018-02-13,96.96,97.61,94.87,96.06,5541650,-1.72,-1.76%,96.06,530891715.87,41166
2018-02-12,98.25,99.00,97.17,97.78,8067603,0.61,0.63%,97.78,789698610.47,44997
2018-02-09,96.19,98.16,92.51,97.17,9667750,2.16,2.27%,97.17,925062864.22,69308
2018-02-08,99.92,100.11,94.89,95.01,7673074,-4.91,-4.91%,95.01,742487200.11,54691
2018-02-07,100.00,102.32,99.745,99.92,5257259,-0.30,-0.30%,99.92,529376304.07,38535
2018-02-06,95.29,100.915,94.81,100.22,9031204,2.64,2.71%,100.22,893352051.07,72999
2018-02-05,101.38,103.11,97.04,97.58,8339762,-3.92,-3.86%,97.58,832611698.18,64270
2018-02-02,103.85,103.86,101.15,101.50,6247851,-2.36,-2.27%,101.50,638246857.22,39548
2018-02-01,103.84,105.08,103.25,103.86,4922909,-0.87,-0.83%,103.86,512707601.73,42292
2018-01-31,105.67,106.20,104.54,104.73,7082217,-0.45,-0.43%,104.73,744926677.72,43253
2018-01-30,105.71,106.14,104.63,105.18,6360801,-1.66,-1.55%,105.18,670519219.47,45475
2018-01-29,108.00,108.38,106.68,106.84,3787311,-0.56,-0.52%,106.84,406472808.43,30499
2018-01-26,106.64,107.40,105.53,107.40,4017163,1.02,0.96%,107.40,428931824.10,30448
2018-01-25,108.94,108.98,106.11,106.38,4864849,-0.34,-0.32%,106.38,519159867.50,39088
2018-01-24,107.39,107.6407,105.90,106.72,4127514,-0.39,-0.36%,106.72,441017383.59,34975
2018-01-23,107.00,108.31,106.15,107.11,6118151,0.41,0.38%,107.11,654651786.97,36891
2018-01-22,107.00,107.38,105.35,107.11,7084326,2.152,2.06%,106.70,754409231.07,47052
2018-01-19,104.28,105.35,102.47,104.95,9558311,3.576,3.54%,104.5483,998315431.49,59728
2018-01-18,102.02,102.13,100.81,101.36,5956640,-0.319,-0.31%,100.972,604613589.51,29860
2018-01-17,101.26,102.2855,100.56,101.68,5296132,0.707,0.70%,101.2908,538138447.23,32757
2018-01-16,101.50,105.60,100.09,100.97,13570368,0.11,0.11%,100.5835,1386444031.72,84006
2018-01-12,96.01,102.28,95.63,100.86,14247595,5.10,5.35%,100.4739,1420551073.88,97862
2018-01-11,94.54,95.78,94.01,95.74,3172595,1.564,1.67%,95.3735,301617854.74,25150
2018-01-10,94.46,94.829,93.85,94.17,2778017,-0.379,-0.40%,93.8095,261984474.05,20611
2018-01-09,94.32,94.917,93.56,94.55,4112204,0.837,0.90%,94.1881,388239676.92,28445
2018-01-08,94.38,95.13,93.67,93.71,6191584,-1.026,-1.09%,93.3513,582170607.79,25258
2018-01-05,94.00,94.80,93.76,94.74,5524151,1.992,2.16%,94.3773,521045523.55,34018
2018-01-04,92.19,92.82,91.575,92.74,3542777,0.717,0.78%,92.385,327146493.75,22348
2018-01-03,91.75,92.09,91.17,92.02,4572044,0.398,0.44%,91.6677,419361847.85,29688
2018-01-02,93.02,93.46,91.52,91.62,6572638,-1.315,-1.42%,91.2693,606365501.65,41102
2017-12-29,93.41,93.55,92.91,92.94,3372007,0.08,0.09%,92.5842,314162949.23,21680
2017-12-28,92.54,92.94,92.165,92.86,3563849,0.747,0.81%,92.5045,329762206.69,23156
2017-12-27,91.96,92.40,91.89,92.11,2761199,0.219,0.24%,91.7574,254387212.30,18011
2017-12-26,91.30,92.08,91.11,91.89,2757635,0.697,0.77%,91.5382,253231934.38,19689
2017-12-22,90.67,91.25,90.19,91.19,3620878,0.458,0.51%,90.8409,329216535.33,24306
2017-12-21,90.21,91.03,89.90,90.73,5826400,0.538,0.60%,90.3827,527787310.59,28469
2017-12-20,89.24,90.94,88.93,90.19,6527424,1.325,1.50%,89.8448,587429321.83,39320
2017-12-19,87.80,89.33,87.23,88.86,5659270,1.415,1.62%,88.5198,502611619.21,36521
2017-12-18,87.115,88.09,87.04,87.44,7188463,0.747,0.87%,87.1053,630141550.76,41048
2017-12-15,86.37,87.14,85.97,86.69,7933029,1.106,1.30%,86.3582,687596787.92,34360
2017-12-14,85.85,86.35,85.376,85.58,3908549,-0.02,-0.02%,85.2524,334960995.98,28574
2017-12-13,85.35,85.79,85.11,85.60,5956713,0.608,0.72%,85.2723,509645499.24,38043
