date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,225.50,230.00,223.00,228.65,4928822,3.70,1.64%,228.65,1118885913.42,51269
2018-03-09,214.28,226.08,213.94,224.95,6656799,12.21,5.74%,224.95,1478039962.86,59067
2018-03-08,214.00,214.94,210.95,212.74,3780373,1.00,0.47%,212.74,803746456.90,35985
2018-03-07,205.83,212.36,204.14,211.74,5625612,3.80,1.83%,211.74,1178613700.47,55004
2018-03-06,200.14,209.50,199.51,207.94,7636315,9.74,4.91%,207.94,1573922717.37,61025
2018-03-05,192.83,200.02,191.2388,198.70,3292353,4.16,2.14%,198.2001,649223246.31,35641
2018-03-02,185.05,194.89,182.1629,194.53,2775807,4.449,2.35%,194.0406,527420492.81,28345
2018-03-01,192.49,195.64,188.12,190.07,3003635,-1.785,-0.93%,189.5918,574708447.34,34874
2018-02-28,194.44,196.67,191.33,191.86,3608320,-1.606,-0.83%,191.3773,698203738.95,34931
2018-02-27,198.15,199.79,193.37,193.47,2822258,-4.948,-2.50%,192.9832,551002660.09,29754
2018-02-26,194.57,198.97,193.15,198.43,2363054,5.317,2.76%,197.9307,464759985.52,24469
2018-02-23,190.24,193.67,188.61,193.10,2227288,4.728,2.52%,192.6142,426551181.18,23047
2018-02-22,190.16,190.44,186.9325,188.36,1752907,-0.868,-0.46%,187.8861,330968358.47,20547
2018-02-21,194.55,195.00,189.20,189.23,3271257,-4.199,-2.18%,188.7539,625642157.39,31532
2018-02-20,186.93,196.05,186.41,193.44,3296465,5.516,2.94%,192.9533,636015885.97,32748
2018-02-16,184.76,191.205,184.6501,187.91,4335579,2.194,1.18%,187.4372,818460909.27,38484
2018-02-15,182.97,185.78,179.12,185.71,4179184,2.693,1.48%,185.2428,764597505.94,41235
2018-02-14,171.40,183.09,171.00,183.01,5836961,10.424,6.06%,182.5495,1051936685.32,47548
2018-02-13,171.57,172.73,168.12,172.56,2841567,-0.389,-0.23%,172.1258,484983868.05,26878
2018-02-12,168.41,174.48,167.27,172.95,4150722,7.062,4.27%,172.5149,710954226.19,40255
2018-02-09,165.82,167.29,156.83,165.87,5937091,3.631,2.24%,165.4527,967099070.05,64814
2018-02-08,172.66,173.0749,162.21,162.23,4934369,-9.376,-5.48%,161.8218,819152012.08,52212
2018-02-07,175.83,179.43,171.60,171.63,3403275,-6.693,-3.76%,171.1982,595204968.92,37369
2018-02-06,168.50,179.00,167.32,178.34,5890327,7.97,4.69%,177.8913,1026351445.91,65106
2018-02-05,175.50,182.90,170.32,170.35,5895274,-8.688,-4.86%,169.9214,1039549177.55,63461
2018-02-02,186.71,186.82,178.37,179.06,5527560,-10.025,-5.31%,178.6095,1001406636.96,62197
2018-02-01,190.00,194.13,188.1998,189.11,3053541,-2.404,-1.26%,188.6342,582144846.17,33829
2018-01-31,192.91,193.83,190.25,191.52,2838376,0.439,0.23%,191.0381,544636905.27,31690
2018-01-30,192.10,195.29,189.25,191.08,3794567,-4.878,-2.50%,190.5992,728325467.51,38396
2018-01-29,201.24,202.28,193.28,195.97,4005981,-6.583,-3.26%,195.4769,786970608.94,44890
2018-01-26,201.95,206.42,200.28,202.57,4761552,3.312,1.67%,202.0603,967273001.01,46784
2018-01-25,216.00,218.479,199.00,199.25,8278831,-10.454,-5.00%,198.7487,1709835336.33,78368
2018-01-24,214.19,214.19,206.5628,209.73,5464897,-5.327,-2.48%,209.2023,1151266045.90,57773
2018-01-23,211.03,215.14,210.00,215.07,4339722,5.865,2.81%,214.5289,922824012.32,40296
2018-01-22,208.40,209.84,207.20,209.19,2823113,1.656,0.80%,208.6637,588961588.80,30188
2018-01-19,205.85,207.55,203.1001,207.53,2614988,2.075,1.01%,207.0079,538592036.48,27355
2018-01-18,203.00,206.35,199.76,205.45,4198801,0.369,0.18%,204.9331,856220108.75,42551
2018-01-17,194.53,205.66,193.75,205.08,6497101,14.653,7.72%,204.564,1304357821.34,55885
2018-01-16,192.18,195.82,188.40,190.39,4251112,1.875,1.00%,189.911,816658229.83,42455
2018-01-12,189.12,191.3835,188.30,188.51,2788086,-0.608,-0.32%,188.0357,528198476.37,29593
2018-01-11,192.06,192.82,188.41,189.12,2816395,-2.534,-1.33%,188.6442,534208021.54,26620
2018-01-10,194.34,195.23,190.29,191.66,3510771,-5.895,-2.99%,191.1778,674250637.73,34859
2018-01-09,198.22,199.75,193.37,197.57,2954987,-0.309,-0.16%,197.0729,580948281.15,31940
2018-01-08,196.33,199.49,196.25,197.88,2762693,1.476,0.75%,197.3821,546862835.09,22143
2018-01-05,194.90,197.18,194.45,196.40,1712974,3.012,1.56%,195.9059,336010193.04,19607
