date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,24.47,24.61,24.41,24.50,1797564,0.00,0.00%,24.50,44058367.34,11667
2018-03-09,24.22,24.72,24.13,24.50,1694486,0.52,2.17%,24.50,41486171.91,12202
2018-03-08,24.04,24.10,23.63,23.98,2424272,-0.02,-0.08%,23.98,57879062.48,10820
2018-03-07,23.82,24.04,23.67,24.00,1599227,-0.07,-0.29%,24.00,38198621.17,11131
2018-03-06,24.09,24.20,23.765,24.07,2705839,0.15,0.63%,24.07,64886858.03,16390
2018-03-05,23.61,24.13,23.46,23.92,1704636,0.11,0.46%,23.92,40784941.95,11307
2018-03-02,23.45,23.87,23.13,23.81,1601634,0.17,0.72%,23.81,37813845.19,12732
2018-03-01,23.93,24.26,23.56,23.64,2122832,-0.35,-1.46%,23.64,50588419.70,15509
2018-02-28,24.68,24.72,23.98,23.99,2193031,-0.57,-2.32%,23.99,53122590.37,13140
2018-02-27,25.14,25.45,24.55,24.56,1343940,-0.46,-1.84%,24.56,33455402.64,10026
2018-02-26,25.09,25.23,24.86,25.02,1164997,0.05,0.20%,25.02,29125004.22,8623
2018-02-23,24.58,25.00,24.46,24.97,1747600,0.49,2.00%,24.97,43334144.95,12442
2018-02-22,25.10,25.11,24.435,24.48,1413948,-0.50,-2.00%,24.48,34909691.77,10887
2018-02-21,25.05,25.415,24.96,24.98,1473234,-0.12,-0.48%,24.98,37098514.52,10879
2018-02-20,24.92,25.30,24.91,25.10,1658521,0.13,0.52%,25.10,41628658.18,11172
2018-02-16,24.83,25.15,24.82,24.97,2044097,0.04,0.16%,24.97,51081902.27,12651
2018-02-15,25.30,25.40,24.73,24.93,1859642,-0.29,-1.15%,24.93,46384388.37,13511
2018-02-14,24.41,25.23,24.40,25.22,1302370,0.62,2.52%,25.22,32599019.17,8813
2018-02-13,24.62,24.78,24.545,24.60,1478051,-0.24,-0.97%,24.60,36421299.12,9649
2018-02-12,24.45,25.095,24.345,24.84,2251771,0.59,2.43%,24.84,55793566.70,15521
2018-02-09,24.18,24.45,23.46,24.25,2004383,0.39,1.63%,24.25,48155311.60,16246
2018-02-08,25.01,25.01,23.86,23.86,2288178,-1.15,-4.60%,23.86,55516275.75,14788
2018-02-07,24.58,25.42,24.58,25.01,2243384,0.28,1.13%,25.01,56442655.30,16219
2018-02-06,24.22,25.07,23.9004,24.73,4662408,-0.04,-0.16%,24.73,114002556.83,26383
2018-02-05,26.00,26.31,24.76,24.77,2441046,-1.52,-5.78%,24.77,61884014.12,16966
2018-02-02,26.92,27.02,26.22,26.29,1645311,-0.74,-2.74%,26.29,43560168.13,10824
2018-02-01,27.03,27.11,26.78,27.03,1287125,-0.04,-0.15%,27.03,34740926.02,9377
2018-01-31,27.10,27.24,26.93,27.07,1395550,-0.02,-0.07%,27.07,37766887.66,8565
2018-01-30,27.05,27.21,26.95,27.09,1237742,-0.09,-0.33%,27.09,33516323.00,8742
2018-01-29,27.51,27.70,27.165,27.18,986125,-0.45,-1.63%,27.18,26916315.40,6740
2018-01-26,27.55,27.65,27.36,27.63,1026656,0.20,0.73%,27.63,28296430.87,6675
2018-01-25,27.63,27.655,27.34,27.43,755085,-0.11,-0.40%,27.43,20742631.96,6084
2018-01-24,27.87,27.92,27.54,27.54,1380057,-0.10,-0.36%,27.54,38151490.84,9836
2018-01-23,27.89,27.95,27.61,27.64,1199640,-0.27,-0.97%,27.64,33224966.72,9096
2018-01-22,27.80,28.01,27.665,27.91,1102039,-0.10,-0.36%,27.91,30698357.61,7635
2018-01-19,27.78,28.11,27.74,28.01,1236748,0.38,1.38%,28.01,34555456.43,6268
2018-01-18,27.77,27.80,27.44,27.63,958938,-0.19,-0.68%,27.63,26477509.46,6613
2018-01-17,27.70,27.89,27.42,27.82,1143275,0.27,0.98%,27.82,31734789.65,7335
2018-01-16,28.08,28.17,27.445,27.55,1322350,-0.38,-1.36%,27.55,36678220.30,8746
2018-01-12,28.14,28.30,27.81,27.93,1255364,-0.05,-0.18%,27.93,35070386.00,8480
2018-01-11,27.87,28.22,27.87,27.98,1348886,0.14,0.50%,27.98,37779800.07,9887
2018-01-10,27.54,27.91,27.42,27.84,1488316,0.24,0.87%,27.84,41329694.42,9660
2018-01-09,27.38,28.14,27.3752,27.60,3808399,0.35,1.28%,27.60,106143656.22,23398
2018-01-08,26.86,27.95,26.75,27.25,2538850,0.37,1.38%,27.25,68793999.80,14156
2018-01-05,26.90,26.92,26.65,26.88,1012232,0.04,0.15%,26.88,27174230.46,7039
2018-01-04,26.76,27.06,26.64,26.84,1505524,0.15,0.56%,26.84,40528957.50,9672
2018-01-03,26.74,26.895,26.65,26.69,1369395,-0.09,-0.34%,26.69,36599313.49,8049
2018-01-02,26.55,26.81,26.325,26.78,1840075,0.29,1.09%,26.78,49081096.99,12135
2017-12-29,26.70,26.70,26.265,26.49,1348059,-0.16,-0.60%,26.49,35714736.41,7574
2017-12-28,26.47,26.68,26.36,26.65,1398010,0.22,0.83%,26.65,37117858.91,8432
2017-12-27,26.55,26.55,26.29,26.43,841778,-0.10,-0.38%,26.43,22242657.01,5352
2017-12-26,26.32,26.60,26.30,26.53,1209111,0.32,1.22%,26.53,32022839.33,8508
2017-12-22,26.39,26.46,26.06,26.21,1343247,-0.25,-0.94%,26.21,35238850.60,6931
2017-12-21,26.59,26.68,26.38,26.46,2407640,0.04,0.15%,26.46,63765064.54,11819
2017-12-20,26.00,26.63,25.95,26.42,3361034,0.71,2.76%,26.42,88700039.98,20198
2017-12-19,26.10,26.295,25.69,25.71,1718967,-0.15,-0.58%,25.71,44507710.15,9686
2017-12-18,25.96,26.08,25.71,25.86,1512146,0.19,0.74%,25.86,39130202.76,8682
2017-12-15,25.53,25.90,25.39,25.67,2843744,0.21,0.82%,25.67,72961976.78,11525
2017-12-14,25.465,25.71,25.43,25.46,2110526,-0.05,-0.20%,25.46,53854952.54,11872
2017-12-13,26.04,26.085,25.49,25.51,3103954,-0.60,-2.30%,25.51,79690738.07,15005
2017-12-12,26.09,26.33,26.00,26.11,2173212,0.15,0.58%,26.11,56848105.19,13086
2017-12-11,26.07,26.23,25.93,26.06,1903548,-0.04,-0.15%,25.96,49614541.44,13143
2017-12-08,26.15,26.23,25.96,26.10,1346335,0.10,0.38%,25.9999,35068563.98,8833
2017-12-07,25.87,26.13,25.77,26.00,1442109,0.06,0.23%,25.9002,37513646.31,8652
2017-12-06,25.97,26.08,25.895,25.94,2976903,-0.05,-0.19%,25.8405,77300284.62,11438
2017-12-05,26.42,26.42,25.88,25.99,2834026,-0.398,-1.52%,25.8903,73805949.64,14985
2017-12-04,26.85,27.00,26.38,26.39,3247799,-0.04,-0.15%,26.2887,86420871.96,13684
2017-12-01,26.43,26.82,25.90,26.43,1896854,0.12,0.46%,26.3286,50138392.29,13734
