date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,59.88,59.92,59.40,59.76,4605586,0.06,0.10%,59.76,275084476.28,25317
2018-03-09,58.91,59.70,58.67,59.70,4201144,1.33,2.28%,59.70,249329439.50,28227
2018-03-08,57.74,58.90,57.71,58.37,6476478,0.80,1.39%,58.37,378333403.76,21158
2018-03-07,57.67,58.05,57.48,57.57,3981206,-0.68,-1.17%,57.57,229760940.10,27236
2018-03-06,58.47,58.64,57.93,58.25,2930980,-0.005,-0.01%,58.25,170803020.70,23070
2018-03-05,57.68,58.72,57.19,58.38,5096701,0.569,0.99%,58.255,296973223.24,27645
2018-03-02,57.49,58.13,57.03,57.81,3806177,-0.20,-0.34%,57.6862,219529194.35,29266
2018-03-01,57.78,58.76,57.49,58.01,5400845,0.17,0.29%,57.8858,313512160.77,42648
2018-02-28,58.66,58.83,57.83,57.84,4825167,-0.639,-1.09%,57.7162,280723381.24,27669
2018-02-27,59.60,59.72,58.4661,58.48,3606303,-1.018,-1.71%,58.3548,212268112.53,25129
2018-02-26,58.75,59.84,58.65,59.50,5293675,1.507,2.60%,59.3726,313724895.15,31483
2018-02-23,57.80,58.03,57.47,57.99,3309965,0.669,1.17%,57.8658,191101984.45,24450
2018-02-22,58.41,58.69,57.20,57.32,4038222,-0.708,-1.22%,57.1973,233033224.67,31291
2018-02-21,57.82,59.29,57.66,58.03,3448206,0.299,0.52%,57.9058,201915809.10,25896
2018-02-20,58.08,58.49,57.50,57.73,3563114,-0.539,-0.93%,57.6064,206373186.28,26296
2018-02-16,58.41,58.88,58.205,58.27,3838663,0.09,0.15%,58.1452,224669014.71,25731
2018-02-15,58.21,58.46,57.47,58.18,3283764,0.449,0.78%,58.0554,190448194.72,23020
2018-02-14,56.94,58.38,56.85,57.73,4278848,0.569,1.00%,57.6064,247381982.22,30377
2018-02-13,56.55,57.245,56.155,57.16,3943420,0.349,0.62%,57.0376,224270253.22,29085
2018-02-12,56.14,57.28,55.71,56.81,4427135,1.307,2.36%,56.6884,250464002.72,35012
2018-02-09,56.55,56.79,54.011,55.50,6653225,-0.13,-0.23%,55.3812,368627659.55,50846
2018-02-08,57.88,57.9299,55.60,55.63,8789346,-2.255,-3.90%,55.5109,496021336.06,55356
2018-02-07,58.05,59.04,57.89,57.89,4473171,-0.249,-0.43%,57.7661,261529046.40,33437
2018-02-06,55.84,58.43,55.55,58.14,6963933,1.148,2.02%,58.0155,399086565.35,52075
2018-02-05,58.02,58.74,56.11,56.99,7969602,-1.716,-2.93%,56.868,457677594.36,55205
2018-02-02,59.95,60.26,58.66,58.71,4480194,-1.597,-2.65%,58.5843,265288249.67,34726
2018-02-01,60.51,61.12,60.05,60.31,4351200,-0.489,-0.81%,60.1809,262848386.10,29541
2018-01-31,60.11,61.481,60.11,60.80,5724969,0.968,1.62%,60.6698,348617756.50,34395
2018-01-30,59.62,60.4699,59.62,59.83,4428473,-0.529,-0.88%,59.7019,265908148.42,27536
2018-01-29,60.54,60.70,60.08,60.36,6157925,-0.459,-0.76%,60.2308,371843345.32,31934
2018-01-26,60.87,61.57,60.26,60.82,6043595,0.629,1.05%,60.6898,366669743.53,41861
2018-01-25,63.02,63.03,59.25,60.19,11178279,-2.016,-3.25%,60.0611,673066523.97,72568
2018-01-24,62.63,63.57,61.83,62.21,10398042,-3.043,-4.67%,62.0768,649240443.38,66777
2018-01-23,64.73,65.50,64.21,65.26,4501532,0.369,0.57%,65.1203,292051721.05,32394
2018-01-22,64.86,65.045,64.40,64.89,4216318,-0.16,-0.25%,64.7511,273015777.86,25307
2018-01-19,65.40,65.40,64.11,65.05,5110269,-0.01,-0.02%,64.9107,331030220.19,27787
2018-01-18,66.08,66.28,64.76,65.06,4199467,-1.008,-1.53%,64.9207,273491367.64,27701
2018-01-17,65.84,66.52,65.45,66.07,4920377,0.599,0.92%,65.9285,325641025.34,32160
