date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,28.88,29.13,28.64,28.76,6937665,-0.12,-0.42%,28.76,199833002.17,36460
2018-03-09,29.31,29.39,28.38,28.88,9608142,-0.04,-0.14%,28.88,275998413.99,48905
2018-03-08,30.01,30.05,28.83,28.92,9206878,-1.00,-3.34%,28.92,268697790.34,50049
2018-03-07,30.00,30.4431,29.77,29.92,8844536,-0.44,-1.45%,29.92,265851964.10,50353
2018-03-06,30.45,30.665,29.74,30.36,9008036,0.01,0.03%,30.36,272617480.97,48218
2018-03-05,30.22,30.65,29.78,30.35,11863576,-0.06,-0.20%,30.35,359190951.75,59568
2018-03-02,28.84,30.69,28.80,30.41,16218509,1.16,3.97%,30.41,488025607.59,79457
2018-03-01,29.42,29.59,28.10,29.25,15812893,-0.16,-0.54%,29.25,458703088.34,85076
2018-02-28,28.89,29.89,28.86,29.41,20876789,1.01,3.56%,29.41,613877951.32,102771
2018-02-27,29.77,31.04,27.93,28.40,49154569,0.95,3.46%,28.40,1442427703.04,204497
2018-02-26,27.04,27.47,26.505,27.45,14229029,0.71,2.66%,27.45,384822637.94,67007
2018-02-23,26.31,27.09,25.93,26.74,11097135,0.57,2.18%,26.74,294728131.54,51087
2018-02-22,25.75,26.39,25.63,26.17,7453206,0.58,2.27%,26.17,194861506.97,42113
2018-02-21,25.71,26.0911,25.53,25.59,8049443,-0.06,-0.23%,25.59,207126729.83,36900
2018-02-20,26.03,26.28,25.555,25.65,7691144,-0.61,-2.32%,25.65,199311882.00,42747
2018-02-16,26.40,26.55,25.95,26.26,7084747,-0.20,-0.76%,26.26,186129134.17,38701
2018-02-15,25.82,26.48,25.7701,26.46,8702417,0.82,3.20%,26.46,228025464.35,50710
2018-02-14,24.73,25.82,24.61,25.64,7412380,0.76,3.05%,25.64,188480241.91,45363
2018-02-13,24.14,24.99,24.06,24.88,7371415,0.69,2.85%,24.88,182019269.34,41953
2018-02-12,24.42,24.50,23.86,24.19,7716546,0.04,0.17%,24.19,186723560.26,47606
2018-02-09,24.21,24.595,23.10,24.15,11298860,0.15,0.63%,24.15,268775485.16,71787
2018-02-08,24.78,25.03,24.00,24.00,8868654,-0.76,-3.07%,24.00,216593283.33,57689
2018-02-07,24.10,24.985,24.05,24.76,8930414,0.60,2.48%,24.76,220685631.27,47727
2018-02-06,23.00,24.40,22.47,24.16,13717048,0.69,2.94%,24.16,326448362.90,78379
2018-02-05,24.55,24.89,23.44,23.47,13566824,-1.42,-5.71%,23.47,327304268.85,73645
2018-02-02,25.38,25.5399,24.713,24.89,10778585,-0.73,-2.85%,24.89,269547167.40,57010
2018-02-01,25.75,26.145,25.48,25.62,6132675,-0.33,-1.27%,25.62,158156726.92,36943
2018-01-31,26.33,26.50,25.78,25.95,6470966,-0.30,-1.14%,25.95,169022272.55,31484
2018-01-30,27.19,27.25,26.1301,26.25,7986049,-1.06,-3.88%,26.25,211190922.06,31703
2018-01-29,27.22,27.6393,27.03,27.31,4604522,-0.09,-0.33%,27.31,125926277.23,24405
2018-01-26,26.61,27.41,26.51,27.40,7240050,0.76,2.85%,27.40,196140071.47,28338
2018-01-25,27.31,27.31,26.46,26.64,8191747,-0.61,-2.24%,26.64,218706595.45,37160
2018-01-24,27.30,27.64,26.85,27.25,9893427,-0.11,-0.40%,27.25,270186167.18,43908
2018-01-23,27.36,27.49,26.87,27.36,6833484,0.11,0.40%,27.36,186279140.64,30736
2018-01-22,27.04,27.30,26.74,27.25,7038018,0.24,0.89%,27.25,190577323.52,28201
2018-01-19,26.74,27.01,26.38,27.01,5626646,0.41,1.54%,27.01,150880796.91,25416
2018-01-18,26.29,26.90,26.25,26.60,6768302,0.36,1.37%,26.60,179624589.46,33585
2018-01-17,25.82,26.47,25.65,26.24,8059672,0.32,1.23%,26.24,211137679.93,39882
2018-01-16,27.06,27.19,25.8347,25.92,12322773,-0.97,-3.61%,25.92,325463830.97,55147
2018-01-12,26.51,27.43,26.51,26.89,13571054,0.59,2.24%,26.89,365216374.75,58233
2018-01-11,25.47,26.35,25.36,26.30,8853996,0.70,2.73%,26.30,230295304.65,45032
2018-01-10,24.41,25.82,24.41,25.60,13314541,0.91,3.69%,25.60,338225277.35,59809
2018-01-09,24.61,24.94,24.3851,24.69,10381553,0.25,1.02%,24.69,255802348.35,49415
2018-01-08,24.60,25.08,23.68,24.44,21249127,-0.04,-0.16%,24.44,514866623.45,79861
2018-01-05,24.54,24.74,24.10,24.48,15655546,-0.01,-0.04%,24.48,381962617.96,65283
2018-01-04,25.76,25.84,23.44,24.49,36761880,-0.84,-3.32%,24.49,890512465.51,138402
2018-01-03,26.33,26.64,25.25,25.33,18650249,-0.98,-3.72%,25.33,477145340.73,61016
2018-01-02,25.81,26.33,25.65,26.31,12512857,1.12,4.45%,26.31,325788311.02,53279
2017-12-29,25.74,25.94,25.18,25.19,6932617,-0.53,-2.06%,25.19,177118672.55,31296
2017-12-28,25.65,25.82,25.22,25.72,9053973,0.08,0.31%,25.72,231289417.13,46896
2017-12-27,26.87,26.88,25.58,25.64,9910195,-1.21,-4.51%,25.64,257247751.69,36261
2017-12-26,25.76,27.0699,25.74,26.85,12209849,1.18,4.60%,26.85,327199618.97,47819
2017-12-22,25.51,25.74,25.3899,25.67,7332694,0.10,0.39%,25.67,187781362.12,24891
2017-12-21,25.41,25.82,25.28,25.57,8261378,0.24,0.95%,25.57,211469202.40,30987
2017-12-20,25.42,25.62,25.15,25.33,10724247,0.08,0.32%,25.33,272123896.17,46628
2017-12-19,26.02,26.17,25.23,25.25,9486328,-0.60,-2.32%,25.25,242020730.47,39248
2017-12-18,24.89,25.97,24.79,25.85,12099310,1.26,5.12%,25.85,310794189.51,52440
2017-12-15,24.939,25.15,24.48,24.59,15521344,-0.21,-0.85%,24.59,384115935.17,49422
2017-12-14,25.44,25.77,24.44,24.80,12283286,-0.652,-2.56%,24.80,306183541.65,59096
2017-12-13,25.72,26.23,25.48,25.83,9430828,0.138,0.54%,25.4525,243577586.57,42367
2017-12-12,26.00,26.365,25.67,25.69,9436107,-0.197,-0.77%,25.3145,245252035.87,42657
2017-12-11,25.87,26.18,25.637,25.89,10524929,0.089,0.35%,25.5116,273425520.18,43927
2017-12-08,25.37,25.84,24.83,25.80,13582075,0.512,2.06%,25.4229,345773837.14,48172
2017-12-07,25.53,25.9586,25.18,25.28,13003258,0.187,0.76%,24.9105,331612739.43,57317
2017-12-06,25.15,25.40,24.61,25.09,12347650,-0.128,-0.52%,24.7233,308280172.04,56235
2017-12-05,25.80,25.84,24.76,25.22,16185571,-0.572,-2.25%,24.8514,409345650.59,78098
2017-12-04,24.65,26.26,24.65,25.80,27017682,1.586,6.66%,25.4229,695656922.83,102516
2017-12-01,23.84,24.40,23.39,24.19,14783061,0.384,1.64%,23.8365,355223178.02,68939
2017-11-30,24.15,24.90,23.73,23.80,26021812,-0.177,-0.75%,23.4522,633595212.10,104516
2017-11-29,22.28,24.19,22.23,23.98,30789807,1.784,8.16%,23.6295,728462509.67,127687
2017-11-28,21.41,22.23,21.12,22.17,16163501,0.946,4.53%,21.846,351285181.82,58599
2017-11-27,21.14,21.3617,20.60,21.21,16701516,0.138,0.66%,20.90,350082714.88,62085
2017-11-24,21.30,21.65,21.01,21.07,12860843,0.434,2.13%,20.7621,274170061.83,48737
2017-11-22,20.54,21.14,20.31,20.63,10326197,0.207,1.03%,20.3285,215284014.33,44460
2017-11-21,20.81,20.82,20.35,20.42,10126402,-0.374,-1.83%,20.1216,207116029.21,38149
2017-11-20,20.34,20.92,20.115,20.80,11268249,0.443,2.21%,20.496,231635332.38,45474
2017-11-17,20.68,20.94,20.235,20.35,14008138,0.099,0.49%,20.0526,286871425.39,57702
2017-11-16,20.00,20.42,19.611,20.25,11564777,0.266,1.35%,19.954,233275742.07,47736
2017-11-15,19.44,20.24,19.3332,19.98,15102064,0.276,1.42%,19.688,301235917.13,62805
2017-11-14,19.15,19.73,19.09,19.70,10707200,0.365,1.91%,19.4121,208969895.50,48544
2017-11-13,19.99,20.10,18.80,19.33,21387161,-0.641,-3.25%,19.0475,413578439.11,82719
2017-11-10,19.51,20.40,19.50,19.98,28654541,0.473,2.46%,19.688,574135335.33,114611
2017-11-09,18.01,20.10,17.80,19.50,60720709,1.902,10.98%,19.215,1160396065.74,192731
2017-11-08,17.51,17.93,17.42,17.57,19900157,0.039,0.23%,17.3132,350665044.53,68634
2017-11-07,18.16,18.17,17.405,17.53,20434262,-0.621,-3.47%,17.2738,361654682.56,67841
2017-11-06,18.32,18.36,17.94,18.16,14676504,-0.197,-1.09%,17.8946,266712760.95,51378
2017-11-03,18.80,18.82,18.33,18.36,14959864,-0.414,-2.24%,18.0917,277176225.55,55130
2017-11-02,19.08,19.345,18.75,18.78,11041651,-0.168,-0.90%,18.5055,209187821.31,45289
2017-11-01,18.85,19.62,18.7548,18.95,14932235,0.187,1.01%,18.673,285402122.05,66624
2017-10-31,18.78,18.91,18.51,18.76,12870296,-0.079,-0.42%,18.4858,240563207.14,51681
2017-10-30,19.2418,19.59,18.62,18.84,24134224,-0.838,-4.32%,18.5647,458254370.41,91692
2017-10-27,20.36,20.50,19.60,19.69,25437159,-1.626,-7.73%,19.4022,507864020.91,95729
