date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,182.83,183.52,181.70,182.54,3588990,-0.70,-0.38%,182.54,654828621.33,35526
2018-03-09,180.25,183.33,179.97,183.24,4168940,3.99,2.23%,183.24,760488546.29,39222
2018-03-08,179.35,179.89,177.56,179.25,2235312,0.04,0.02%,179.25,399863022.64,21780
2018-03-07,175.76,179.71,175.55,179.21,2766055,1.68,0.95%,179.21,492391076.71,27105
2018-03-06,179.18,180.09,176.95,177.53,3820901,-1.00,-0.56%,177.53,680269660.60,35475
2018-03-05,174.13,179.27,172.91,178.53,4826505,3.51,2.01%,178.53,855335169.80,44587
2018-03-02,171.56,175.33,169.2703,175.02,4190095,1.53,0.88%,175.02,724242195.32,41085
2018-03-01,176.35,177.35,172.151,173.49,4658478,-2.27,-1.29%,173.49,812546229.94,59018
2018-02-28,176.29,178.97,175.75,175.76,4145673,-0.17,-0.10%,175.76,734157903.17,37549
2018-02-27,177.72,179.17,175.93,175.93,3815927,-1.94,-1.09%,175.93,677241081.11,43228
2018-02-26,176.50,178.14,176.06,177.87,4088074,2.11,1.20%,177.87,725899403.52,41674
2018-02-23,173.90,175.78,172.49,175.76,3093816,2.81,1.62%,175.76,540037512.55,30010
2018-02-22,173.34,173.83,170.80,172.95,5605771,0.63,0.37%,172.95,964852736.38,52108
2018-02-21,175.35,176.35,172.28,172.32,5999480,-3.03,-1.73%,172.32,1046130947.46,50260
2018-02-20,174.88,176.43,174.04,175.35,3750105,-0.30,-0.17%,175.35,657089602.99,39143
2018-02-16,174.35,176.67,174.14,175.65,4213141,0.96,0.55%,175.65,740181429.74,36679
2018-02-15,173.95,174.70,171.36,174.69,3915012,2.17,1.26%,174.69,678425061.43,38100
2018-02-14,169.36,172.66,169.00,172.52,4203662,2.40,1.41%,172.52,721242681.30,46582
2018-02-13,167.33,170.77,167.01,170.12,3471021,1.93,1.15%,170.12,588358160.18,37368
2018-02-12,166.80,168.82,165.58,168.19,5227367,2.99,1.81%,168.19,877361611.83,51496
2018-02-09,161.67,166.49,158.565,165.20,6302992,4.58,2.85%,165.20,1026655616.09,63702
2018-02-08,168.77,169.24,160.46,160.62,6557705,-8.11,-4.81%,160.62,1078688541.93,59651
2018-02-07,169.00,172.61,167.45,168.73,4364793,-0.55,-0.32%,168.73,742187463.75,46311
2018-02-06,160.50,169.36,156.80,169.28,7259895,4.69,2.85%,169.28,1202708348.99,72600
