date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.96,58.445,57.45,58.10,1573803,0.08,0.14%,58.10,91264374.85,9672
2018-03-09,58.85,58.88,56.86,58.02,1299195,-0.76,-1.29%,58.02,74780301.34,13074
2018-03-08,59.40,59.40,58.47,58.78,1246919,-0.49,-0.83%,58.78,73334852.63,9069
2018-03-07,58.94,59.56,58.36,59.27,1066952,0.09,0.15%,59.27,63100019.27,7788
2018-03-06,59.20,59.48,58.44,59.18,713680,0.02,0.03%,59.18,42202375.58,7231
2018-03-05,58.57,59.93,58.57,59.16,1928890,0.12,0.20%,59.16,114357250.79,10334
2018-03-02,58.86,59.22,58.02,59.04,772180,-0.09,-0.15%,59.04,45440630.90,7826
2018-03-01,58.93,60.29,58.45,59.13,1190894,0.19,0.32%,59.13,70415758.02,11499
2018-02-28,57.96,60.85,57.78,58.94,3071220,1.09,1.88%,58.94,181867731.43,22825
2018-02-27,60.29,60.74,57.83,57.85,1025151,-1.96,-3.28%,57.85,60070884.89,10029
2018-02-26,59.525,59.85,59.07,59.81,1322230,0.45,0.76%,59.81,78786736.59,9328
2018-02-23,58.98,59.42,58.43,59.36,1207060,0.56,0.95%,59.36,71283005.55,8632
2018-02-22,58.13,59.1301,58.13,58.80,1417623,0.84,1.45%,58.80,83374312.76,12476
2018-02-21,59.38,59.38,57.81,57.96,1272672,-1.42,-2.39%,57.96,74427486.31,11246
2018-02-20,59.81,60.72,59.255,59.38,1122873,-0.54,-0.90%,59.38,67064640.93,8413
2018-02-16,61.04,61.65,59.90,60.66,1644068,-0.435,-0.72%,59.92,99680201.25,11405
2018-02-15,61.33,61.91,60.36,61.10,1796331,-0.454,-0.75%,60.3546,109621066.94,14384
2018-02-14,60.22,61.85,59.39,61.56,1473239,0.721,1.20%,60.809,89969952.90,12746
2018-02-13,60.44,61.16,59.845,60.83,846319,0.03,0.05%,60.0879,51229572.13,8087
2018-02-12,60.45,61.04,58.66,60.80,1716119,0.385,0.65%,60.0583,103364829.98,13893
2018-02-09,58.67,60.96,58.20,60.41,1842050,2.025,3.51%,59.6731,109702582.24,15840
2018-02-08,60.02,60.34,58.35,58.36,1718813,-1.808,-3.04%,57.6481,102284019.51,14652
2018-02-07,59.41,61.78,59.36,60.19,1924947,0.533,0.91%,59.4557,116893107.26,15603
2018-02-06,58.59,59.88,57.37,59.65,3257244,-0.079,-0.13%,58.9223,190690692.12,27438
2018-02-05,61.49,62.46,59.42,59.73,2740903,-1.709,-2.81%,59.0014,166091644.79,18378
2018-02-02,62.12,62.82,61.25,61.46,3492954,-1.255,-2.02%,60.7102,215445287.45,13965
2018-02-01,64.57,65.69,62.49,62.73,1726218,-1.818,-2.85%,61.9648,109916760.25,15133
2018-01-31,64.43,64.97,63.56,64.57,5366516,0.286,0.45%,63.7823,345639720.22,14959
