date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,143.22,143.67,141.31,141.81,2190445,-1.48,-1.03%,141.81,311077829.70,22226
2018-03-09,141.86,144.61,140.19,143.29,2496165,3.94,2.83%,143.29,357456624.10,22808
2018-03-08,139.19,140.21,138.85,139.35,1584022,0.37,0.27%,139.35,220929371.20,14812
2018-03-07,137.00,139.44,136.52,138.98,1629541,1.37,1.00%,138.98,225385345.30,14815
2018-03-06,136.58,138.4721,136.00,137.61,2380269,1.88,1.39%,137.61,327522496.08,23233
2018-03-05,138.45,138.96,134.29,135.73,3635842,-3.85,-2.76%,135.73,494387451.76,31097
2018-03-02,136.52,139.95,135.13,139.58,2386071,2.04,1.48%,139.58,329875766.48,25515
2018-03-01,141.21,142.07,137.17,137.54,3060861,-3.67,-2.60%,137.54,423782324.11,31884
2018-02-28,138.50,143.34,138.50,141.21,2426514,3.09,2.24%,141.21,342951897.30,24753
2018-02-27,141.79,142.35,138.08,138.12,2210626,-3.23,-2.29%,138.12,308578091.20,24569
2018-02-26,142.58,143.17,141.23,141.35,1873806,-0.82,-0.58%,141.35,265920443.96,19859
2018-02-23,141.82,142.24,140.65,142.17,1329796,1.57,1.12%,142.17,188236046.69,15404
2018-02-22,142.19,142.71,139.82,140.60,2029407,-1.03,-0.73%,140.60,286505805.13,21677
2018-02-21,140.81,144.86,140.62,141.96,3809842,1.516,1.08%,141.6299,545665451.00,26429
2018-02-20,138.14,140.95,138.1313,140.44,2162121,1.935,1.40%,140.1135,303026086.17,23013
2018-02-16,140.76,141.44,138.48,138.50,2855573,-2.784,-1.97%,138.178,398414941.99,29221
2018-02-15,142.12,144.95,140.85,141.29,4295597,-3.941,-2.72%,140.9615,610855440.11,41281
2018-02-14,141.00,145.40,140.32,145.24,3561740,4.619,3.29%,144.9023,511735480.59,31637
2018-02-13,138.45,141.02,137.711,140.61,1977847,1.506,1.09%,140.2831,277042501.99,18428
2018-02-12,137.42,139.93,137.27,139.10,2835140,2.803,2.06%,138.7766,393790705.47,26628
2018-02-09,134.54,137.47,131.10,136.29,2885138,2.404,1.80%,135.9731,388299722.39,31393
2018-02-08,139.61,139.94,133.81,133.88,2964407,-5.747,-4.12%,133.5687,402328090.78,27482
2018-02-07,139.25,142.77,138.6601,139.64,1806395,-0.389,-0.28%,139.3153,254116191.80,21070
2018-02-06,134.07,140.23,131.00,140.03,2881929,3.681,2.71%,139.7044,397102622.32,31977
2018-02-05,140.82,142.60,136.28,136.34,2921214,-4.819,-3.42%,136.023,406252255.29,27852
2018-02-02,146.69,147.01,140.97,141.17,2672334,-6.335,-4.30%,140.8418,381846173.56,26284
2018-02-01,146.60,148.265,145.82,147.52,1676586,0.18,0.12%,147.177,247079015.33,15553
