date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,42.71,42.91,42.41,42.47,3086968,-0.01,-0.02%,42.47,131537320.96,20828
2018-03-09,41.78,42.49,41.45,42.48,1834166,1.03,2.48%,42.48,77323647.72,14428
2018-03-08,41.51,41.59,41.125,41.45,1674348,0.18,0.44%,41.45,69259808.54,13224
2018-03-07,40.70,41.55,40.68,41.27,2276948,0.13,0.32%,41.27,93854646.70,15923
2018-03-06,41.36,41.41,40.93,41.14,2805422,-0.02,-0.05%,41.14,115348151.77,20366
2018-03-05,40.25,41.29,40.21,41.16,3025347,0.65,1.60%,41.16,124105491.18,21037
2018-03-02,40.50,40.66,40.09,40.51,4594235,-0.34,-0.83%,40.51,185345300.71,31204
2018-03-01,41.11,41.48,40.35,40.85,4801305,-0.27,-0.66%,40.85,196605704.85,37843
2018-02-28,41.93,41.97,41.00,41.12,4480314,-0.77,-1.84%,41.12,185486688.68,28888
2018-02-27,42.99,43.14,41.89,41.89,2820737,-0.98,-2.29%,41.89,119293026.77,21902
2018-02-26,43.17,43.23,42.38,42.87,2946108,-0.15,-0.35%,42.87,126044181.15,16223
2018-02-23,42.89,43.07,42.52,43.02,2395789,0.44,1.03%,43.02,102599383.62,12675
2018-02-22,42.69,42.985,42.35,42.58,2273789,0.18,0.42%,42.58,97113957.94,17887
2018-02-21,42.50,43.40,42.37,42.40,3790978,-0.12,-0.28%,42.40,162582930.45,25961
2018-02-20,43.06,43.29,42.33,42.52,2000632,-0.69,-1.60%,42.52,85493637.46,16872
2018-02-16,42.84,43.69,42.81,43.21,2767559,0.38,0.89%,43.21,119807770.26,19363
2018-02-15,43.45,43.45,42.57,42.83,2860644,-0.11,-0.26%,42.83,122450186.81,16214
2018-02-14,42.31,43.08,42.19,42.94,2892508,0.18,0.42%,42.94,123623984.10,19097
2018-02-13,42.93,43.05,42.31,42.76,4258104,-0.36,-0.83%,42.76,181909417.75,26570
2018-02-12,42.42,43.47,42.33,43.12,4981055,0.99,2.35%,43.12,214154457.55,41095
2018-02-09,41.37,42.575,40.31,42.13,5990423,1.43,3.51%,42.13,248753267.55,46580
2018-02-08,41.90,43.74,40.58,40.70,6658627,-1.99,-4.66%,40.70,277301204.84,42615
2018-02-07,42.14,43.31,42.07,42.69,4555425,0.35,0.83%,42.69,195553699.11,36457
2018-02-06,40.475,42.63,40.17,42.34,4626940,1.06,2.57%,42.34,193573096.77,36169
2018-02-05,42.68,42.87,41.03,41.28,4493583,-1.62,-3.78%,41.28,188681667.71,33656
2018-02-02,43.74,43.77,42.77,42.90,3942852,-1.17,-2.65%,42.90,170710366.82,26855
2018-02-01,44.38,44.74,43.89,44.07,2177520,-0.59,-1.32%,44.07,96265781.35,16556
2018-01-31,44.82,45.085,44.57,44.66,3643128,0.14,0.31%,44.66,163015460.13,20697
2018-01-30,44.38,44.76,44.05,44.52,2694845,-0.12,-0.27%,44.52,120052870.88,17731
2018-01-29,45.17,45.19,44.58,44.64,2633106,-0.69,-1.52%,44.64,118025653.47,20951
2018-01-26,45.65,45.67,45.25,45.33,3431169,-0.10,-0.22%,45.33,155785911.66,18547
2018-01-25,46.03,46.165,45.26,45.43,3116009,-0.48,-1.05%,45.43,141954330.02,19982
2018-01-24,45.85,46.11,45.63,45.91,2134801,0.45,0.99%,45.91,97980739.48,17723
2018-01-23,45.43,45.64,45.18,45.46,3528805,-0.41,-0.89%,45.46,160304835.01,15736
2018-01-22,46.00,46.21,45.67,45.87,2301044,-0.03,-0.07%,45.87,105417968.08,17797
2018-01-19,46.43,46.43,45.73,45.90,2775351,-0.37,-0.80%,45.90,127640435.15,14873
2018-01-18,45.80,46.445,45.7218,46.27,2608820,0.44,0.96%,46.27,120718543.54,17837
2018-01-17,45.55,45.94,45.155,45.83,2389681,0.59,1.30%,45.83,109130671.04,18066
2018-01-16,46.13,46.16,45.02,45.24,3090188,-0.52,-1.14%,45.24,140497103.20,18221
2018-01-12,45.81,46.01,45.535,45.76,2603508,0.03,0.07%,45.76,119305160.50,15770
2018-01-11,44.80,45.75,44.525,45.73,3133856,1.125,2.52%,45.73,141910764.78,19658
2018-01-10,45.31,45.53,44.69,44.71,2127325,-0.718,-1.58%,44.605,95505668.73,17016
