date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,15.00,15.11,14.72,14.99,6582417,0.155,1.04%,14.99,97952861.81,25055
2018-03-09,15.12,15.33,14.37,14.835,20054313,-1.135,-7.11%,14.835,296270066.81,84805
2018-03-08,16.02,16.20,15.89,15.97,3330461,-0.01,-0.06%,15.97,53362078.24,17650
2018-03-07,16.36,16.55,15.86,15.98,3453862,-0.46,-2.80%,15.98,55471735.00,18871
2018-03-06,16.46,16.56,16.18,16.44,3928493,0.02,0.12%,16.44,64476552.43,20297
2018-03-05,16.50,17.02,16.40,16.42,4214468,-0.15,-0.91%,16.42,70302644.90,27593
2018-03-02,15.75,16.65,15.71,16.57,3901150,0.72,4.54%,16.57,63763930.04,26705
2018-03-01,15.90,16.07,15.585,15.85,4197607,-0.05,-0.31%,15.85,66435681.30,28704
2018-02-28,16.02,16.17,15.84,15.90,3581963,-0.07,-0.44%,15.90,57091249.81,21084
2018-02-27,16.06,16.28,15.65,15.97,5366999,-0.11,-0.68%,15.97,85254145.81,33487
2018-02-26,16.20,16.40,15.21,16.08,10214641,-0.56,-3.37%,16.08,161140466.43,59212
2018-02-23,16.77,17.14,16.445,16.64,3475880,0.00,0.00%,16.64,58277705.93,19837
2018-02-22,17.05,17.33,16.60,16.64,3756977,-0.38,-2.23%,16.64,63439859.03,26263
2018-02-21,16.44,17.235,16.43,17.02,4447796,0.55,3.34%,17.02,75829268.65,30859
2018-02-20,16.48,16.78,16.24,16.47,5330176,-0.08,-0.48%,16.47,88008769.28,32544
2018-02-16,16.88,17.09,15.95,16.55,6367813,-0.41,-2.42%,16.55,105602632.75,37427
2018-02-15,16.54,17.15,16.29,16.96,4017778,0.45,2.73%,16.96,67983077.82,25532
2018-02-14,16.26,16.58,15.975,16.51,3932331,0.15,0.92%,16.51,64341428.99,28972
2018-02-13,17.24,17.51,16.30,16.36,4096012,-1.00,-5.76%,16.36,68484984.77,28615
2018-02-12,17.12,18.025,16.93,17.36,6676597,0.09,0.52%,17.36,117104847.42,39400
2018-02-09,16.04,17.4162,15.95,17.27,9839662,1.27,7.94%,17.27,165241606.14,66184
2018-02-08,16.97,17.05,15.83,16.00,10403478,-1.00,-5.88%,16.00,167189550.95,52075
2018-02-07,16.67,17.55,16.62,17.00,10815610,0.15,0.89%,17.00,185125648.14,55519
2018-02-06,15.97,17.04,15.72,16.85,7596506,0.62,3.82%,16.85,125468808.04,51413
2018-02-05,16.40,17.1858,16.205,16.23,8362869,-0.30,-1.81%,16.23,139772543.42,49600
2018-02-02,14.44,16.95,14.3222,16.53,16567552,1.21,7.90%,16.53,273090299.04,81508
2018-02-01,15.74,15.90,15.07,15.32,9528023,-0.52,-3.28%,15.32,147426194.72,40614
