date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,157.74,159.45,157.505,157.74,4461502,0.50,0.32%,157.74,705712195.04,37658
2018-03-09,155.62,157.73,154.84,157.24,5076480,2.80,1.81%,157.24,795176035.07,41547
2018-03-08,152.73,154.61,152.65,154.44,4291386,2.06,1.35%,154.44,660596426.45,36244
2018-03-07,149.86,152.74,149.68,152.38,4492049,1.18,0.78%,152.38,680714809.68,39275
2018-03-06,151.25,151.71,150.13,151.20,5015408,0.17,0.11%,151.20,756603250.75,46959
2018-03-05,148.28,151.48,147.92,151.03,6397841,2.76,1.86%,151.03,962412231.49,54819
2018-03-02,148.91,150.45,146.84,148.27,11754262,-7.43,-4.77%,148.27,1744061462.78,101274
2018-03-01,157.80,160.43,155.21,155.70,5608962,-2.04,-1.29%,155.70,881932656.08,55007
2018-02-28,160.43,161.21,157.72,157.74,6116820,-1.91,-1.20%,157.74,974753656.16,37704
2018-02-27,164.19,164.50,160.64,160.66,4907530,-2.902,-1.79%,159.6499,794659019.13,44139
2018-02-26,164.00,164.75,162.30,163.58,4525196,0.517,0.32%,162.5516,738956583.18,33305
2018-02-23,161.44,163.31,161.44,163.06,4272364,2.385,1.49%,162.0348,694580448.86,38188
2018-02-22,158.95,161.40,158.90,160.66,4398165,2.007,1.27%,159.6499,705298869.99,39407
2018-02-21,157.76,161.32,157.60,158.64,7833396,1.471,0.94%,157.6426,1249400553.29,49446
2018-02-20,157.00,159.16,156.275,157.16,5211141,-0.626,-0.40%,156.1719,819927944.35,46287
2018-02-16,159.47,159.90,157.76,157.79,7165793,-2.971,-1.86%,156.798,1136347347.94,57038
2018-02-15,161.14,161.52,158.81,160.78,5012104,0.785,0.49%,159.7692,802773591.20,47869
2018-02-14,161.44,162.02,159.68,159.99,5865565,-2.395,-1.48%,158.9841,942382783.07,52749
2018-02-13,163.00,163.83,161.72,162.40,5405988,-1.491,-0.92%,161.379,878958713.15,44839
2018-02-12,162.37,165.89,161.50,163.90,5255925,3.081,1.93%,162.8696,860081033.40,50336
2018-02-09,159.98,161.98,155.23,160.80,7187079,1.818,1.15%,159.7891,1141479097.06,77236
2018-02-08,165.69,165.7329,158.76,158.97,5655988,-6.698,-4.07%,157.9706,917756432.68,54540
2018-02-07,164.86,168.26,164.52,165.71,4974029,0.527,0.32%,164.6682,828095756.58,44902
2018-02-06,158.35,166.05,158.25,165.18,7019960,1.322,0.81%,164.1415,1146069536.63,67172
2018-02-05,168.61,169.455,153.86,163.85,7309275,-5.495,-3.26%,162.8199,1208961606.24,71444
2018-02-02,170.80,172.7299,168.99,169.38,4604454,-2.504,-1.47%,168.3151,784984704.34,39702
2018-02-01,170.27,173.54,168.8945,171.90,4751328,0.755,0.44%,170.8193,816662832.17,43926
