date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,99.53,100.50,99.30,100.24,2922871,1.27,1.28%,100.24,292278378.15,26879
2018-03-09,96.91,99.13,96.45,98.97,4274379,3.63,3.81%,98.97,420418771.27,36609
2018-03-08,97.00,97.16,94.56,95.34,3893949,-0.23,-0.24%,95.34,371354121.36,24031
2018-03-07,95.08,96.0842,94.22,95.57,3004108,-1.00,-1.04%,95.57,286240644.87,23932
2018-03-06,94.99,96.76,93.74,96.57,4781505,2.10,2.22%,96.57,457262748.83,31132
2018-03-05,91.73,94.91,91.09,94.47,3937415,3.18,3.48%,94.47,369504966.40,32638
2018-03-02,92.39,93.75,89.00,91.29,8528589,2.27,2.55%,91.29,779402836.70,61355
2018-03-01,89.02,90.00,87.56,89.02,3838358,0.09,0.10%,89.02,340439631.52,37930
2018-02-28,89.42,90.51,88.70,88.93,4115476,0.38,0.43%,88.93,368442236.07,34819
2018-02-27,87.76,92.27,87.61,88.55,6108498,2.17,2.51%,88.55,547584904.75,44602
2018-02-26,85.45,86.46,85.25,86.38,2214618,1.22,1.43%,86.38,190445512.40,19709
2018-02-23,84.81,85.22,83.67,85.16,2063826,1.24,1.48%,85.16,174418118.64,15763
2018-02-22,84.18,85.63,83.25,83.92,2198189,-0.23,-0.27%,83.92,185535429.98,21033
2018-02-21,85.23,85.84,83.60,84.15,3235858,-0.71,-0.84%,84.15,273967887.97,26644
2018-02-20,82.64,86.52,82.64,84.86,4026529,1.813,2.18%,84.86,342286102.15,32832
2018-02-16,82.23,83.819,82.23,83.41,3553649,0.916,1.12%,83.047,296035653.19,28919
2018-02-15,83.11,83.28,81.00,82.49,3580535,0.279,0.34%,82.131,294047931.53,30284
2018-02-14,80.04,82.38,80.00,82.21,3687119,1.394,1.73%,81.8522,300327829.37,33048
2018-02-13,82.11,82.71,80.13,80.81,4296454,-2.20,-2.66%,80.4583,346927751.80,31566
2018-02-12,81.51,83.51,81.51,83.02,5019924,1.971,2.44%,82.6587,415523963.12,31996
2018-02-09,80.77,81.98,78.33,81.04,5716768,1.135,1.43%,80.6873,460717008.57,52088
2018-02-08,83.00,83.21,79.24,79.90,8116226,-2.997,-3.63%,79.5523,653307633.62,68199
2018-02-07,87.55,89.00,82.81,82.91,13625175,-8.971,-9.80%,82.5492,1161214518.37,85334
2018-02-06,88.14,91.92,87.90,91.92,5478058,2.409,2.70%,91.52,493800409.03,46219
2018-02-05,93.10,94.05,89.47,89.50,3524140,-3.793,-4.08%,89.1105,322024012.18,35282
2018-02-02,94.00,94.94,93.24,93.31,1945337,-1.225,-1.30%,92.9039,182591667.17,20755
2018-02-01,94.91,95.89,94.1142,94.54,1932510,-0.677,-0.71%,94.1286,183537557.35,15869
2018-01-31,95.79,96.21,94.52,95.22,1943995,0.229,0.24%,94.8056,185045031.05,19435
2018-01-30,96.35,96.51,94.89,94.99,2045575,-1.882,-1.95%,94.5766,195273195.56,19541
2018-01-29,96.14,97.29,95.375,96.88,1958700,-0.03,-0.03%,96.4584,188795475.28,18849
2018-01-26,93.92,97.07,93.48,96.91,3252153,4.411,4.79%,96.4882,312420741.46,23070
2018-01-25,96.31,96.35,92.25,92.48,2724406,-2.867,-3.02%,92.0775,255242558.27,23154
2018-01-24,96.86,97.80,94.885,95.36,3283359,-3.146,-3.21%,94.945,314968797.19,29264
2018-01-23,98.69,99.17,98.07,98.52,1630974,-0.169,-0.17%,98.0912,160670316.60,14542
2018-01-22,97.61,98.71,97.23,98.69,1747824,1.235,1.27%,98.2605,171512883.72,14826
2018-01-19,97.85,98.14,96.94,97.45,3764861,0.159,0.16%,97.0259,366827285.10,12582
2018-01-18,96.02,97.60,95.87,97.29,2416573,1.264,1.32%,96.8666,234819814.52,20899
2018-01-17,94.38,96.375,93.92,96.02,2853273,2.678,2.88%,95.6021,272301715.00,24866
2018-01-16,94.03,94.37,92.675,93.33,1758472,-0.11,-0.12%,92.9238,164348395.09,15683
2018-01-12,92.33,93.65,91.79,93.44,1271338,1.324,1.44%,93.0333,118434260.36,12872
2018-01-11,91.18,92.34,90.72,92.11,1077574,1.155,1.28%,91.7091,99065234.46,9918
2018-01-10,91.95,92.2614,90.08,90.95,1992156,-1.553,-1.69%,90.5542,180920758.89,17874
2018-01-09,92.73,93.03,91.68,92.51,2223308,-0.11,-0.12%,92.1074,205960643.23,16151
2018-01-08,91.94,92.87,91.34,92.62,1084335,0.358,0.39%,92.2169,100177988.13,10959
2018-01-05,92.58,92.88,91.57,92.26,1481007,0.269,0.29%,91.8585,136846646.29,12434
2018-01-04,92.23,92.85,91.44,91.99,1646289,0.219,0.24%,91.5897,151718892.63,16667
2018-01-03,90.51,92.18,90.38,91.77,2530031,1.354,1.50%,91.3706,231867314.64,23473
2018-01-02,88.58,90.54,88.26,90.41,1633061,2.519,2.88%,90.0165,146786004.30,14501
2017-12-29,88.70,89.00,87.83,87.88,904040,-0.727,-0.82%,87.4975,79738932.54,8325
2017-12-28,88.90,89.00,88.18,88.61,1161205,0.209,0.24%,88.2244,102762320.49,10252
2017-12-27,88.95,89.12,88.29,88.40,819161,-0.229,-0.26%,88.0153,72493553.15,6847
2017-12-26,88.19,88.92,87.77,88.63,587642,-0.289,-0.33%,88.2443,51967987.46,5741
2017-12-22,89.33,89.61,88.12,88.92,929340,-0.538,-0.60%,88.533,82447319.08,9736
2017-12-21,90.32,90.65,89.38,89.46,1414975,-0.757,-0.84%,89.0707,126970657.75,13345
2017-12-20,90.06,90.89,89.47,90.22,1793995,0.627,0.70%,89.8274,161745801.64,13552
2017-12-19,89.22,89.84,88.42,89.59,1758863,0.617,0.70%,89.2001,157164251.65,18135
2017-12-18,87.29,89.39,87.29,88.97,2182190,2.21,2.56%,88.5828,193386371.74,19286
2017-12-15,86.23,87.25,85.36,86.75,3234477,1.274,1.50%,86.3725,280381130.39,15646
2017-12-14,86.45,86.64,85.37,85.47,1981685,-0.926,-1.08%,85.098,170452009.54,20406
2017-12-13,86.41,86.94,85.94,86.40,1482452,0.558,0.65%,86.024,128351628.10,15014
2017-12-12,86.79,87.04,85.66,85.84,1898172,-1.543,-1.77%,85.4664,163660000.71,16394
2017-12-11,87.46,88.43,86.92,87.39,1626303,-0.02,-0.02%,87.0097,142464622.56,15300
2017-12-08,88.10,88.4775,87.26,87.41,1856919,0.02,0.02%,87.0296,162916342.80,17550
2017-12-07,86.41,87.65,86.134,87.39,1830634,1.075,1.25%,87.0097,159716577.70,15953
2017-12-06,85.80,86.83,85.29,86.31,1511660,0.10,0.12%,85.9344,130366320.28,16587
2017-12-05,85.97,88.62,85.5583,86.21,2434032,-0.09,-0.10%,85.8348,211474293.57,21415
2017-12-04,87.43,87.935,85.71,86.30,2514452,-0.697,-0.80%,85.9244,217556258.29,22511
2017-12-01,86.40,87.31,85.10,87.00,3099369,0.01,0.01%,86.6214,267565082.37,29002
2017-11-30,87.19,88.75,86.67,86.99,3665364,0.408,0.47%,86.6114,320891127.28,26579
2017-11-29,90.21,90.295,85.95,86.58,4389771,-3.983,-4.42%,86.2032,381421881.79,35510
2017-11-28,89.15,90.68,88.85,90.58,2168114,1.643,1.86%,90.1858,195446026.29,18604
2017-11-27,90.47,90.62,88.63,88.93,2571393,-2.031,-2.24%,88.543,229254990.88,20144
2017-11-24,90.29,91.04,90.22,90.97,727935,0.568,0.63%,90.5741,66046111.07,6517
2017-11-22,91.66,92.2552,90.39,90.40,1634678,-1.464,-1.60%,90.0066,148970349.20,12081
2017-11-21,91.94,92.6247,91.61,91.87,1568048,0.478,0.53%,91.4702,144273680.12,11673
2017-11-20,91.48,91.89,91.14,91.39,1460496,0.45,0.50%,90.9923,133568166.13,13780
2017-11-17,91.02,91.59,90.64,91.30,2099233,0.516,0.57%,90.5418,191558645.02,15915
2017-11-16,89.76,91.06,89.63,90.78,1785840,1.18,1.33%,90.0261,161516407.45,17418
2017-11-15,90.46,90.70,89.28,89.59,1491396,-1.408,-1.56%,88.846,133948405.89,14796
2017-11-14,90.67,91.12,90.01,91.01,1509214,-0.01,-0.01%,90.2542,136909472.37,14710
2017-11-13,91.01,91.33,90.47,91.02,1399306,-0.536,-0.59%,90.2641,127180106.94,13712
2017-11-10,90.88,91.67,90.36,91.56,1827117,0.744,0.83%,90.7996,166776517.36,16982
2017-11-09,92.33,92.44,89.58,90.81,3316762,-1.983,-2.15%,90.0558,300760794.07,22912
2017-11-08,91.35,93.12,90.9062,92.81,4605102,1.359,1.50%,92.0392,425020939.99,24586
2017-11-07,95.00,95.92,90.50,91.44,4745727,-3.887,-4.11%,90.6806,435252211.48,37358
2017-11-06,94.31,95.62,94.17,95.36,3069895,1.686,1.82%,94.5681,291593021.84,27064
2017-11-03,93.72,94.02,92.53,93.66,1392573,0.198,0.21%,92.8822,129912686.76,14926
2017-11-02,92.38,93.91,92.13,93.46,1399922,0.466,0.51%,92.6838,130472891.39,16166
2017-11-01,94.30,95.14,92.52,92.99,2946491,-1.795,-1.91%,92.2177,275915207.09,25350
2017-10-31,95.23,95.69,94.62,94.80,1233505,-0.407,-0.43%,94.0127,117158779.80,11613
2017-10-30,94.21,95.49,93.96,95.21,1985884,0.486,0.52%,94.4193,188757283.24,17873
2017-10-27,93.81,94.81,92.73,94.72,1969380,1.587,1.72%,93.9334,185356560.69,16291
2017-10-26,92.84,93.64,92.84,93.12,1255153,0.793,0.87%,92.3467,117025239.26,12591
2017-10-25,92.87,93.1994,91.57,92.32,1637698,-0.982,-1.06%,91.5533,151422271.12,17253
2017-10-24,92.63,93.41,92.53,93.31,877122,0.694,0.76%,92.5351,81701835.52,8413
2017-10-23,93.11,93.39,92.29,92.61,1687136,-0.119,-0.13%,91.8409,156498203.91,11769
2017-10-20,93.89,94.66,92.50,92.73,1808958,-0.317,-0.34%,91.9599,168528883.96,14563
2017-10-19,91.60,93.11,90.55,93.05,1541938,0.922,1.01%,92.2772,142694044.90,14472
2017-10-18,91.59,92.36,90.39,92.12,1662984,0.417,0.46%,91.355,152257350.47,14115
2017-10-17,91.79,91.87,91.17,91.70,960040,-0.188,-0.21%,90.9385,87955591.06,8543
2017-10-16,92.23,92.29,91.60,91.89,834050,0.129,0.14%,91.1269,76595873.35,9864
2017-10-13,92.24,92.51,91.41,91.76,1053119,-0.02,-0.02%,90.998,96818026.63,9695
2017-10-12,91.47,92.40,91.47,91.78,1119525,-0.149,-0.16%,91.0178,102952440.37,13362
2017-10-11,91.73,92.13,91.37,91.93,1122045,0.01,0.01%,91.1665,103051405.57,11152
2017-10-10,92.00,92.33,91.10,91.92,1097457,0.426,0.47%,91.1566,100698124.02,9592
2017-10-09,91.85,91.99,91.26,91.49,1098871,-0.06,-0.07%,90.7302,100628933.81,8876
2017-10-06,90.91,91.59,90.29,91.55,1349550,0.248,0.27%,90.7897,122801774.58,13392
2017-10-05,91.81,91.82,90.75,91.30,1834299,-0.298,-0.33%,90.5418,167393937.20,11767
2017-10-04,90.67,91.61,90.021,91.60,2559229,0.873,0.97%,90.8393,233383330.01,14083
2017-10-03,90.55,90.95,90.26,90.72,1720884,0.169,0.19%,89.9666,156022677.85,14601
2017-10-02,90.37,91.23,90.15,90.55,1954893,0.764,0.86%,89.798,177165206.25,19743
2017-09-29,89.11,89.99,88.87,89.78,2194082,0.635,0.72%,89.0344,196366310.67,19472
2017-09-28,88.63,89.28,88.29,89.14,1935634,0.218,0.25%,88.3997,172213662.81,15792
2017-09-27,88.49,89.52,88.2401,88.92,1770105,1.15,1.32%,88.1815,157354471.69,16882
2017-09-26,88.80,89.29,87.19,87.76,1781286,-0.307,-0.35%,87.0312,156583028.47,16285
2017-09-25,89.05,89.38,87.5901,88.07,1605163,-1.607,-1.81%,87.3386,141463031.24,13693
2017-09-22,88.09,89.79,88.09,89.69,1296538,1.299,1.48%,88.9451,115891154.15,11126
2017-09-21,88.47,88.77,87.39,88.38,1771957,0.06,0.07%,87.646,156445220.59,16708
2017-09-20,90.82,90.91,86.77,88.32,3303915,-2.638,-2.92%,87.5865,291549994.65,29330
2017-09-19,91.11,91.83,90.40,90.98,2196567,-0.03,-0.03%,90.2244,200009671.21,16610
2017-09-18,90.00,91.24,89.93,91.01,2328442,1.378,1.55%,90.2542,211656735.28,20332
2017-09-15,89.78,90.57,89.33,89.62,4076926,0.377,0.43%,88.8757,366026216.51,20773
2017-09-14,88.21,89.73,88.18,89.24,3188852,0.893,1.02%,88.4989,284340423.68,21952
2017-09-13,88.03,88.54,87.83,88.34,1439069,-0.109,-0.12%,87.6064,127089838.93,10881
2017-09-12,88.62,88.89,87.75,88.45,1545924,0.069,0.08%,87.7154,136596949.55,12652
2017-09-11,87.80,88.48,86.8758,88.38,1946013,1.795,2.09%,87.646,171706768.42,15131
2017-09-08,87.30,87.61,86.37,86.57,1622017,-0.813,-0.94%,85.8511,140661938.72,14837
2017-09-07,86.185,87.50,85.71,87.39,1509293,1.259,1.47%,86.6643,131336726.85,14756
2017-09-06,86.15,86.54,85.00,86.12,2154314,-0.367,-0.43%,85.4048,184856903.92,20343
2017-09-05,86.99,87.77,85.48,86.49,2143325,-1.349,-1.55%,85.7717,185576155.76,19768
2017-09-01,86.96,88.00,86.71,87.85,1700898,1.041,1.21%,87.1204,148878074.53,16728
2017-08-31,85.84,86.97,85.55,86.80,2108496,1.111,1.31%,86.0791,182463664.76,16607
2017-08-30,84.00,85.75,83.99,85.68,2855081,1.835,2.21%,84.9685,243768854.31,26532
2017-08-29,82.89,84.00,82.86,83.83,1519881,0.069,0.08%,83.1338,127107952.01,11996
2017-08-28,83.06,83.93,82.71,83.76,1156223,1.121,1.37%,83.0644,96630100.07,11869
