date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,156.11,158.29,155.755,157.80,1304485,2.01,1.29%,157.80,205280666.85,13730
2018-03-09,154.80,156.26,154.095,155.79,1267537,1.81,1.18%,155.79,197135689.56,11161
2018-03-08,151.76,154.05,151.75,153.98,1670921,2.23,1.47%,153.98,256273143.93,13379
2018-03-07,150.00,152.22,149.935,151.75,715061,0.58,0.38%,151.75,108224131.26,7430
2018-03-06,151.71,151.91,149.98,151.17,1162680,-0.14,-0.09%,151.17,175560468.77,10018
2018-03-05,149.28,152.13,147.955,151.31,1309612,1.41,0.94%,151.31,197337260.30,11470
2018-03-02,145.80,150.15,144.81,149.90,1511193,3.36,2.29%,149.90,224357940.41,16321
2018-03-01,149.51,150.3375,145.75,146.54,1993106,-2.69,-1.80%,146.54,294273171.79,21334
2018-02-28,153.75,153.90,149.09,149.23,1796030,-4.11,-2.68%,149.23,271460578.98,16951
2018-02-27,155.00,155.38,151.85,153.68,1969628,-0.838,-0.54%,153.3401,303084790.79,18996
2018-02-26,152.51,155.27,152.22,154.52,1264096,1.866,1.23%,154.1782,194805958.84,14200
2018-02-23,150.72,153.065,150.30,152.65,1233926,2.554,1.71%,152.3123,187561913.51,13444
2018-02-22,149.76,152.82,149.36,150.09,1583777,0.499,0.33%,149.758,238821742.37,16921
2018-02-21,148.72,151.41,148.65,149.59,1139626,0.738,0.50%,149.2591,171044844.65,12334
2018-02-20,150.00,150.67,147.92,148.85,1078338,-1.646,-1.10%,148.5207,160605980.59,10653
2018-02-16,148.23,152.04,148.06,150.50,1719818,1.796,1.21%,150.1671,259321644.41,18001
2018-02-15,149.28,149.62,146.21,148.70,1539253,-0.07,-0.05%,148.3711,227764362.36,14736
2018-02-14,145.36,150.09,145.01,148.77,1875812,2.584,1.77%,148.4409,277805555.00,16099
2018-02-13,145.00,147.40,143.08,146.18,2461067,-2.834,-1.91%,145.8567,358235043.80,22098
2018-02-12,149.62,151.46,147.91,149.02,1261056,0.09,0.06%,148.6904,188142161.63,12531
2018-02-09,152.15,152.21,144.85,148.93,2232756,-1.297,-0.87%,148.6006,330312862.08,26844
2018-02-08,152.62,155.68,150.13,150.23,2750956,-2.594,-1.70%,149.8977,420695470.22,28759
2018-02-07,151.61,156.29,151.29,152.83,1485211,0.309,0.20%,152.4919,228938782.31,17649
2018-02-06,150.39,155.335,148.06,152.52,2996638,0.13,0.09%,152.1826,454711108.71,29308
2018-02-05,158.58,159.64,152.39,152.39,2315020,-6.805,-4.28%,152.0529,359393254.26,25724
2018-02-02,164.91,165.05,158.56,159.21,2173949,-7.044,-4.25%,158.8578,348780555.69,19182
2018-02-01,164.39,168.00,160.42,166.27,2663588,-2.604,-1.55%,165.9022,440554970.07,26228
2018-01-31,173.47,174.02,168.1523,168.88,2755677,-2.864,-1.67%,168.5064,466695396.99,23038
2018-01-30,170.81,172.30,167.21,171.75,2691105,-4.57,-2.60%,171.3701,459311095.17,22656
2018-01-29,176.50,178.86,175.77,176.33,1613913,-0.389,-0.22%,175.94,285485812.97,13533
2018-01-26,175.62,178.00,175.525,176.72,1354132,1.517,0.87%,176.3291,239370414.67,11905
2018-01-25,174.09,175.44,171.98,175.20,1022030,0.619,0.36%,174.8125,178393975.16,11088
2018-01-24,173.14,177.97,172.37,174.58,1939277,3.971,2.33%,174.1938,339864321.52,18424
2018-01-23,172.93,173.03,170.26,170.60,1788711,-2.355,-1.36%,170.2226,305926308.18,15036
2018-01-22,170.68,173.88,170.41,172.96,1561238,2.594,1.53%,172.5774,269755316.66,11528
2018-01-19,171.70,173.12,169.22,170.36,2400022,-1.417,-0.83%,169.9832,408721994.58,15628
2018-01-18,171.91,172.00,169.37,171.78,1368975,-1.048,-0.61%,171.40,234123280.45,12863
2018-01-17,171.16,173.84,170.76,172.83,1747329,2.165,1.27%,172.4477,302047599.85,17132
2018-01-16,166.90,171.83,166.50,170.66,2686782,4.40,2.65%,170.2825,457838222.60,24697
2018-01-12,163.37,166.31,162.3001,166.25,1838431,3.941,2.43%,165.8823,303743137.58,15536
2018-01-11,161.00,162.79,159.19,162.30,1544169,1.626,1.01%,161.941,249747757.53,12728
2018-01-10,159.72,160.72,157.71,160.67,1278697,0.03,0.02%,160.3146,204103160.04,13123
2018-01-09,158.57,161.42,157.69,160.64,2008318,1.487,0.94%,160.2847,321269827.13,17561
2018-01-08,157.30,159.88,156.14,159.15,1502599,1.986,1.27%,158.798,237934985.94,12225
2018-01-05,156.24,157.23,154.76,157.16,938802,2.095,1.35%,156.8124,146648726.42,10376
2018-01-04,156.79,158.14,152.50,155.06,1946501,-1.696,-1.08%,154.717,300350854.26,20039
2018-01-03,157.97,158.60,155.03,156.76,1589129,-2.235,-1.41%,156.4132,249195443.87,15861
2018-01-02,156.91,159.08,156.66,159.00,809914,3.043,1.96%,158.6483,128293099.72,8888
2017-12-29,158.28,158.345,155.85,155.95,641663,-1.776,-1.13%,155.605,100410141.76,5745
2017-12-28,157.84,158.81,156.37,157.73,692366,-0.289,-0.18%,157.3811,108863502.65,8138
2017-12-27,159.00,159.14,157.09,158.02,673786,-0.878,-0.55%,157.6705,106435264.45,8126
2017-12-26,158.54,160.13,157.24,158.90,957188,0.459,0.29%,158.5485,152343160.94,9233
2017-12-22,158.51,160.10,157.48,158.44,1249023,-0.948,-0.60%,158.0895,197631567.84,13088
2017-12-21,160.83,161.59,159.07,159.39,1055970,-1.247,-0.78%,159.0374,168678565.43,11786
2017-12-20,160.28,161.89,159.66,160.64,1119015,0.669,0.42%,160.2847,179745920.25,13062
2017-12-19,159.70,161.92,159.66,159.97,2045130,-0.289,-0.18%,159.6161,328279831.71,17156
2017-12-18,159.21,160.81,156.76,160.26,2662359,-2.335,-1.44%,159.9055,423840574.76,22435
2017-12-15,158.43,164.29,157.56,162.60,3323314,5.388,3.44%,162.2403,538807193.96,25893
2017-12-14,158.61,161.25,156.20,157.20,2443460,1.986,1.28%,156.8523,388659601.56,22779
2017-12-13,154.28,157.04,153.75,155.21,1461079,0.659,0.43%,154.8667,226706230.77,13870
2017-12-12,154.46,155.69,153.90,154.55,1981464,0.738,0.48%,154.2081,306235084.85,13050
2017-12-11,152.93,155.00,152.29,153.81,1423194,1.237,0.81%,153.4698,218412005.68,14011
2017-12-08,150.58,153.05,149.85,152.57,1400488,2.554,1.71%,152.2325,213030385.03,14722
2017-12-07,150.66,151.30,149.06,150.01,1315063,-0.459,-0.31%,149.6782,197296090.29,13567
2017-12-06,150.69,152.26,149.64,150.47,1262897,-0.22,-0.15%,150.1372,190106571.59,12705
2017-12-05,153.29,153.32,147.41,150.69,1908804,-2.395,-1.57%,150.3567,287133529.08,20174
2017-12-04,144.31,153.5999,144.31,153.09,2866406,6.685,4.58%,152.7514,437061234.17,24772
2017-12-01,147.0397,147.74,143.87,146.39,2560714,-1.347,-0.91%,146.0662,373740909.77,21498
2017-11-30,148.91,149.485,144.46,147.74,2767569,-0.04,-0.03%,147.4132,408634031.52,22373
2017-11-29,148.46,152.39,147.62,148.12,3283218,0.368,0.25%,147.4532,489421309.34,23136
2017-11-28,145.02,147.86,144.65,147.75,3752842,2.887,2.00%,147.0848,553272249.06,14883
2017-11-27,144.28,145.96,144.28,144.85,1831595,0.189,0.13%,144.1979,265443857.75,13329
2017-11-24,145.80,146.42,144.05,144.66,768734,-1.135,-0.78%,144.0088,111210234.79,6490
2017-11-22,143.00,146.61,142.61,145.80,2220696,2.917,2.05%,145.1436,324071905.56,15582
2017-11-21,138.90,142.97,138.39,142.87,2326135,4.609,3.35%,142.2268,330098972.99,17209
2017-11-20,141.40,142.00,136.83,138.24,3618270,-3.872,-2.74%,137.6177,499807653.18,21795
2017-11-17,141.71,142.84,140.89,142.13,1849009,-0.567,-0.40%,141.4901,262742594.30,19249
2017-11-16,138.97,143.02,138.50,142.70,2732094,3.823,2.77%,142.0576,387251385.84,24894
2017-11-15,136.00,138.95,135.37,138.86,3334025,2.678,1.98%,138.2349,458944517.90,23033
2017-11-14,137.98,137.98,135.03,136.17,1482394,-1.872,-1.36%,135.557,201684127.16,14384
2017-11-13,137.46,140.43,135.69,138.05,2289807,0.438,0.32%,137.4285,315520678.85,19280
2017-11-10,139.27,140.81,137.145,137.61,2088209,-2.489,-1.78%,136.9905,288607978.82,18159
2017-11-09,140.00,142.51,139.19,140.11,1817029,-0.249,-0.18%,139.4792,254627207.55,16038
2017-11-08,136.65,141.73,136.35,140.36,2206876,3.415,2.50%,139.7281,309114883.55,20416
2017-11-07,135.69,137.88,135.30,136.93,2083533,1.712,1.27%,136.3136,284994282.07,15454
2017-11-06,136.84,137.14,134.78,135.21,2752266,-2.389,-1.74%,134.6013,372852664.90,17592
2017-11-03,136.49,138.95,136.24,137.61,1750440,0.548,0.40%,136.9905,240835932.81,15874
2017-11-02,139.67,140.71,135.69,137.06,2763269,-2.598,-1.87%,136.443,379665078.04,21008
2017-11-01,138.78,142.93,138.00,139.67,2843561,1.782,1.30%,139.0412,399240224.05,29881
2017-10-31,135.75,141.34,135.75,137.88,4050411,2.847,2.12%,137.2593,559005055.60,35933
2017-10-30,135.24,137.05,134.25,135.02,4156485,-0.597,-0.44%,134.4121,561812762.26,25864
2017-10-27,143.63,143.63,134.41,135.62,4208200,-7.884,-5.52%,135.0094,574469655.32,39274
2017-10-26,158.81,162.61,142.60,143.54,7193756,-7.825,-5.19%,142.8938,1092261194.25,58687
2017-10-25,150.25,152.50,149.18,151.40,1848962,1.643,1.10%,150.7184,279884398.45,18577
2017-10-24,147.90,150.61,147.00,149.75,1355042,1.443,0.98%,149.0758,202680621.25,13204
2017-10-23,150.38,150.60,148.18,148.30,1936641,-2.469,-1.64%,147.6324,288536180.22,16215
2017-10-20,150.56,151.97,150.25,150.78,1404094,0.816,0.55%,150.1012,211784981.01,12008
2017-10-19,146.36,150.425,146.33,149.96,2322216,3.733,2.56%,149.2849,346621161.35,19846
2017-10-18,146.42,148.12,145.84,146.21,1583794,-0.199,-0.14%,145.5518,232382657.71,15558
2017-10-17,146.53,147.50,145.615,146.41,1614173,-0.199,-0.14%,145.7509,236532249.77,15020
2017-10-16,146.43,148.60,145.58,146.61,1603801,-0.557,-0.38%,145.95,235399142.74,14534
2017-10-13,150.14,150.91,145.2601,147.17,2388359,-3.484,-2.32%,146.5075,352065079.23,20711
2017-10-12,149.94,151.50,149.23,150.67,1025615,0.727,0.49%,149.9917,154721294.36,10663
2017-10-11,148.88,150.17,148.88,149.94,1288240,0.528,0.35%,149.265,193028897.38,9157
2017-10-10,149.41,150.60,148.39,149.41,1708889,1.264,0.86%,148.7374,255019617.66,16384
2017-10-09,152.00,152.00,146.43,148.14,1873738,-3.136,-2.08%,147.4731,276978709.30,18288
2017-10-06,153.88,155.78,148.98,151.29,2666323,-2.419,-1.58%,150.6089,404594131.21,23854
2017-10-05,154.19,154.57,152.89,153.72,1706162,0.11,0.07%,153.028,262269233.26,13099
2017-10-04,153.88,156.20,153.34,153.61,1351056,-0.378,-0.25%,152.9185,207931098.70,12688
2017-10-03,155.34,155.80,152.435,153.99,1467068,-1.264,-0.82%,153.2967,225351311.31,13260
2017-10-02,153.81,156.28,153.61,155.26,1610294,1.643,1.07%,154.561,250090983.39,13340
2017-09-29,154.59,156.27,153.13,153.61,1440111,-0.11,-0.07%,152.9185,221803039.04,11831
2017-09-28,155.35,155.48,152.10,153.72,2297893,-2.22,-1.43%,153.028,352514307.63,17852
2017-09-27,155.20,156.34,154.34,155.95,1129394,1.065,0.69%,155.2479,175503308.89,10798
2017-09-26,154.51,155.92,154.04,154.88,1199522,0.368,0.24%,154.1827,185746165.23,10403
2017-09-25,153.22,154.685,152.82,154.51,1752485,0.498,0.32%,153.8144,270224915.27,13798
2017-09-22,152.32,154.35,151.69,154.01,1616747,1.434,0.94%,153.3167,248360730.89,17426
2017-09-21,150.12,153.24,149.71,152.57,1407861,2.379,1.59%,151.8831,214574005.48,16755
2017-09-20,148.94,150.71,148.03,150.18,2017527,1.802,1.22%,149.5039,301905070.52,16109
2017-09-19,150.71,151.23,148.25,148.37,2044559,-0.05,-0.03%,147.7021,305707043.54,17859
2017-09-18,150.41,150.905,148.01,148.42,2494835,-1.453,-0.97%,147.7518,371315895.67,16586
2017-09-15,151.84,151.91,149.38,149.88,2903086,-10.411,-6.52%,149.2053,436442691.53,17608
2017-09-14,159.70,161.92,159.66,159.97,2044838,2.646,1.69%,159.6161,328232960.51,17153
2017-09-13,156.12,157.79,155.73,157.68,1118933,1.314,0.84%,156.9701,175727409.42,12678
2017-09-12,159.05,159.05,152.38,156.36,2424543,-2.867,-1.81%,155.6561,376529316.72,24740
2017-09-11,158.00,159.92,157.405,159.24,1351271,2.29,1.47%,158.5231,215083623.88,12012
2017-09-08,157.22,160.78,156.74,156.94,1437073,1.095,0.71%,156.2335,226711038.45,15207
2017-09-07,152.11,156.47,152.04,155.84,2462458,3.733,2.47%,155.1384,383067577.94,24165
2017-09-06,148.74,152.50,148.625,152.09,2437835,4.251,2.89%,151.4053,369996741.60,17276
2017-09-05,148.62,149.54,146.74,147.82,1828861,-1.583,-1.06%,147.1545,270329537.07,13166
2017-09-01,149.48,150.87,148.95,149.41,885548,0.10,0.07%,148.7374,132467133.72,8912
2017-08-31,147.18,150.35,146.9687,149.31,1873415,2.598,1.78%,148.6378,279902251.61,13855
2017-08-30,146.77,147.19,145.72,146.70,1002311,-0.169,-0.12%,146.0396,146818592.46,10755
2017-08-29,147.16,148.09,146.855,147.21,1308671,-1.112,-0.76%,146.2087,193062737.52,11283
2017-08-28,148.15,148.82,147.155,148.33,1019134,0.745,0.51%,147.3211,151096156.63,10593
2017-08-25,147.66,148.03,147.16,147.58,954681,0.705,0.48%,146.5762,140968887.65,9833
2017-08-24,147.59,148.115,146.74,146.87,1249517,-0.318,-0.22%,145.8711,183885401.72,10922
2017-08-23,147.78,148.471,146.535,147.19,1804943,-1.083,-0.74%,146.1889,266052067.30,12023
2017-08-22,146.44,149.035,145.62,148.28,1897388,2.125,1.46%,147.2715,281483938.15,13007
2017-08-21,146.06,146.79,145.13,146.14,2343720,0.139,0.10%,145.146,342332719.65,17480
2017-08-18,146.20,147.26,145.68,146.00,1980288,-0.824,-0.57%,145.007,289789440.70,13711
2017-08-17,147.28,149.33,146.44,146.83,1871445,-0.804,-0.55%,145.8313,276204370.47,19080
2017-08-16,149.83,149.92,147.13,147.64,2517007,-1.609,-1.09%,146.6358,372322063.60,19471
2017-08-15,149.48,149.68,148.98,149.26,1271065,0.179,0.12%,148.2448,189794865.26,13222
2017-08-14,151.06,151.70,148.97,149.08,1388012,-0.904,-0.61%,148.066,207901424.49,12277
2017-08-11,151.39,151.535,149.73,149.99,1623794,-1.073,-0.71%,148.9698,244349839.64,17001
2017-08-10,153.36,153.36,151.03,151.07,1990451,-3.178,-2.07%,150.0425,302298435.91,20833
2017-08-09,156.71,156.78,153.57,154.27,1474905,-2.97,-1.90%,153.2207,228277293.07,18016
2017-08-08,155.39,158.33,155.05,157.26,1510533,1.569,1.01%,156.1904,237476016.66,16017
2017-08-07,154.75,155.68,153.80,155.68,969380,0.983,0.64%,154.6211,150370371.98,10358
2017-08-04,156.10,156.71,153.98,154.69,1090599,-0.646,-0.42%,153.6379,168832829.44,12217
2017-08-03,157.15,158.05,153.97,155.34,2339310,-4.241,-2.68%,154.2835,363505633.55,23165
2017-08-02,159.99,160.69,155.00,159.61,2467813,4.887,3.18%,158.5244,390880861.91,23404
2017-08-01,156.10,156.71,153.98,154.69,1090599,-7.131,-4.44%,153.6379,168832829.44,12217
2017-07-31,162.55,162.80,161.469,161.87,1377096,-0.636,-0.39%,160.769,223079843.47,13383
2017-07-28,163.09,163.09,159.34,162.51,1962866,-0.02,-0.01%,161.4047,316446068.50,18106
2017-07-27,160.00,163.83,156.09,162.53,3253920,-3.794,-2.30%,161.4245,526088699.72,27920
2017-07-26,166.13,167.57,164.31,166.35,1405037,-1.271,-0.76%,165.2186,233337692.45,15615
2017-07-25,166.83,168.08,166.011,167.63,939749,0.884,0.53%,166.4899,157497205.46,9999
2017-07-24,165.00,167.36,165.00,166.74,1365193,0.814,0.49%,165.6059,227551227.95,9382
2017-07-21,165.48,166.18,164.62,165.92,1217261,0.844,0.51%,164.7915,201665946.32,8997
2017-07-20,164.66,166.87,164.61,165.07,1908245,0.219,0.13%,163.9473,315930897.01,13910
2017-07-19,166.22,166.26,162.59,164.85,1992902,-0.556,-0.34%,163.7288,327571051.75,18731
2017-07-18,167.62,167.65,165.16,165.41,1575842,-2.692,-1.61%,164.285,261329455.51,17436
2017-07-17,167.57,168.87,166.67,168.12,1624234,0.616,0.37%,166.9765,272947819.92,12122
2017-07-14,166.09,168.33,165.70,167.50,908898,1.162,0.70%,166.3607,152326753.04,11636
2017-07-13,166.68,167.04,165.07,166.33,721291,-0.01,-0.01%,165.1987,119789836.03,9009
2017-07-12,166.00,167.39,165.07,166.34,947378,1.132,0.69%,165.2086,157618678.00,10217
2017-07-11,165.00,165.73,163.64,165.20,1075608,0.487,0.30%,164.0764,177519569.44,11565
2017-07-10,164.00,165.61,163.61,164.71,1557785,0.03,0.02%,163.5897,256741661.42,11760
2017-07-07,163.59,165.27,162.705,164.68,1119633,1.589,0.98%,163.5599,184119000.37,11904
2017-07-06,164.99,166.37,162.25,163.08,1333704,-2.175,-1.33%,161.9708,217780751.56,13441
2017-07-05,164.68,166.25,163.85,165.27,1029600,0.715,0.44%,164.1459,170063998.79,11687
2017-07-03,165.29,167.039,164.48,164.55,577134,0.01,0.01%,163.4308,95475497.51,6033
2017-06-30,164.49,165.32,163.27,164.54,1235206,0.894,0.55%,163.4209,203228745.81,12791
2017-06-29,166.98,167.30,162.34,163.64,2021603,-2.96,-1.79%,162.527,331638742.26,19255
2017-06-28,167.75,168.43,165.92,166.62,1080119,-0.07,-0.04%,165.4867,180237722.86,12050
2017-06-27,166.95,169.29,166.07,166.69,1450675,-0.914,-0.55%,165.5563,243231738.18,15008
2017-06-26,167.30,168.59,166.60,167.61,1563173,0.646,0.39%,166.47,262245485.43,16806
2017-06-23,165.81,167.09,164.25,166.96,3922185,1.381,0.84%,165.8244,653071940.26,11939
2017-06-22,163.18,167.23,162.86,165.57,1753962,2.682,1.66%,164.4439,290696154.44,17378
2017-06-21,160.51,163.18,160.0701,162.87,1180997,1.887,1.18%,161.7622,191652765.94,10970
2017-06-20,161.27,162.16,160.74,160.97,815783,-0.775,-0.48%,159.8752,131604120.39,9557
2017-06-19,160.32,162.18,159.52,161.75,1754602,1.907,1.20%,160.6499,282984709.11,15650
2017-06-16,164.22,164.495,158.91,159.83,2961291,-4.052,-2.49%,158.7429,474831676.03,23123
2017-06-15,162.15,164.88,161.49,163.91,1586981,0.536,0.33%,162.7952,259881205.95,11430
2017-06-14,162.60,164.62,161.77,163.37,1003984,1.212,0.75%,162.2588,163939680.92,11027
2017-06-13,162.62,162.91,161.30,162.15,1070678,0.377,0.23%,161.0471,173416111.78,11541
2017-06-12,163.40,164.57,161.38,161.77,2147300,-1.609,-0.99%,160.6697,348231456.75,21145
2017-06-09,161.98,163.51,161.62,163.39,1078791,1.232,0.76%,162.2787,175791046.39,10939
2017-06-08,161.98,162.87,161.00,162.15,1205142,0.556,0.35%,161.0471,195239089.97,11623
2017-06-07,162.10,162.18,160.61,161.59,1255130,-0.348,-0.22%,160.4909,202703198.79,13707
2017-06-06,165.50,165.50,161.25,161.94,2362312,-3.933,-2.39%,160.8386,383625625.65,22710
2017-06-05,166.16,166.18,164.27,165.90,1350138,0.199,0.12%,164.7716,223545520.13,15184
2017-06-02,165.74,166.00,164.44,165.70,1522150,-0.219,-0.13%,164.573,251866796.55,15096
2017-06-01,162.66,165.94,162.27,165.92,2027385,3.089,1.91%,164.7915,334815632.19,19287
2017-05-31,160.68,163.35,160.60,163.09,1997149,0.972,0.60%,161.7026,324856036.65,14593
2017-05-30,160.53,163.75,160.51,162.11,1114146,0.902,0.56%,160.731,180814574.96,12212
2017-05-26,162.04,162.90,161.12,161.20,1126357,-1.15,-0.71%,159.8287,182312567.53,11163
2017-05-25,161.23,163.40,160.505,162.36,2495019,1.12,0.70%,160.9788,405690503.57,19111
2017-05-24,158.14,162.00,158.14,161.23,2703848,2.211,1.40%,159.8584,432914428.17,20530
2017-05-23,157.54,160.00,157.46,159.00,2954107,3.55,2.30%,157.6474,469715904.72,24817
2017-05-22,153.50,158.67,153.48,155.42,3369795,2.389,1.58%,154.0979,526491315.10,25652
2017-05-19,153.06,155.79,152.00,153.01,7889264,11.472,8.18%,151.7084,1212243723.15,56953
2017-05-18,142.56,144.41,140.60,141.44,2016527,-0.595,-0.42%,140.2368,285705878.88,19664
2017-05-17,142.59,144.73,141.77,142.04,1822981,-2.855,-1.99%,140.8317,260586864.91,18006
2017-05-16,145.34,145.59,143.865,144.92,1140283,-0.407,-0.28%,143.6872,165120279.63,10762
2017-05-15,144.36,147.18,144.24,145.33,1978260,0.744,0.52%,144.0937,288162162.77,13858
2017-05-12,145.38,145.60,144.02,144.58,1405870,-1.11,-0.77%,143.3501,203233206.87,11619
2017-05-11,142.58,146.66,142.29,145.70,1804817,2.449,1.72%,144.4606,262154206.56,18028
2017-05-10,142.41,143.49,141.62,143.23,1367717,0.734,0.52%,142.0116,195480477.63,12225
2017-05-09,141.60,142.89,141.43,142.49,1041053,1.606,1.15%,141.2779,148148351.60,10960
2017-05-08,141.85,142.10,140.41,140.87,799791,-0.595,-0.42%,139.6716,112791829.43,8764
2017-05-05,142.25,142.73,140.88,141.47,921397,-0.744,-0.53%,140.2665,130366232.67,8876
2017-05-04,138.54,142.74,138.54,142.22,1669662,3.976,2.90%,141.0102,236497616.02,17298
