date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,44.55,44.65,44.33,44.39,6134373,0.12,0.27%,44.39,272709232.14,39124
2018-03-09,44.44,44.44,43.87,44.27,9751826,0.27,0.61%,44.27,431533220.79,50692
2018-03-08,43.77,44.145,43.45,44.00,8374422,0.42,0.96%,44.00,367430746.54,51748
2018-03-07,43.50,43.97,43.325,43.58,20757086,-1.99,-4.37%,43.58,906376675.51,98427
2018-03-06,45.00,45.71,44.81,45.57,9352617,0.51,1.13%,45.57,424216226.35,57473
2018-03-05,44.08,45.15,44.04,45.06,7365071,0.64,1.44%,45.06,329852703.20,44379
2018-03-02,43.44,44.58,43.30,44.42,10029815,0.80,1.83%,44.42,444193646.51,61394
2018-03-01,43.97,44.17,43.15,43.62,8331173,-0.28,-0.64%,43.62,362995664.27,55615
2018-02-28,44.24,44.46,43.90,43.90,11832988,-0.11,-0.25%,43.90,521441761.77,39533
2018-02-27,44.40,44.60,43.90,44.01,11704136,-0.76,-1.70%,44.01,517001872.09,60214
2018-02-26,44.15,45.18,43.79,44.77,12241495,1.02,2.33%,44.77,547881439.71,69034
2018-02-23,43.79,43.95,43.31,43.75,8856225,0.24,0.55%,43.75,386518152.49,51820
2018-02-22,43.74,44.02,43.42,43.51,8485316,-0.11,-0.25%,43.51,370578094.09,52256
2018-02-21,43.91,44.19,43.57,43.62,10029747,-0.14,-0.32%,43.62,438920715.03,40723
2018-02-20,44.09,44.29,43.62,43.76,5158944,-0.38,-0.86%,43.76,226250462.34,35340
2018-02-16,44.05,44.29,43.71,44.14,6814884,0.06,0.14%,44.14,300028573.32,42112
2018-02-15,43.17,44.09,42.78,44.08,8637756,1.12,2.61%,44.08,376543071.43,48333
2018-02-14,42.66,43.31,42.04,42.96,10233114,0.16,0.37%,42.96,437505542.88,58788
2018-02-13,42.26,43.02,42.00,42.80,9240083,0.27,0.63%,42.80,393500724.90,46834
2018-02-12,42.37,42.88,42.10,42.53,15788648,0.39,0.93%,42.53,672340439.24,70300
2018-02-09,42.83,43.13,41.8234,42.14,13993492,-0.54,-1.27%,42.14,593003190.03,83308
2018-02-08,44.17,44.335,42.67,42.68,13672634,-1.37,-3.11%,42.68,593485344.20,81695
2018-02-07,44.29,44.78,43.85,44.05,8322178,-0.50,-1.12%,44.05,368936423.28,58600
2018-02-06,43.64,44.57,43.27,44.55,12196836,0.61,1.39%,44.55,536718584.81,86572
2018-02-05,45.32,46.20,43.935,43.94,14324236,-1.56,-3.43%,43.94,641689145.73,90548
2018-02-02,45.84,46.13,45.44,45.50,10937071,-0.37,-0.81%,45.50,500266789.84,64146
2018-02-01,44.36,46.54,44.285,45.87,20120874,1.47,3.31%,45.87,923911580.07,78722
2018-01-31,44.33,44.77,44.17,44.40,14783962,0.06,0.14%,44.40,657903399.26,76657
2018-01-30,44.58,45.06,44.25,44.34,7110672,-0.20,-0.45%,44.34,315755988.86,45860
2018-01-29,44.96,45.01,44.31,44.54,10451728,0.12,0.27%,44.54,465477332.52,58475
2018-01-26,44.61,44.61,44.12,44.42,5733010,-0.05,-0.11%,44.42,254056348.80,33882
2018-01-25,44.72,45.00,44.20,44.47,7402916,-0.12,-0.27%,44.47,330062200.52,45357
2018-01-24,44.59,44.76,44.46,44.59,6794201,0.09,0.20%,44.59,303217880.07,41757
2018-01-23,44.07,44.59,43.93,44.50,6831585,0.22,0.50%,44.50,303472976.29,35831
2018-01-22,43.69,44.41,43.69,44.28,6940143,0.14,0.32%,44.28,306944473.58,39677
2018-01-19,43.68,44.18,43.67,44.14,8893275,0.46,1.05%,44.14,391478043.57,43754
2018-01-18,43.78,44.05,43.235,43.68,6824613,-0.18,-0.41%,43.68,297646726.37,40761
2018-01-17,43.27,44.18,43.13,43.86,11557658,0.87,2.02%,43.86,506108480.02,64058
2018-01-16,42.52,43.20,42.50,42.99,8659923,0.52,1.22%,42.99,371950083.87,44007
2018-01-12,42.65,42.70,42.34,42.47,7179415,-0.04,-0.09%,42.47,305003575.65,33020
2018-01-11,42.68,42.80,42.29,42.51,6526508,-0.12,-0.28%,42.51,277239827.02,41961
2018-01-10,42.76,43.05,42.455,42.63,6494741,-0.36,-0.84%,42.63,276926234.95,33470
2018-01-09,43.14,43.14,42.89,42.99,5805280,-0.02,-0.05%,42.99,249717962.30,25755
2018-01-08,43.10,43.46,42.98,43.01,8140606,-0.22,-0.51%,43.01,350584363.71,31537
2018-01-05,42.82,43.37,42.70,43.23,10811487,0.55,1.29%,43.23,466691696.68,48735
