date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,83.26,83.72,83.00,83.30,4218696,0.15,0.18%,83.30,351647118.55,27822
2018-03-09,82.44,83.385,82.36,83.15,4659231,0.94,1.14%,83.15,386411892.60,30238
2018-03-08,81.33,82.25,81.28,82.21,6434645,1.08,1.33%,82.21,527572779.28,40641
2018-03-07,79.79,81.32,79.63,81.13,6040246,0.72,0.90%,81.13,488655092.01,36295
2018-03-06,80.01,80.605,79.84,80.41,5338331,0.67,0.84%,80.41,428264759.14,37325
2018-03-05,77.85,80.04,77.75,79.74,5371710,1.41,1.80%,79.74,426141208.31,38270
2018-03-02,77.90,78.50,77.69,78.33,5695901,0.03,0.04%,78.33,445085194.25,42923
2018-03-01,79.79,79.83,77.77,78.30,7946118,-1.59,-1.99%,78.30,624156698.61,53520
2018-02-28,81.52,81.61,79.84,79.89,6712074,-1.35,-1.66%,79.89,541262305.14,36872
2018-02-27,82.62,82.69,81.065,81.24,5179363,-1.18,-1.43%,81.24,422912868.11,35209
2018-02-26,81.40,82.48,80.32,82.42,6201229,2.03,2.53%,82.42,506229522.07,43123
2018-02-23,80.95,81.20,79.89,80.39,5174060,-0.02,-0.02%,80.39,415857321.76,31543
2018-02-22,80.91,81.81,80.21,80.41,4528158,-0.31,-0.38%,80.41,366774408.77,32095
2018-02-21,81.43,81.7025,80.22,80.72,6805681,-0.89,-1.09%,80.72,550060217.35,45272
2018-02-20,83.14,83.37,80.87,81.61,11125874,-1.70,-2.04%,81.61,909654718.12,53621
2018-02-16,82.80,83.76,82.12,83.31,6863522,0.37,0.45%,83.31,571711883.33,44195
2018-02-15,82.41,82.98,81.95,82.94,4002043,1.08,1.32%,82.94,330536791.48,31480
2018-02-14,79.72,82.055,79.63,81.86,5000029,1.64,2.04%,81.86,406588623.20,40012
2018-02-13,79.85,80.5923,79.3525,80.22,4574599,-0.02,-0.02%,80.22,366009169.16,34931
2018-02-12,79.71,80.75,79.25,80.24,4314124,0.76,0.96%,80.24,345545434.85,33902
2018-02-09,78.88,80.08,77.56,79.48,6061791,1.10,1.40%,79.48,478022605.96,48864
2018-02-08,81.33,81.51,78.35,78.38,7346112,-2.97,-3.65%,78.38,585168913.01,38484
2018-02-07,81.40,82.96,81.29,81.35,5929949,-0.32,-0.39%,81.35,487278514.79,42813
2018-02-06,80.06,82.06,79.09,81.67,10189952,0.25,0.31%,81.67,819950791.60,76604
2018-02-05,84.07,84.58,80.92,81.42,7237232,-3.03,-3.59%,81.42,598261194.87,50718
2018-02-02,84.67,85.25,84.36,84.45,5564450,-0.53,-0.62%,84.45,471741651.15,34872
2018-02-01,85.38,85.68,84.63,84.98,4201568,-0.91,-1.06%,84.98,357272793.07,30358
2018-01-31,86.33,86.50,85.62,85.89,5258347,-0.07,-0.08%,85.89,452525644.60,30972
2018-01-30,85.93,86.72,85.75,85.96,3881748,-0.76,-0.88%,85.96,334563198.14,28488
2018-01-29,86.85,87.30,86.32,86.72,3804924,-0.40,-0.46%,86.72,330184939.08,26481
2018-01-26,86.86,87.18,86.36,87.12,3815102,0.30,0.35%,87.12,331694108.86,25278
2018-01-25,85.99,86.98,85.66,86.82,3947842,1.06,1.24%,86.82,342012334.02,29121
2018-01-24,85.83,86.128,85.16,85.76,5680191,0.53,0.62%,85.76,486443462.97,39869
2018-01-23,86.22,86.22,84.98,85.23,4962269,-0.82,-0.95%,85.23,423862607.55,38250
2018-01-22,86.42,86.565,85.40,86.05,5926903,-0.63,-0.73%,86.05,508579035.40,36544
2018-01-19,87.58,87.90,86.03,86.68,7314796,-0.58,-0.66%,86.68,634388023.16,39936
2018-01-18,86.16,87.93,85.95,87.26,7328569,1.15,1.34%,87.26,637062646.24,47492
2018-01-17,85.88,86.445,85.44,86.11,5448986,0.79,0.93%,86.11,469242758.72,32558
2018-01-16,85.58,86.13,84.87,85.32,5428238,-0.13,-0.15%,85.32,462874718.57,39518
2018-01-12,85.85,85.99,85.30,85.45,5085912,-0.28,-0.33%,85.45,435134920.34,33665
