date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,85.94,85.94,84.74,84.91,1411273,-0.96,-1.12%,84.91,120129211.77,13368
2018-03-09,84.88,85.895,84.53,85.87,2046384,1.43,1.69%,85.87,175111329.90,19124
2018-03-08,84.07,84.49,83.365,84.44,1411288,0.64,0.76%,84.44,118727926.58,10226
2018-03-07,83.05,83.965,82.85,83.80,1194919,0.26,0.31%,83.80,100003572.90,10659
2018-03-06,83.40,83.65,82.55,83.54,1265874,0.21,0.25%,83.54,105310964.51,12204
2018-03-05,81.92,83.57,81.67,83.33,1796304,0.71,0.86%,83.33,148911304.13,17382
2018-03-02,81.52,82.82,81.04,82.62,1872447,0.80,0.98%,82.62,153710659.08,16887
2018-03-01,82.85,83.65,81.28,81.82,1917348,-1.20,-1.45%,81.82,157613128.55,19225
2018-02-28,84.73,85.44,83.01,83.02,2003132,-1.29,-1.53%,83.02,168305494.30,13537
2018-02-27,84.64,85.43,84.31,84.31,2461585,-0.38,-0.45%,84.31,208588994.64,19545
2018-02-26,83.59,84.79,83.49,84.69,1654409,1.12,1.34%,84.69,139674492.32,12073
2018-02-23,82.18,83.59,82.10,83.57,1431842,1.67,2.04%,83.57,118926708.89,11492
2018-02-22,82.89,83.3999,81.7693,81.90,2307006,-0.86,-1.04%,81.90,189742352.30,17959
2018-02-21,83.53,84.23,82.71,82.76,1629822,-0.75,-0.90%,82.76,136013748.87,15995
2018-02-20,82.58,83.76,82.331,83.51,1829915,0.75,0.91%,83.51,152534531.98,14518
2018-02-16,82.33,83.325,82.225,82.76,2011002,0.32,0.39%,82.76,166534850.27,15356
2018-02-15,82.65,83.00,82.26,82.44,1831497,0.18,0.22%,82.44,151063883.54,15676
2018-02-14,80.79,82.33,80.79,82.26,2040000,0.98,1.21%,82.26,166809767.76,19203
2018-02-13,80.49,81.65,80.49,81.28,1702293,0.24,0.30%,81.28,138152138.45,13348
