date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,65.78,66.373,65.5631,65.77,8236447,0.12,0.18%,65.77,542344172.51,43670
2018-03-09,65.71,65.79,65.132,65.65,6775899,0.22,0.34%,65.65,443654805.80,36620
2018-03-08,64.22,65.47,64.11,65.43,6437246,1.36,2.12%,65.43,418959015.02,32090
2018-03-07,64.33,65.19,63.90,64.07,8154224,-0.70,-1.08%,64.07,523833375.73,44990
2018-03-06,64.37,64.98,64.10,64.77,9306477,0.64,1.00%,64.77,600592041.38,58240
2018-03-05,62.59,64.24,62.4645,64.13,9725564,1.58,2.53%,64.13,619106772.85,55596
2018-03-02,62.31,63.10,62.11,62.55,14796250,0.12,0.19%,62.55,924695742.31,82232
2018-03-01,62.75,63.80,62.10,62.43,11717972,-0.52,-0.83%,62.43,734614347.30,71611
2018-02-28,64.21,64.53,62.93,62.95,9254194,-1.05,-1.64%,62.95,588149642.62,44654
2018-02-27,65.32,65.55,63.885,64.00,8860403,-1.43,-2.19%,64.00,571288934.74,53826
2018-02-26,64.80,65.55,64.70,65.43,6320430,0.84,1.30%,65.43,412435829.47,35530
2018-02-23,63.72,64.63,63.53,64.59,5632515,1.25,1.97%,64.59,361479858.37,31448
2018-02-22,64.04,65.09,63.25,63.34,5701549,-0.59,-0.92%,63.34,364621943.79,37390
2018-02-21,64.19,64.72,63.80,63.93,7077257,-0.26,-0.41%,63.93,454037254.33,36617
2018-02-20,65.10,65.18,64.18,64.19,6293999,-1.27,-1.94%,64.19,405977128.47,32730
2018-02-16,65.35,66.05,64.85,65.46,6202705,0.14,0.21%,65.46,406204301.92,37239
2018-02-15,65.35,65.48,64.60,65.32,5366474,0.14,0.21%,65.32,348892108.97,36756
2018-02-14,65.38,65.86,64.92,65.18,5532502,-0.46,-0.70%,65.18,361503882.61,35086
2018-02-13,65.00,65.82,64.73,65.64,5226332,0.29,0.44%,65.64,341712632.77,29763
2018-02-12,64.47,65.80,64.34,65.35,6739922,1.32,2.06%,65.35,439773790.65,41574
2018-02-09,64.53,64.68,62.83,64.03,10713089,-0.02,-0.03%,64.03,683587146.49,75364
2018-02-08,66.66,67.27,64.00,64.05,13457417,-2.74,-4.10%,64.05,883934488.61,72308
2018-02-07,66.45,68.21,66.27,66.79,8352935,0.26,0.39%,66.79,561537114.66,54904
2018-02-06,64.79,66.67,63.46,66.53,16146442,0.49,0.74%,66.53,1059964896.70,97334
2018-02-05,68.44,68.87,65.88,66.04,12619849,-3.36,-4.84%,66.04,849974455.00,77753
2018-02-02,69.90,70.66,69.16,69.40,8652367,-0.53,-0.76%,69.40,604696304.76,51458
2018-02-01,69.90,70.49,68.46,69.93,14240388,-0.41,-0.58%,69.93,992007073.47,58679
2018-01-31,69.87,70.65,69.7807,70.34,9800329,0.52,0.74%,70.34,688408234.07,46425
