date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,123.25,123.91,122.91,123.15,2192044,-0.36,-0.29%,123.15,270107559.13,11459
2018-03-09,123.15,123.51,122.74,123.51,3174534,0.49,0.40%,123.51,390990276.96,19556
2018-03-08,122.99,123.23,122.73,123.02,3561224,0.07,0.06%,123.02,437883398.66,21305
2018-03-07,122.94,123.22,122.84,122.95,4410096,-0.42,-0.34%,122.95,542562649.04,20988
2018-03-06,123.06,123.39,122.61,123.37,2567262,0.37,0.30%,123.37,315937438.35,18333
2018-03-05,122.55,123.26,122.38,123.00,2947390,0.27,0.22%,123.00,362516420.01,12408
2018-03-02,122.83,123.18,122.46,122.73,3751910,-0.18,-0.15%,122.73,460340664.98,22075
2018-03-01,123.45,123.89,122.35,122.91,4387441,-0.46,-0.37%,122.91,540023283.49,33210
2018-02-28,123.40,123.93,123.045,123.37,5583341,0.67,0.55%,123.37,688991878.33,29952
2018-02-27,122.74,123.39,122.56,122.70,2462930,-0.20,-0.16%,122.70,303010388.93,18172
2018-02-26,121.76,124.20,121.745,122.90,2491716,1.16,0.95%,122.90,305270041.70,17863
2018-02-23,120.50,121.85,120.44,121.74,2663256,1.32,1.10%,121.74,323519366.16,15988
2018-02-22,120.47,121.26,120.02,120.42,3704523,0.23,0.19%,120.42,446678547.17,19596
2018-02-21,120.31,121.10,120.00,120.19,1810296,-0.12,-0.10%,120.19,217863560.56,15913
2018-02-20,121.05,121.15,120.05,120.31,2707165,-0.48,-0.40%,120.31,326069626.62,14469
2018-02-16,120.72,121.33,120.31,120.79,1758719,-0.21,-0.17%,120.79,212545120.13,12423
2018-02-15,120.66,121.00,120.17,121.00,1487816,0.82,0.68%,121.00,179648242.86,11917
2018-02-14,119.75,120.50,119.75,120.18,1879511,0.07,0.06%,120.18,225704390.13,13680
2018-02-13,120.00,120.81,119.98,120.11,1740028,-0.33,-0.27%,120.11,209292333.97,12106
2018-02-12,119.00,121.30,119.00,120.44,3684840,1.80,1.52%,120.44,442085045.75,21719
2018-02-09,119.47,119.75,118.10,118.64,4856282,-0.44,-0.37%,118.64,576833629.17,37478
2018-02-08,120.47,120.67,119.08,119.08,3277818,-1.33,-1.10%,119.08,392878403.41,22965
2018-02-07,119.00,121.50,118.96,120.41,3940041,1.12,0.94%,120.41,475688202.60,25905
2018-02-06,118.63,120.14,118.50,119.29,5796495,0.11,0.09%,119.29,691334191.97,38192
2018-02-05,121.00,121.83,119.03,119.18,3593587,-1.82,-1.50%,119.18,431984989.06,27934
2018-02-02,121.25,122.28,121.00,121.00,2925969,-0.89,-0.73%,121.00,355372719.29,18932
2018-02-01,121.80,122.38,121.45,121.89,2930583,0.09,0.07%,121.89,357326005.70,18197
2018-01-31,122.00,122.50,121.71,121.80,2813443,-0.45,-0.37%,121.80,343402440.74,17685
2018-01-30,121.70,122.42,121.00,122.25,2835069,0.48,0.39%,122.25,345310618.89,14162
