date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,55.73,56.13,55.2396,55.36,10752860,0.22,0.40%,55.36,596909108.35,53164
2018-03-09,55.03,55.19,54.70,55.14,8816795,0.38,0.69%,55.14,485298332.99,40773
2018-03-08,54.52,54.82,54.355,54.76,7352113,0.29,0.53%,54.76,401805709.31,37464
2018-03-07,53.84,54.58,53.75,54.47,12230534,0.17,0.31%,54.47,663273196.53,44136
2018-03-06,54.49,54.71,53.82,54.30,9271869,-0.10,-0.18%,54.30,502064854.44,46501
2018-03-05,54.24,54.71,54.075,54.40,13114147,0.04,0.07%,54.40,713411734.41,54820
2018-03-02,53.48,54.43,53.12,54.36,8927182,0.66,1.23%,54.36,482112562.11,54935
2018-03-01,54.26,54.805,53.42,53.70,13023400,-0.52,-0.96%,53.70,703877028.19,89798
2018-02-28,55.06,55.17,54.21,54.22,11266789,-0.50,-0.91%,54.22,613719268.82,56715
2018-02-27,55.91,55.96,54.70,54.72,9288581,-1.34,-2.39%,54.72,512875362.59,54989
2018-02-26,55.00,56.19,55.00,56.06,12142168,1.19,2.17%,56.06,678118736.87,47596
2018-02-23,54.82,55.00,54.57,54.87,9064097,0.30,0.55%,54.87,496910983.07,45184
2018-02-22,54.60,55.065,54.42,54.57,10815808,0.02,0.04%,54.57,591353577.74,53679
2018-02-21,55.03,55.44,54.55,54.55,10729893,-0.43,-0.78%,54.55,590160681.95,61514
2018-02-20,56.12,56.14,54.95,54.98,13466984,-1.31,-2.33%,54.98,743363012.86,64856
2018-02-16,55.97,56.99,55.92,56.29,11731298,0.30,0.54%,56.29,661688706.85,53014
2018-02-15,55.43,55.99,54.83,55.99,10099907,1.09,1.99%,55.99,560257768.84,56863
2018-02-14,54.31,55.10,54.22,54.90,11446728,0.00,0.00%,54.90,627468901.50,66826
2018-02-13,55.23,55.37,54.77,54.90,17039352,-0.53,-0.96%,54.90,936976467.07,62051
2018-02-12,55.35,55.89,54.955,55.43,12652181,0.56,1.02%,55.43,701798539.28,61841
2018-02-09,55.15,55.41,53.36,54.87,18580528,0.14,0.26%,54.87,1011885893.01,122762
2018-02-08,56.04,56.46,54.71,54.73,20869992,-1.15,-2.06%,54.73,1157048739.42,131985
2018-02-07,55.17,56.71,55.09,55.88,13692483,0.42,0.76%,55.88,769338173.07,82117
2018-02-06,55.14,56.77,54.3348,55.46,31006169,-0.94,-1.67%,55.46,1712887622.82,197972
2018-02-05,58.27,58.95,55.82,56.40,19605679,-2.16,-3.69%,56.40,1128875998.92,134966
2018-02-02,59.41,59.97,58.28,58.56,12264081,-1.30,-2.17%,58.56,723710692.41,72083
2018-02-01,59.17,60.34,59.07,59.86,13368001,0.61,1.03%,59.86,797529605.83,75411
2018-01-31,60.77,60.80,58.90,59.25,14869040,-1.40,-2.31%,59.25,883196813.81,69030
2018-01-30,60.79,61.25,60.44,60.65,13040748,-0.98,-1.59%,60.65,791661298.24,57811
2018-01-29,61.95,62.14,61.56,61.63,8776884,-0.41,-0.66%,61.63,542506282.99,44232
2018-01-26,61.49,62.08,61.34,62.04,10553733,0.74,1.21%,62.04,651993055.38,46932
2018-01-25,61.30,61.38,60.95,61.30,9402325,0.12,0.20%,61.30,575142081.91,49255
2018-01-24,62.01,62.11,60.96,61.18,13482091,-0.52,-0.84%,61.18,826445814.75,60116
2018-01-23,61.03,62.13,60.87,61.70,11181493,0.45,0.73%,61.70,689964737.44,55577
2018-01-22,60.95,61.44,60.72,61.25,12247493,-0.03,-0.05%,61.25,749507489.85,51588
2018-01-19,61.48,61.48,60.64,61.28,12161865,0.15,0.25%,61.28,742781854.97,51817
2018-01-18,62.00,62.12,60.625,61.13,19905799,-0.90,-1.45%,61.13,1216712543.10,85991
2018-01-17,62.29,62.59,61.89,62.03,21889883,-0.04,-0.06%,62.03,1359115495.01,99887
2018-01-16,61.75,63.78,61.25,62.07,48091315,3.41,5.81%,62.07,3006015164.28,210635
2018-01-12,57.95,58.81,57.89,58.66,12343067,1.06,1.84%,58.66,722774825.78,59452
2018-01-11,57.30,57.61,57.16,57.60,7106259,0.30,0.52%,57.60,408151894.11,36859
2018-01-10,56.55,57.37,56.46,57.30,9062360,0.50,0.88%,57.30,517808215.94,45058
2018-01-09,56.81,57.10,56.57,56.80,10631689,0.14,0.25%,56.80,604106645.34,53990
2018-01-08,57.21,57.25,56.50,56.66,11109312,-0.33,-0.58%,56.66,630048977.06,44846
2018-01-05,57.39,57.39,56.59,56.99,9499053,-0.06,-0.11%,56.99,540423219.97,46136
2018-01-04,56.44,57.42,56.38,57.05,15030206,0.91,1.62%,57.05,857944945.25,63641
2018-01-03,56.23,56.26,55.96,56.14,10582536,-0.08,-0.14%,56.14,594003248.60,53403
2018-01-02,56.59,56.745,56.05,56.22,10073010,-0.05,-0.09%,56.22,566915167.48,46843
2017-12-29,56.83,56.99,56.27,56.27,8436625,-0.33,-0.58%,56.27,476888082.62,34623
