date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,15.13,15.405,15.021,15.09,10335613,-0.13,-0.85%,15.09,156489149.58,44545
2018-03-09,14.92,15.25,14.90,15.22,8747156,0.39,2.63%,15.22,132577800.67,38352
2018-03-08,14.86,14.93,14.62,14.83,10863135,0.03,0.20%,14.83,160270185.59,44437
2018-03-07,14.84,15.02,14.605,14.80,8609635,-0.23,-1.53%,14.80,127342072.08,33751
2018-03-06,15.26,15.32,15.00,15.03,9045204,-0.12,-0.79%,15.03,136840296.35,43652
2018-03-05,14.82,15.23,14.78,15.15,12024009,0.29,1.95%,15.15,181156954.05,57279
2018-03-02,14.46,14.89,14.27,14.86,11468734,0.33,2.27%,14.86,168187424.36,50244
2018-03-01,14.55,14.94,14.37,14.53,13600310,0.01,0.07%,14.53,198881658.03,63041
2018-02-28,15.07,15.17,14.51,14.52,15725448,-0.48,-3.20%,14.52,232176820.18,59615
2018-02-27,15.30,15.50,14.99,15.00,12587922,-0.34,-2.22%,15.00,190925166.99,53843
2018-02-26,15.57,15.5986,15.2116,15.34,13662212,-0.20,-1.29%,15.34,209540105.21,50978
2018-02-23,15.29,15.55,15.11,15.54,13864993,0.36,2.37%,15.54,213255779.67,56822
2018-02-22,15.41,15.62,15.15,15.18,18251556,-0.12,-0.78%,15.18,279407248.56,74274
2018-02-21,15.80,16.04,15.29,15.30,16923664,-0.55,-3.47%,15.30,264613637.83,71659
2018-02-20,15.63,16.23,15.625,15.85,22272620,0.25,1.60%,15.85,355240315.40,77108
2018-02-16,16.22,16.25,15.62,15.65,17797975,-0.668,-4.11%,15.60,282577719.36,79289
2018-02-15,16.95,16.95,15.49,16.32,28950225,-0.628,-3.72%,16.2679,463899331.81,108511
2018-02-14,15.81,17.01,15.72,16.95,14150091,0.877,5.48%,16.8958,235933622.35,55870
2018-02-13,16.10,16.22,15.90,16.07,8344398,-0.199,-1.23%,16.0187,134190761.87,41664
2018-02-12,15.76,16.47,15.74,16.27,15792415,0.758,4.90%,16.218,254843590.59,67596
