date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,58.61,59.38,58.549,58.91,8123163,0.24,0.41%,58.91,479136565.16,52772
2018-03-09,57.34,58.79,57.25,58.67,10535968,1.71,3.00%,58.67,614618200.84,61317
2018-03-08,56.95,57.17,55.97,56.96,7553503,0.08,0.14%,56.96,427685412.88,48183
2018-03-07,55.83,57.03,55.70,56.88,8180976,0.32,0.57%,56.88,461488766.17,52664
2018-03-06,55.89,56.71,55.41,56.56,9762349,1.07,1.93%,56.56,548080462.68,58146
2018-03-05,54.32,56.00,54.28,55.49,7598455,0.75,1.37%,55.49,420936087.12,45903
2018-03-02,54.14,54.87,53.51,54.74,12154118,0.25,0.46%,54.74,659198486.02,76357
2018-03-01,55.89,56.29,54.41,54.49,12093882,-1.53,-2.73%,54.49,667430447.71,82382
2018-02-28,57.09,57.63,56.01,56.02,9599123,-0.70,-1.23%,56.02,545047159.92,55546
2018-02-27,57.00,57.82,56.67,56.72,11757739,-0.29,-0.51%,56.72,673264266.76,73646
2018-02-26,56.31,57.01,56.20,57.01,7795845,0.94,1.68%,57.01,442343090.05,46275
2018-02-23,55.04,56.13,55.04,56.07,6687091,1.21,2.21%,56.07,372471824.65,37965
2018-02-22,55.41,55.905,54.61,54.86,6111623,-0.24,-0.44%,54.86,337382106.32,41751
2018-02-21,55.11,56.33,54.96,55.10,8363036,0.04,0.07%,55.10,464826146.44,53578
2018-02-20,54.93,55.65,54.74,55.06,7709439,-0.08,-0.15%,55.06,425347134.41,43759
2018-02-16,55.30,55.57,54.95,55.14,7448195,-0.26,-0.47%,55.14,411858816.89,44736
2018-02-15,55.48,55.60,54.575,55.40,7769938,0.35,0.64%,55.40,428802435.51,51365
2018-02-14,53.27,55.10,53.26,55.05,10536334,1.66,3.11%,55.05,574183611.33,67403
2018-02-13,53.03,53.88,52.86,53.39,8659493,-0.04,-0.07%,53.39,462347736.85,51828
2018-02-12,52.80,54.135,52.62,53.43,11712927,1.29,2.47%,53.43,625287966.67,71510
2018-02-09,52.56,52.91,50.02,52.14,15736388,0.35,0.68%,52.14,809578906.49,104684
2018-02-08,54.54,54.645,51.79,51.79,14073142,-2.76,-5.06%,51.79,746121989.74,101228
2018-02-07,53.92,55.71,53.89,54.55,11541733,0.22,0.40%,54.55,634087587.47,79951
2018-02-06,51.20,54.36,50.90,54.33,17628718,1.78,3.39%,54.33,934854159.22,123582
2018-02-05,54.64,55.63,51.92,52.55,13439030,-2.93,-5.28%,52.55,724670207.52,89662
2018-02-02,57.03,57.29,55.39,55.48,9783679,-1.97,-3.43%,55.48,548923005.92,60444
2018-02-01,56.50,57.46,56.37,57.45,7474445,0.90,1.59%,57.45,426409687.55,44748
2018-01-31,56.71,57.08,56.33,56.55,7193112,-0.05,-0.09%,56.55,407701006.15,41748
2018-01-30,56.67,57.29,56.55,56.60,7321223,-0.60,-1.05%,56.60,415766792.54,41636
2018-01-29,57.49,58.05,57.41,57.45,7493478,-0.149,-0.26%,57.20,432016571.41,41313
2018-01-26,57.09,57.615,56.75,57.60,8382183,0.787,1.39%,57.3493,479400599.70,47268
2018-01-25,57.36,57.37,56.61,56.81,9463755,-0.428,-0.75%,56.5628,539256343.54,58639
2018-01-24,57.21,57.73,56.90,57.24,8403558,0.329,0.58%,56.9909,481651473.02,47886
