date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,109.12,109.42,108.53,108.85,1327917,-0.24,-0.22%,108.85,144704281.40,9675
2018-03-09,108.50,109.49,108.23,109.09,1629057,0.62,0.57%,109.09,177452186.91,12244
2018-03-08,109.20,109.225,107.37,108.47,888341,-0.37,-0.34%,108.47,96080585.36,8429
2018-03-07,107.57,109.18,107.57,108.84,898965,0.46,0.42%,108.84,97816558.75,8194
2018-03-06,107.59,108.75,107.32,108.38,955448,1.11,1.03%,108.38,103364931.68,9089
2018-03-05,106.09,107.95,105.594,107.27,957440,0.98,0.92%,107.27,102744287.13,9114
2018-03-02,105.67,106.61,105.30,106.29,818239,-0.03,-0.03%,106.29,86750982.60,8974
2018-03-01,107.17,107.53,105.25,106.32,1335922,0.17,0.16%,106.32,141852997.93,13932
2018-02-28,106.72,107.78,106.15,106.15,1066048,-0.47,-0.44%,106.15,113891731.66,9805
2018-02-27,106.99,107.64,106.2209,106.62,1206027,-0.20,-0.19%,106.62,128918698.78,10910
2018-02-26,107.15,107.29,106.27,106.82,973799,0.09,0.08%,106.82,104068389.74,10207
2018-02-23,105.43,107.11,105.27,106.73,1226615,2.00,1.91%,106.73,130573621.82,10200
2018-02-22,105.33,106.25,104.27,104.73,1131920,-0.26,-0.25%,104.73,118956276.57,10693
2018-02-21,106.10,106.65,104.97,104.99,1114749,-0.76,-0.72%,104.99,118157444.58,11772
2018-02-20,105.26,106.97,104.84,105.75,1420214,-0.16,-0.15%,105.75,150641969.74,13825
2018-02-16,105.83,107.08,105.01,105.91,1075534,-0.22,-0.21%,105.91,114212264.38,10322
2018-02-15,105.64,106.365,104.62,106.13,1694126,1.11,1.06%,106.13,178708462.49,14205
2018-02-14,101.62,105.22,101.30,105.02,1659315,3.08,3.02%,105.02,173148899.67,14896
2018-02-13,100.84,102.09,100.20,101.94,1024891,0.64,0.63%,101.94,103939830.14,9333
2018-02-12,99.82,102.01,99.635,101.30,1243518,2.17,2.19%,101.30,125563252.64,12675
2018-02-09,99.51,100.32,96.94,99.13,3309502,0.39,0.39%,99.13,325882720.32,25587
2018-02-08,102.95,103.00,98.72,98.74,2042550,-3.89,-3.79%,98.74,205204334.35,19933
2018-02-07,102.78,104.16,102.34,102.63,2096190,-0.13,-0.13%,102.63,216176433.62,15108
2018-02-06,99.66,103.18,99.04,102.76,3183290,1.70,1.68%,102.76,322240999.20,29180
2018-02-05,103.55,106.00,101.06,101.06,3017070,-2.81,-2.71%,101.06,312303854.96,25575
2018-02-02,100.85,107.78,100.58,103.87,4455927,4.75,4.79%,103.87,468417785.02,36558
2018-02-01,99.49,99.98,97.68,99.12,1483355,-0.34,-0.34%,99.12,146608287.37,12966
2018-01-31,99.86,100.26,98.86,99.46,887861,-0.34,-0.34%,99.46,88349661.27,7846
2018-01-30,98.88,99.93,98.34,99.80,906548,0.62,0.63%,99.80,90231930.71,10024
2018-01-29,99.11,100.80,99.01,99.18,986093,0.18,0.18%,99.18,98215669.42,9578
2018-01-26,98.11,99.00,97.93,99.00,976306,1.32,1.35%,99.00,96429345.29,8384
2018-01-25,96.74,98.19,96.38,97.68,1117577,1.84,1.92%,97.68,108910765.35,10251
2018-01-24,97.15,97.26,95.76,95.84,837170,-0.92,-0.95%,95.84,80618041.11,8277
2018-01-23,97.33,97.33,96.37,96.76,808660,-0.57,-0.59%,96.76,78266435.47,6809
2018-01-22,98.22,98.27,97.02,97.33,976178,-0.47,-0.48%,97.33,95039683.64,6494
2018-01-19,97.98,98.27,97.45,97.80,1070388,0.30,0.31%,97.80,104722570.28,8488
2018-01-18,97.41,97.65,96.84,97.50,1061324,0.22,0.23%,97.50,103356308.61,9645
2018-01-17,96.45,97.70,96.35,97.28,708350,1.42,1.48%,97.28,68853866.18,8231
2018-01-16,97.10,97.12,95.28,95.86,1192833,-0.71,-0.74%,95.86,114304077.49,9829
2018-01-12,94.98,97.18,94.65,96.57,1874908,3.02,3.23%,96.57,180883854.82,14208
2018-01-11,92.33,93.63,92.14,93.55,812028,1.17,1.27%,93.55,75740615.70,6607
2018-01-10,91.96,92.71,91.72,92.38,537073,0.26,0.28%,92.38,49567686.86,5189
2018-01-09,93.00,93.48,91.93,92.12,814301,-0.70,-0.75%,92.12,75286161.50,7283
2018-01-08,91.68,92.85,91.60,92.82,727677,0.94,1.02%,92.82,67386364.86,6309
2018-01-05,91.21,91.9832,90.69,91.88,679599,1.22,1.35%,91.88,62391013.66,6420
2018-01-04,89.89,91.615,89.89,90.66,1295898,0.75,0.83%,90.66,117790831.43,10426
2018-01-03,90.47,90.58,89.18,89.91,1591182,-0.64,-0.71%,89.91,142881291.97,11324
2018-01-02,90.84,91.14,90.05,90.55,800843,0.21,0.23%,90.55,72477335.80,6092
2017-12-29,90.80,90.93,90.0401,90.34,630609,-0.23,-0.25%,90.34,57087255.71,5256
2017-12-28,90.96,91.45,89.92,90.57,1095747,-0.23,-0.25%,90.57,99103915.89,7436
2017-12-27,90.65,90.9201,90.01,90.80,555495,0.13,0.14%,90.80,50340303.42,5850
2017-12-26,90.82,91.07,90.33,90.67,609378,-0.09,-0.10%,90.67,55256614.61,5574
2017-12-22,91.55,91.63,90.6391,90.76,559608,-0.86,-0.94%,90.76,50885156.00,5057
2017-12-21,92.44,92.72,91.36,91.62,814120,-0.48,-0.52%,91.62,74736222.51,8323
2017-12-20,93.36,93.77,92.00,92.10,1041710,-1.18,-1.27%,92.10,96330593.64,9548
2017-12-19,94.60,95.30,93.26,93.28,1782039,-1.21,-1.28%,93.28,167440551.95,10468
2017-12-18,93.68,94.68,93.27,94.49,1566693,1.34,1.44%,94.49,147781937.85,8282
2017-12-15,92.465,93.875,92.23,93.15,1438907,0.95,1.03%,93.15,133916660.00,7400
2017-12-14,93.43,93.80,92.08,92.20,1052282,-1.22,-1.31%,92.20,97186293.71,8615
2017-12-13,93.31,94.69,93.002,93.94,907215,0.567,0.61%,93.42,85408776.38,8603
2017-12-12,92.42,93.945,91.82,93.37,872785,1.034,1.13%,92.8532,81348458.32,8831
2017-12-11,92.32,92.759,91.94,92.33,1231338,-0.189,-0.21%,91.819,113745081.70,8295
2017-12-08,93.47,93.7299,92.17,92.52,1231914,-0.278,-0.30%,92.0079,114282398.75,10819
2017-12-07,91.09,93.96,90.86,92.80,2148145,1.502,1.65%,92.2864,199506603.92,15362
2017-12-06,90.45,91.8778,90.25,91.29,743666,0.627,0.69%,90.7847,67996972.06,7083
