date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,196.28,197.35,194.08,194.91,631116,-1.90,-0.97%,194.91,123175444.28,7649
2018-03-09,196.28,196.86,194.44,196.81,804954,2.12,1.09%,196.81,158002856.63,9034
2018-03-08,196.00,196.00,191.78,194.69,556068,-0.50,-0.26%,194.69,107642271.06,5707
2018-03-07,194.04,195.44,191.86,195.19,594452,-0.15,-0.08%,195.19,115329351.34,7409
2018-03-06,194.08,195.74,191.83,195.34,532613,1.59,0.82%,195.34,103514326.14,6956
2018-03-05,188.94,195.25,186.145,193.75,663829,2.77,1.45%,193.75,127721666.80,7808
2018-03-02,187.28,191.45,185.8003,190.98,654643,2.88,1.53%,190.98,124184672.06,9879
2018-03-01,190.60,191.99,187.235,188.85,832222,-0.986,-0.52%,188.1001,157875288.86,12409
2018-02-28,192.59,195.58,189.84,189.84,746721,-2.341,-1.22%,189.0861,143794462.75,9297
2018-02-27,195.67,197.37,192.19,192.19,507133,-3.118,-1.60%,191.4268,98407283.27,8216
2018-02-26,194.48,195.60,192.92,195.32,660291,1.803,0.94%,194.5444,128568641.30,9249
2018-02-23,190.26,193.68,189.985,193.51,524673,3.994,2.12%,192.7416,100746941.86,7612
2018-02-22,194.14,194.45,188.79,189.50,642677,-3.307,-1.72%,188.7475,123144471.72,9114
2018-02-21,191.03,196.64,190.91,192.82,845904,2.171,1.14%,192.0543,164167445.05,10608
2018-02-20,190.60,193.43,190.28,190.64,807698,-0.996,-0.52%,189.883,154408237.28,8442
2018-02-16,189.92,194.24,189.92,191.64,821842,0.538,0.28%,190.879,158056881.09,9711
2018-02-15,192.52,193.00,189.78,191.10,671150,-0.877,-0.46%,190.3411,127935779.46,8933
2018-02-14,185.15,192.30,184.92,191.98,763168,5.807,3.13%,191.2176,145305031.25,10890
2018-02-13,183.34,187.29,183.20,186.15,711104,1.394,0.76%,185.4108,132205103.54,9394
2018-02-12,183.42,187.37,181.20,184.75,783191,2.122,1.17%,184.0164,144623963.13,10017
2018-02-09,180.65,183.98,177.00,182.62,813494,4.253,2.39%,181.8948,147080453.85,11760
2018-02-08,185.20,185.625,178.23,178.35,1093409,-6.594,-3.58%,177.6418,199283045.96,12507
2018-02-07,183.83,187.35,183.53,184.97,512533,-0.09,-0.05%,184.2355,95110932.30,7709
2018-02-06,175.31,188.36,175.31,185.06,1421970,5.229,2.92%,184.3251,261117689.17,19714
2018-02-05,187.43,188.67,179.09,179.81,1000646,-9.353,-4.96%,179.096,184148956.43,13928
2018-02-02,192.00,193.85,188.70,189.20,568288,-3.636,-1.89%,188.4487,108375175.50,8175
2018-02-01,190.17,192.91,188.39,192.85,571579,2.062,1.09%,192.0842,109516181.98,8450
2018-01-31,190.54,192.675,189.84,190.78,633101,0.209,0.11%,190.0224,121059225.05,8478
2018-01-30,188.56,191.20,187.865,190.57,614658,0.777,0.41%,189.8132,116968570.40,8983
2018-01-29,189.75,191.93,189.57,189.79,649801,0.418,0.22%,189.0363,123981204.25,8155
2018-01-26,188.30,189.45,187.07,189.37,434404,1.703,0.91%,188.618,81983193.34,5184
2018-01-25,190.06,190.06,187.26,187.66,597532,-1.793,-0.95%,186.9148,112497744.61,6617
2018-01-24,189.62,190.07,188.12,189.46,637885,0.627,0.33%,188.7077,120813953.14,6068
2018-01-23,187.35,190.10,187.26,188.83,991937,0.07,0.04%,188.0802,187196473.90,10383
2018-01-22,188.00,188.98,186.78,188.76,649410,-0.02,-0.01%,188.0104,122210787.88,6630
2018-01-19,187.43,188.85,186.70,188.78,749565,2.62,1.41%,188.0304,140980990.07,8620
2018-01-18,180.00,188.70,179.20,186.15,1397247,6.912,3.87%,185.4108,260269517.58,14642
2018-01-17,178.50,179.61,175.60,179.21,824808,1.424,0.80%,178.4984,147282634.81,10109
2018-01-16,179.18,179.82,176.84,177.78,607856,-0.737,-0.41%,177.074,108378493.36,6797
2018-01-12,178.68,179.49,177.61,178.52,439557,0.528,0.30%,177.8111,78484575.74,5582
2018-01-11,177.33,178.20,176.04,177.99,342002,1.235,0.70%,177.2832,60677044.42,5825
2018-01-10,175.25,178.42,174.92,176.75,549918,1.833,1.05%,176.0481,97352411.93,6707
2018-01-09,173.39,176.57,173.21,174.91,539114,2.48,1.44%,174.2154,94555956.52,7021
2018-01-08,172.64,172.92,171.73,172.42,488878,-0.398,-0.23%,171.7353,84259140.66,6141
2018-01-05,174.46,176.50,171.79,172.82,549691,-0.618,-0.36%,172.1337,94959505.03,6402
2018-01-04,173.40,176.71,173.05,173.44,628314,0.329,0.19%,172.7513,109604647.35,8065
2018-01-03,171.01,173.555,170.38,173.11,437559,1.912,1.12%,172.4226,75549366.19,6553
2018-01-02,172.48,172.90,170.00,171.19,424392,0.199,0.12%,170.5102,72570299.50,5971
2017-12-29,172.48,173.07,170.94,170.99,414089,-1.295,-0.75%,170.311,70955964.27,4236
2017-12-28,171.78,172.33,171.27,172.29,224175,0.717,0.42%,171.6058,38566189.80,3566
2017-12-27,172.34,172.34,170.66,171.57,364626,-0.418,-0.24%,170.8887,62570874.64,4064
2017-12-26,173.26,173.91,171.09,171.99,308225,-1.076,-0.62%,171.307,53019485.81,4606
2017-12-22,174.39,174.51,171.78,173.07,332650,-0.518,-0.30%,172.3827,57540737.51,4846
2017-12-21,173.11,174.68,172.70,173.59,444538,1.056,0.61%,172.9007,77134028.41,6474
2017-12-20,174.19,175.79,171.96,172.53,624432,-1.365,-0.79%,171.8449,107949999.55,7009
2017-12-19,174.16,175.25,173.2025,173.90,612796,0.04,0.02%,173.2094,106645013.50,6031
2017-12-18,172.63,174.13,172.27,173.86,779687,2.948,1.73%,173.1696,135264542.64,7545
2017-12-15,170.16,172.63,169.43,170.90,1477992,1.853,1.10%,170.2214,252822290.50,8408
2017-12-14,170.48,171.70,168.55,169.04,479182,-1.972,-1.16%,168.3687,81323999.37,6744
2017-12-13,172.73,173.77,170.74,171.02,514155,-1.464,-0.85%,170.3409,88368420.38,7474
2017-12-12,171.82,173.47,171.025,172.49,945910,1.972,1.16%,171.805,163108831.76,9752
