date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,615.40,620.66,613.69,615.91,223508,-0.09,-0.01%,615.91,137949002.38,3126
2018-03-09,610.11,619.65,606.03,616.00,128381,9.12,1.50%,616.00,79037978.33,2790
2018-03-08,614.22,614.22,601.62,606.88,179744,-4.66,-0.76%,606.88,108956145.75,3779
2018-03-07,599.30,612.92,599.30,611.54,175793,6.25,1.03%,611.54,106834532.05,3506
2018-03-06,601.42,606.54,596.185,605.29,192730,5.34,0.89%,605.29,116097789.99,3621
2018-03-05,592.16,602.69,585.5887,599.95,239665,6.69,1.13%,599.95,143063795.50,4429
2018-03-02,589.60,594.62,585.33,593.26,273588,-2.91,-0.49%,593.26,161535221.09,4206
2018-03-01,618.10,618.10,590.58,596.17,240847,-20.05,-3.25%,596.17,144804174.71,4856
2018-02-28,628.41,632.22,616.21,616.22,163589,-9.35,-1.49%,616.22,101798773.27,3127
2018-02-27,635.08,636.76,624.81,625.57,125048,-11.06,-1.74%,625.57,78602586.43,2679
2018-02-26,636.94,639.69,629.40,636.63,75704,0.53,0.08%,636.63,48187491.48,1718
2018-02-23,628.94,636.70,625.44,636.10,81591,11.13,1.78%,636.10,51670011.71,1684
2018-02-22,631.99,639.57,622.75,624.97,129896,-3.64,-0.58%,624.97,81637755.37,2554
2018-02-21,624.66,646.97,624.66,628.61,158273,4.39,0.70%,628.61,100691482.24,2802
2018-02-20,632.81,634.88,620.26,624.22,122694,-10.15,-1.60%,624.22,76843969.71,2415
2018-02-16,628.94,639.95,628.94,634.37,101997,2.40,0.38%,634.37,64807020.83,2078
2018-02-15,625.81,632.69,619.35,631.97,141065,7.30,1.17%,631.97,88611420.87,3304
2018-02-14,611.51,625.00,608.17,624.67,177571,10.98,1.79%,624.67,109828230.84,2962
2018-02-13,611.62,617.35,603.00,613.69,139099,-0.18,-0.03%,613.69,85217529.57,2752
2018-02-12,605.54,619.22,602.13,613.87,167981,13.50,2.25%,613.87,102662585.29,2847
2018-02-09,614.06,637.99,580.43,600.37,413202,-0.63,-0.10%,600.37,250331919.64,6195
2018-02-08,644.04,646.44,601.00,601.00,261913,-40.96,-6.38%,601.00,165051611.72,4210
2018-02-07,636.71,649.71,636.71,641.96,166025,4.68,0.73%,641.96,106973275.15,3256
2018-02-06,623.20,641.61,618.68,637.28,209970,1.78,0.28%,637.28,132898613.37,4369
2018-02-05,666.34,668.4195,635.16,635.50,202790,-31.66,-4.75%,635.50,131819835.16,3178
2018-02-02,680.97,680.97,666.175,667.16,176030,-16.95,-2.48%,667.16,118015601.91,2983
2018-02-01,676.00,685.00,671.89,684.11,150920,8.85,1.31%,684.11,102676620.47,2901
2018-01-31,679.73,682.57,671.44,675.26,125767,-1.88,-0.28%,675.26,85159228.54,2292
2018-01-30,680.34,684.96,669.88,677.14,115190,-8.65,-1.26%,677.14,78184620.77,2291
2018-01-29,690.39,697.26,685.3375,685.79,129740,-6.51,-0.94%,685.79,89452989.63,2585
2018-01-26,679.08,693.18,676.46,692.30,180696,14.25,2.10%,692.30,123944893.65,3273
2018-01-25,674.93,680.31,674.81,678.05,225730,5.36,0.80%,678.05,152798961.12,3659
