date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,56.50,61.17,56.35,59.37,138651643,4.78,8.76%,59.37,8225537283.21,529120
2018-03-09,55.76,55.83,53.62,54.59,65504592,-0.63,-1.14%,54.59,3579930760.15,251043
2018-03-08,54.585,55.47,54.30,55.22,51685913,1.25,2.32%,55.22,2840714012.75,203952
2018-03-07,53.34,55.00,53.125,53.97,61669983,0.23,0.43%,53.97,3337840899.02,244501
2018-03-06,53.40,54.64,53.21,53.74,73096298,1.71,3.29%,53.74,3944192837.20,295567
2018-03-05,48.80,52.36,48.72,52.03,70984057,2.92,5.95%,52.03,3636483000.90,296156
2018-03-02,46.36,49.25,45.95,49.11,52492924,1.49,3.13%,49.11,2534794481.93,216454
2018-03-01,48.77,48.81,46.77,47.62,61278848,-1.19,-2.44%,47.62,2934706780.26,268545
2018-02-28,48.80,49.46,48.35,48.81,45031445,0.23,0.47%,48.81,2206426830.41,164775
2018-02-27,47.66,48.99,47.42,48.58,44731112,0.60,1.25%,48.58,2162617576.81,188195
2018-02-26,46.97,48.23,46.70,47.98,41966130,1.45,3.12%,47.98,2000498852.54,175124
2018-02-23,45.18,46.80,45.02,46.53,48476673,2.28,5.15%,46.53,2241513900.86,193081
2018-02-22,44.78,44.83,44.04,44.25,24359578,-0.29,-0.65%,44.25,1081490381.86,106355
2018-02-21,45.37,45.55,44.52,44.54,31618738,-0.36,-0.80%,44.54,1426548420.19,134512
2018-02-20,44.02,45.27,43.90,44.90,36215897,0.69,1.56%,44.90,1624731912.71,150852
2018-02-16,43.29,45.11,43.13,44.21,49404593,0.71,1.63%,44.21,2191637742.93,188307
2018-02-15,43.725,43.92,42.26,43.50,35072341,0.05,0.12%,43.50,1515289901.06,148184
2018-02-14,41.93,43.63,41.93,43.45,36765941,0.82,1.92%,43.45,1584217154.13,164756
2018-02-13,42.05,42.92,41.98,42.63,30296775,0.44,1.04%,42.63,1288708226.51,136343
2018-02-12,41.01,42.68,40.88,42.19,47941060,1.78,4.40%,42.19,2002588493.04,193086
2018-02-09,41.05,41.19,37.52,40.41,65189252,0.41,1.02%,40.41,2579792613.78,301324
