date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,42.76,43.08,42.365,42.78,5910002,0.27,0.64%,42.78,252600293.80,34074
2018-03-09,42.43,42.56,41.80,42.51,5582442,0.50,1.19%,42.51,235472690.13,31752
2018-03-08,42.54,42.88,41.78,42.01,4317878,-0.48,-1.13%,42.01,181771208.47,26758
2018-03-07,42.94,43.21,42.31,42.49,5814966,-0.74,-1.71%,42.49,247515382.68,36999
2018-03-06,43.09,44.18,42.50,43.23,8017426,1.69,4.07%,43.23,348029495.52,50971
2018-03-05,40.55,41.78,40.17,41.54,4599924,0.57,1.39%,41.54,190108984.82,30513
2018-03-02,40.35,41.20,39.55,40.97,7072373,0.28,0.69%,40.97,287102048.38,43597
2018-03-01,41.60,43.04,40.66,40.69,10688102,0.37,0.92%,40.69,446431450.01,76970
2018-02-28,41.43,41.43,40.30,40.32,5143669,-0.79,-1.92%,40.32,209022114.68,32509
2018-02-27,41.75,41.9599,40.87,41.11,4335521,-0.67,-1.60%,41.11,178665762.54,23629
2018-02-26,41.57,41.89,40.91,41.78,3217463,0.33,0.80%,41.78,133655446.46,24381
2018-02-23,41.69,42.00,41.16,41.45,3371242,0.17,0.41%,41.45,139625924.19,19357
2018-02-22,41.49,42.04,41.06,41.28,3581990,0.07,0.17%,41.28,148520567.18,23581
2018-02-21,41.38,42.03,40.91,41.21,3447487,-0.13,-0.31%,41.21,143245567.04,26019
2018-02-20,42.12,42.16,40.82,41.34,5560855,-0.80,-1.90%,41.34,230389114.29,35504
2018-02-16,41.75,42.46,41.71,42.14,3417162,0.49,1.18%,42.14,143899073.58,24511
2018-02-15,41.87,41.95,40.88,41.65,3216900,0.31,0.75%,41.65,133535638.94,23642
2018-02-14,40.17,41.59,39.99,41.34,4471693,0.93,2.30%,41.34,183968141.98,31719
2018-02-13,40.29,40.98,40.11,40.41,4266032,-0.19,-0.47%,40.41,172462645.30,32333
2018-02-12,39.60,41.47,39.59,40.60,8377860,1.32,3.36%,40.60,340347286.76,49262
2018-02-09,39.27,39.7299,38.10,39.28,7204391,0.03,0.08%,39.28,280140438.63,56413
2018-02-08,40.67,41.34,39.22,39.25,8111755,-1.20,-2.97%,39.25,324276272.27,51384
2018-02-07,40.52,41.08,39.95,40.45,5188482,-0.53,-1.29%,40.45,210103183.95,37463
2018-02-06,39.70,41.59,39.55,40.98,6434480,0.65,1.61%,40.98,262329850.31,52677
2018-02-05,41.61,41.84,39.90,40.33,6924784,-1.77,-4.20%,40.33,283356448.33,52837
2018-02-02,42.63,43.01,41.85,42.10,4230556,-0.95,-2.21%,42.10,178433493.04,31393
2018-02-01,42.65,43.50,42.35,43.05,4732546,0.20,0.47%,43.05,203210882.61,35802
2018-01-31,43.88,44.19,42.51,42.85,8731421,-1.17,-2.66%,42.85,375944934.71,53485
2018-01-30,44.60,44.7001,43.88,44.02,7271486,-1.96,-4.26%,44.02,321589103.41,46078
2018-01-29,45.80,46.64,45.73,45.98,4021197,-0.22,-0.48%,45.98,185780809.35,31157
2018-01-26,46.20,46.59,46.02,46.20,4821137,0.21,0.46%,46.20,222864193.11,33175
2018-01-25,46.42,46.78,45.80,45.99,5793632,-0.13,-0.28%,45.99,267123386.98,39027
2018-01-24,46.97,47.17,45.6304,46.12,5956241,-0.73,-1.56%,46.12,275294022.27,46225
2018-01-23,47.47,47.82,46.83,46.85,5140922,-0.79,-1.66%,46.85,242433625.56,38452
2018-01-22,46.72,47.69,46.60,47.64,4730582,0.91,1.95%,47.64,223772593.66,26244
2018-01-19,46.59,46.96,45.05,46.73,7894686,0.22,0.47%,46.73,364783377.10,48592
