date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,13.82,13.85,13.42,13.46,2089721,-0.40,-2.89%,13.46,28308714.81,14630
2018-03-09,13.70,13.86,13.59,13.86,1807508,0.29,2.14%,13.86,24870301.49,10867
2018-03-08,13.56,13.8988,13.405,13.57,1306842,0.04,0.30%,13.57,17667612.57,9760
2018-03-07,13.34,13.56,13.34,13.53,1915339,0.05,0.37%,13.53,25832035.36,12216
2018-03-06,13.48,13.55,13.25,13.48,1532691,0.05,0.37%,13.48,20560792.27,13054
2018-03-05,13.04,13.46,13.03,13.43,2330781,0.27,2.05%,13.43,31122962.98,15189
2018-03-02,12.83,13.185,12.76,13.16,2064230,0.21,1.62%,13.16,26853834.36,16369
2018-03-01,12.73,13.16,12.70,12.95,3511668,0.15,1.17%,12.95,45564039.79,27295
2018-02-28,13.12,13.33,12.95,12.96,3174843,-0.109,-0.84%,12.80,41546811.43,19061
2018-02-27,13.30,13.43,13.04,13.07,2818480,-0.178,-1.36%,12.9086,37044993.46,17110
2018-02-26,13.27,13.35,13.005,13.25,1502221,0.02,0.15%,13.0864,19827075.89,11285
2018-02-23,13.13,13.27,13.115,13.23,1568567,0.158,1.22%,13.0667,20717753.72,11852
2018-02-22,13.47,13.515,13.05,13.07,2246414,-0.356,-2.68%,12.9086,29724918.46,15801
2018-02-21,13.61,13.78,13.42,13.43,2239712,-0.207,-1.54%,13.2642,30442308.85,15597
2018-02-20,13.96,14.12,13.54,13.64,3118200,-0.346,-2.50%,13.4716,42822954.67,17311
2018-02-16,13.75,14.04,13.75,13.99,1796178,0.188,1.38%,13.8173,25041516.17,9708
2018-02-15,14.09,14.10,13.64,13.80,2486069,-0.198,-1.43%,13.6296,34299771.92,17343
2018-02-14,13.50,14.02,13.46,14.00,1974734,0.395,2.94%,13.8272,27276098.29,15121
2018-02-13,13.47,13.67,13.40,13.60,2088623,0.04,0.29%,13.4321,28333522.33,11490
2018-02-12,13.49,13.66,13.165,13.56,2095892,0.099,0.74%,13.3926,28299888.62,14844
2018-02-09,13.58,13.71,12.98,13.46,5059740,0.079,0.60%,13.2938,67296823.94,40022
2018-02-08,14.02,14.08,13.38,13.38,3328667,-0.652,-4.70%,13.2148,45360817.04,26805
