date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,86.72,87.00,85.18,85.89,829247,-0.64,-0.74%,85.89,71151219.43,9136
2018-03-09,85.41,86.67,85.085,86.53,680542,1.67,1.97%,86.53,58684209.87,9401
2018-03-08,84.22,85.01,83.64,84.86,629038,0.91,1.08%,84.86,53089588.12,7285
2018-03-07,83.05,84.11,83.03,83.95,555025,0.04,0.05%,83.95,46426799.47,6115
2018-03-06,82.57,84.47,82.04,83.91,1232684,2.14,2.62%,83.91,102819177.08,11316
2018-03-05,80.19,81.94,79.99,81.77,541317,1.18,1.46%,81.77,44036021.57,5725
2018-03-02,79.28,80.775,79.05,80.59,461168,0.99,1.24%,80.59,36972553.37,5695
2018-03-01,81.00,81.00,79.22,79.60,660199,-1.15,-1.42%,79.60,52735483.99,9002
2018-02-28,82.13,82.71,80.74,80.75,706413,-0.94,-1.15%,80.75,57583785.50,8036
2018-02-27,81.74,82.54,81.23,81.69,1048044,0.03,0.04%,81.69,85776701.09,11345
2018-02-26,81.08,81.72,80.66,81.66,1130688,1.18,1.47%,81.66,92123980.72,14121
2018-02-23,78.66,80.50,78.52,80.48,1438779,2.28,2.92%,80.48,114865190.52,15875
2018-02-22,79.32,79.66,77.9601,78.20,490598,-0.92,-1.16%,78.20,38600064.70,6245
2018-02-21,79.06,80.66,78.84,79.12,895521,0.32,0.41%,79.12,71625208.68,10070
2018-02-20,78.85,80.435,78.55,78.80,1158770,-0.22,-0.28%,78.80,92186035.42,11394
2018-02-16,79.92,80.30,78.86,79.02,1073955,-1.36,-1.69%,79.02,85262281.93,11766
2018-02-15,80.44,80.68,78.60,80.38,876761,0.62,0.78%,80.38,70003927.30,9888
2018-02-14,78.20,79.86,77.90,79.76,1245868,1.26,1.61%,79.76,98564946.87,12075
2018-02-13,77.38,78.655,77.06,78.50,855215,0.94,1.21%,78.50,66809407.77,8538
2018-02-12,77.05,78.14,77.04,77.56,1139421,1.45,1.91%,77.56,88478657.90,14835
2018-02-09,75.22,76.66,73.83,76.11,1677732,0.90,1.20%,76.11,126103476.01,18577
2018-02-08,77.17,77.93,74.80,75.21,1653458,-2.06,-2.67%,75.21,125392922.32,16368
2018-02-07,77.52,78.65,77.24,77.27,1454143,-0.45,-0.58%,77.27,113259783.94,15297
2018-02-06,74.91,78.01,72.98,77.72,2973839,0.25,0.32%,77.72,227549830.56,31002
2018-02-05,79.59,80.98,77.20,77.47,2095712,-2.87,-3.57%,77.47,164985509.81,20327
2018-02-02,81.04,81.80,80.28,80.34,1496022,-1.03,-1.27%,80.34,121070515.73,11468
2018-02-01,80.31,82.16,80.15,81.37,1277925,0.46,0.57%,81.37,103945701.31,12366
2018-01-31,82.05,83.29,80.53,80.91,1800722,-0.94,-1.15%,80.91,147077448.34,17418
2018-01-30,81.49,82.22,81.37,81.85,1485954,0.205,0.25%,81.85,121661290.53,11813
2018-01-29,81.36,82.34,81.255,81.645,1568323,0.285,0.35%,81.645,128352054.62,12889
2018-01-26,81.40,81.40,80.77,81.36,502854,0.18,0.22%,81.36,40820864.55,4921
2018-01-25,81.28,81.85,80.85,81.18,730819,0.01,0.01%,81.18,59456447.71,6990
2018-01-24,80.52,81.32,79.93,81.17,799328,0.96,1.20%,81.17,64582515.48,8253
2018-01-23,80.69,80.85,79.79,80.21,477113,-0.42,-0.52%,80.21,38250150.16,5895
2018-01-22,80.40,80.66,80.11,80.63,813319,0.56,0.70%,80.63,65385502.47,8761
2018-01-19,79.96,80.34,79.83,80.07,675606,0.24,0.30%,80.07,54077208.79,6496
2018-01-18,80.20,80.24,78.90,79.83,1722830,-0.63,-0.78%,79.83,137272074.28,14464
2018-01-17,80.83,80.83,80.32,80.46,681125,0.04,0.05%,80.46,54820505.69,7376
2018-01-16,81.88,82.15,80.23,80.42,718830,-1.01,-1.24%,80.42,58232916.45,9159
2018-01-12,80.71,81.55,80.26,81.43,924111,0.97,1.21%,81.43,74991444.08,9204
2018-01-11,81.30,81.30,79.96,80.46,726584,-0.77,-0.95%,80.46,58409302.32,7386
2018-01-10,80.40,81.38,80.14,81.23,929548,1.06,1.32%,81.23,75205269.64,10062
2018-01-09,80.15,80.75,80.09,80.17,603858,0.21,0.26%,80.17,48505876.33,7308
2018-01-08,79.26,80.53,79.20,79.96,848238,0.75,0.95%,79.96,67928692.22,9169
2018-01-05,79.01,79.55,78.70,79.21,933508,0.52,0.66%,79.21,73856588.61,9399
2018-01-04,77.64,78.96,77.54,78.69,980978,1.03,1.33%,78.69,77080544.51,10195
2018-01-03,76.64,77.87,76.58,77.66,1013675,0.92,1.20%,77.66,78610059.36,10658
2018-01-02,77.15,77.32,76.475,76.74,1129033,-0.09,-0.12%,76.74,86710132.95,10186
2017-12-29,76.80,77.17,76.60,76.83,923380,0.16,0.21%,76.83,71031153.32,8419
2017-12-28,76.35,76.74,76.30,76.67,469766,0.33,0.43%,76.67,35965897.53,4801
2017-12-27,76.18,76.83,76.03,76.34,662766,0.21,0.28%,76.34,50673235.93,6645
2017-12-26,76.25,76.25,75.8401,76.13,520790,0.04,0.05%,76.13,39600715.88,6323
2017-12-22,75.61,76.13,75.3535,76.09,796522,0.69,0.92%,76.09,60410290.68,7199
2017-12-21,75.29,75.71,75.13,75.40,799470,0.35,0.47%,75.40,60290819.65,7779
2017-12-20,76.38,76.72,74.95,75.05,861910,-1.06,-1.39%,75.05,64964013.25,9023
2017-12-19,77.07,77.32,76.01,76.11,1047711,-0.86,-1.12%,76.11,80141334.84,10300
2017-12-18,77.85,77.90,76.85,76.97,772113,-0.54,-0.70%,76.97,59630177.35,7141
2017-12-15,77.94,78.11,77.32,77.51,1337534,0.04,0.05%,77.51,103780571.17,8061
2017-12-14,78.10,78.49,77.355,77.47,567165,-0.36,-0.46%,77.47,44046699.18,5626
2017-12-13,79.26,79.50,78.13,78.21,695355,-1.055,-1.34%,77.83,54684724.69,8332
2017-12-12,79.21,79.63,78.84,79.27,703378,0.05,0.06%,78.8848,55800429.22,7492
2017-12-11,79.20,80.14,78.99,79.22,907670,0.438,0.56%,78.8351,72081819.75,9304
2017-12-08,77.94,78.81,77.48,78.78,667514,0.985,1.27%,78.3972,52308477.68,8576
2017-12-07,78.38,78.54,76.76,77.79,1103887,-0.527,-0.68%,77.412,85710982.68,11570
2017-12-06,78.74,79.17,78.131,78.32,686035,-0.189,-0.24%,77.9394,53873313.22,7827
2017-12-05,78.90,79.14,78.21,78.51,841984,-0.418,-0.53%,78.1285,66151005.94,7629
2017-12-04,80.00,80.00,78.69,78.93,1146562,-0.328,-0.42%,78.5465,90677050.49,10480
2017-12-01,79.46,79.72,78.75,79.26,752182,0.10,0.13%,78.8749,59652287.69,8526
2017-11-30,78.98,79.85,78.70,79.16,1094796,0.597,0.76%,78.7754,86733858.84,8872
2017-11-29,78.55,79.68,78.31,78.56,1347505,0.219,0.28%,78.1783,106155851.00,13070
2017-11-28,77.45,78.42,77.085,78.34,980345,1.105,1.44%,77.9593,76420417.14,9710
2017-11-27,77.48,77.74,77.08,77.23,405621,-0.02,-0.03%,76.8547,31328929.30,4721
2017-11-24,77.30,77.43,77.08,77.25,236584,0.08,0.10%,76.8746,18271408.11,3676
2017-11-22,77.37,77.37,76.97,77.17,746625,-0.07,-0.09%,76.795,57620101.21,9343
2017-11-21,77.13,77.365,76.93,77.24,768987,0.348,0.46%,76.8647,59366993.71,5596
2017-11-20,75.95,77.15,75.95,76.89,1047981,0.935,1.24%,76.5164,80444772.74,7262
2017-11-17,76.00,76.18,75.7575,75.95,1044407,-0.02,-0.03%,75.581,79384879.98,8357
2017-11-16,76.00,76.24,75.79,75.97,901291,0.04,0.05%,75.6009,68494363.93,8630
2017-11-15,75.93,76.44,75.65,75.93,1292277,-0.04,-0.05%,75.5611,98292905.67,11694
2017-11-14,75.31,76.01,75.03,75.97,1073809,0.557,0.74%,75.6009,81320664.81,9741
2017-11-13,73.64,75.89,73.32,75.41,1349551,1.831,2.50%,75.0436,101631002.89,13125
2017-11-10,73.45,73.76,72.95,73.57,1196044,-0.159,-0.22%,73.2125,87945909.49,11064
2017-11-09,72.56,73.79,72.15,73.73,1001399,0.985,1.36%,73.3717,73372010.04,11032
2017-11-08,72.12,72.91,71.95,72.74,633580,0.717,1.00%,72.3866,46003439.79,6520
2017-11-07,71.80,72.77,71.65,72.02,1211322,0.05,0.07%,71.6701,87280678.97,11448
2017-11-06,72.22,72.46,71.83,71.97,627327,-0.428,-0.59%,71.6203,45228710.26,7119
2017-11-03,73.09,73.135,72.33,72.40,686543,-0.766,-1.05%,72.0482,49856564.55,8352
2017-11-02,72.34,73.43,72.07,73.17,1064648,0.756,1.05%,72.8145,77612326.04,11481
2017-11-01,73.02,73.02,72.36,72.41,725117,-0.239,-0.33%,72.0582,52655288.23,7821
2017-10-31,72.40,72.84,71.95,72.65,1027557,0.249,0.35%,72.297,74528280.72,10540
2017-10-30,72.29,73.13,72.06,72.40,1894939,0.06,0.08%,72.0482,137510042.20,10040
2017-10-27,72.66,72.66,71.77,72.34,1321508,0.05,0.07%,71.9885,95510722.05,11148
2017-10-26,72.61,72.87,72.01,72.29,1464443,-0.149,-0.21%,71.9387,105892067.67,13165
2017-10-25,72.71,73.62,72.35,72.44,1951051,-1.005,-1.38%,72.088,141985065.54,18480
2017-10-24,73.75,73.94,73.24,73.45,1325538,-0.04,-0.05%,73.0931,97349278.99,12700
2017-10-23,72.88,73.58,72.63,73.49,1300540,0.567,0.78%,73.1329,95312118.35,11589
2017-10-20,73.02,73.47,72.20,72.92,1934448,-0.02,-0.03%,72.5657,140860891.53,14115
2017-10-19,73.93,74.035,72.41,72.94,1995171,-1.652,-2.23%,72.5856,145574417.84,16430
2017-10-18,74.68,74.92,74.195,74.60,1691949,-0.109,-0.15%,74.2375,126200811.03,10089
2017-10-17,74.19,74.91,73.98,74.71,981618,0.597,0.81%,74.347,73241020.14,10266
2017-10-16,74.34,74.50,73.75,74.11,912380,-0.229,-0.31%,73.7499,67614519.27,17174
2017-10-13,74.80,74.95,74.10,74.34,1148782,-0.567,-0.76%,73.9788,85468405.48,11702
2017-10-12,75.71,75.75,74.72,74.91,1308339,-0.717,-0.95%,74.546,98221543.43,12894
